institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;URL;;;;
Goethe-Universität Frankfurt am Main;2018;2320.50;10.1038/s41424-018-0015-6;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-26102-3;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;4581.50;10.1038/s41467-018-04602-0;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;221.39;10.1177/2053951718790591;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2377.62;10.2147/IDR.S172587;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1643.05;10.1371/journal.pone.0200855;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1745.00;10.1186/s12890-018-0683-8;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1985.78;10.3389/fpsyg.2018.01106;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1985.78;10.3389/fpsyg.2018.01201;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1985.78;10.3389/fneur.2018.00569;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1985.78;10.3389/fnbot.2018.00040;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1808.80;10.1136/bmjopen-2018-022236;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1148.35;10.1186/s13256-018-1770-4;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1141.45;10.1002/2211-5463.12487;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1538.89;10.1371/journal.pone.0201169;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;2076.54;10.1186/s12875-018-0825-3 ;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1975.47;10.3389/fpsyg.2017.02268;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1630.30;10.1038/s41598-018-30367-z;FALSE;;;;;;;;
Goethe-Universität Frankfurt am Main;2018;1000.68;10.3389/fbioe.2018.00104;FALSE;;;;;;;;
