"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Frankfurt U",2018,2320.5,"10.1038/s41424-018-0015-6",FALSE,"Springer Nature","Clinical and Translational Gastroenterology","2155-384X","2155-384X",NA,"2155-384X","http://www.springer.com/tdm",TRUE,"29712892","PMC5928069","ut:000447529200001",NA,TRUE
"Frankfurt U",2018,1630.3,"10.1038/s41598-018-26102-3",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29773845","PMC5958102","ut:000432340600012",NA,TRUE
"Frankfurt U",2018,4581.5,"10.1038/s41467-018-04602-0",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","http://creativecommons.org/licenses/by/4.0",TRUE,"29895827","PMC5997752","ut:000434927000001",NA,TRUE
"Frankfurt U",2018,221.39,"10.1177/2053951718790591",FALSE,"SAGE Publications","Big Data & Society","2053-9517","2053-9517","2053-9517","2053-9517","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,"ut:000440433700001",NA,TRUE
"Frankfurt U",2018,2377.62,"10.2147/idr.s172587",FALSE,"Dove Medical Press Ltd.","Infection and Drug Resistance","1178-6973",NA,"1178-6973","1178-6973","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"30464547","PMC6223386","ut:000449051500001",NA,TRUE
"Frankfurt U",2018,1643.05,"10.1371/journal.pone.0200855",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30011326","PMC6047828","ut:000438829800053",NA,TRUE
"Frankfurt U",2018,1745,"10.1186/s12890-018-0683-8",FALSE,"Springer Nature","BMC Pulmonary Medicine","1471-2466",NA,"1471-2466","1471-2466",NA,TRUE,"30005648","PMC6045886","ut:000438545000002",NA,TRUE
"Frankfurt U",2018,1985.78,"10.3389/fpsyg.2018.01106",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"30100887","PMC6074837","ut:000440211900001",NA,TRUE
"Frankfurt U",2018,1985.78,"10.3389/fpsyg.2018.01201",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"30065683","PMC6057239","ut:000438991300002",NA,TRUE
"Frankfurt U",2018,1985.78,"10.3389/fneur.2018.00569",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295","https://creativecommons.org/licenses/by/4.0/",TRUE,"30083127","PMC6064736","ut:000439454100001",NA,TRUE
"Frankfurt U",2018,1985.78,"10.3389/fnbot.2018.00040",FALSE,"Frontiers Media SA","Frontiers in Neurorobotics","1662-5218",NA,"1662-5218","1662-5218","https://creativecommons.org/licenses/by/4.0/",TRUE,"30050427","PMC6051224","ut:000438296100002",NA,TRUE
"Frankfurt U",2018,1808.8,"10.1136/bmjopen-2018-022236",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055",NA,TRUE,"30082360","PMC6078251","ut:000446470200140",NA,TRUE
"Frankfurt U",2018,1148.35,"10.1186/s13256-018-1770-4",FALSE,"Springer Nature","Journal of Medical Case Reports","1752-1947",NA,"1752-1947","1752-1947",NA,TRUE,"30126441","PMC6102931",NA,NA,TRUE
"Frankfurt U",2018,1141.45,"10.1002/2211-5463.12487",FALSE,"Wiley-Blackwell","FEBS Open Bio","2211-5463",NA,NA,"2211-5463","http://creativecommons.org/licenses/by/4.0/",TRUE,"30186745","PMC6120241","ut:000443387400007",NA,TRUE
"Frankfurt U",2018,1538.89,"10.1371/journal.pone.0201169",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"30024969","PMC6053200","ut:000439120000093",NA,TRUE
"Frankfurt U",2018,2076.54,"10.1186/s12875-018-0825-3",FALSE,"Springer Nature","BMC Family Practice","1471-2296",NA,"1471-2296","1471-2296",NA,TRUE,"30055583","PMC6064613","ut:000440045500002",NA,TRUE
"Frankfurt U",2018,1975.47,"10.3389/fpsyg.2017.02268",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"29410633","PMC5787339","ut:000423079400001",NA,TRUE
"Frankfurt U",2018,1630.3,"10.1038/s41598-018-30367-z",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"30097598","PMC6086885","ut:000441300700029",NA,TRUE
"Frankfurt U",2018,1000.68,"10.3389/fbioe.2018.00104",FALSE,"Frontiers Media SA","Frontiers in Bioengineering and Biotechnology","2296-4185",NA,"2296-4185","2296-4185","https://creativecommons.org/licenses/by/4.0/",TRUE,"30155464","PMC6102314","ut:000441713500001",NA,TRUE
"Frankfurt U",2018,895.83,"10.3389/fcell.2018.00082",FALSE,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X",NA,"2296-634X","2296-634X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30131957","PMC6090045","ut:000455323300001",NA,TRUE
"Frankfurt U",2018,1995.51,"10.3389/fpsyg.2018.01375",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"30131739","PMC6090446","ut:000441096500001",NA,TRUE
"Frankfurt U",2018,1995.51,"10.3389/fmicb.2018.01847",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30150975","PMC6099090","ut:000441405000001",NA,TRUE
