institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;URL
Goethe-Universität Frankfurt am Main;2021;1547.00;10.1029/2021MS002519;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;1242.36;10.1002/2211-5463.13136;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;1713.60;10.1002/ece3.7862;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;1999.20;10.1111/1751-7915.13779;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;1370.88;10.1002/ece3.7367;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;1904.00;10.1049/ell2.12085;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;2399.04;10.1002/ehf2.13297;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;2998.80;10.1002/jev2.12159;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;904.40;10.1002/jha2.319;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;2380.00;10.1002/psp4.12704;FALSE;;;;
Goethe-Universität Frankfurt am Main;2021;1370.88;10.1002/ece3.8427;FALSE;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
