"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Frankfurt U",2021,1547,"10.1029/2021ms002519",FALSE,"American Geophysical Union (AGU)","Journal of Advances in Modeling Earth Systems","1942-2466","1942-2466","1942-2466","1942-2466","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Frankfurt U",2021,1242.36,"10.1002/2211-5463.13136",FALSE,"Wiley-Blackwell","FEBS Open Bio","2211-5463","2211-5463","2211-5463","2211-5463","http://creativecommons.org/licenses/by/4.0/",TRUE,"33660937","PMC8091585","ut:000636633500001",NA,TRUE
"Frankfurt U",2021,1713.6,"10.1002/ece3.7862",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"34367595","PMC8328440","ut:000669678500001",NA,TRUE
"Frankfurt U",2021,1999.2,"10.1111/1751-7915.13779",FALSE,"Wiley-Blackwell","Microbial Biotechnology","1751-7915","1751-7915","1751-7915","1751-7915","http://creativecommons.org/licenses/by/4.0/",TRUE,"33629808","PMC8601167","ut:000621484800001",NA,TRUE
"Frankfurt U",2021,1370.88,"10.1002/ece3.7367",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"34141199","PMC8207365","ut:000646574600001",NA,TRUE
"Frankfurt U",2021,1904,"10.1049/ell2.12085",FALSE,"Institution of Engineering and Technology (IET)","Electronics Letters","0013-5194","0013-5194","1350-911X","0013-5194","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000610565400001",NA,TRUE
"Frankfurt U",2021,2399.04,"10.1002/ehf2.13297",FALSE,"Wiley-Blackwell","ESC Heart Failure","2055-5822","2055-5822","2055-5822","2055-5822","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"33779075","PMC8120376","ut:000634113300001",NA,TRUE
"Frankfurt U",2021,2998.8,"10.1002/jev2.12159",FALSE,"Wiley-Blackwell","Journal of Extracellular Vesicles","2001-3078","2001-3078","2001-3078","2001-3078","http://creativecommons.org/licenses/by/4.0/",TRUE,"34664784","PMC8524437","ut:000708453100001",NA,TRUE
"Frankfurt U",2021,904.4,"10.1002/jha2.319",FALSE,"Wiley-Blackwell","eJHaem","2688-6146","2688-6146","2688-6146","2688-6146","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Frankfurt U",2021,2380,"10.1002/psp4.12704",FALSE,"Wiley-Blackwell","CPT: Pharmacometrics & Systems Pharmacology","2163-8306","2163-8306","2163-8306","2163-8306","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"34598320","PMC8592507","ut:000702513100001",NA,TRUE
"Frankfurt U",2021,1370.88,"10.1002/ece3.8427",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"35003679","PMC8717293","ut:000729429000001",NA,TRUE
