institution_ror,institution,period,euro,doi,is_hybrid,opt-out,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/0245cg223,Freiburg U,2023,5950.0,10.1007/978-3-658-42720-7,FALSE,FALSE,book,NA,NA,false,5950.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,7548.17,10.11647/obp.0381,FALSE,FALSE,book,NA,NA,false,7548.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,7404.78,10.14361/9783839471906,FALSE,FALSE,book,NA,NA,false,7404.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,7240.08,10.46500/83535359,FALSE,FALSE,book,NA,NA,false,7240.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,874.65,10.46500/83535547,FALSE,FALSE,book,NA,NA,false,874.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,10751.83,10.46500/83535698,FALSE,FALSE,book,NA,NA,false,10751.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,10488.24,10.46500/83535699,FALSE,FALSE,book,NA,NA,false,10488.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,11448.16,10.46500/83535706,FALSE,FALSE,book,NA,NA,false,11448.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,14708.1,10.46500/83535707,FALSE,FALSE,book,NA,NA,false,14708.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2025,10472.0,10.5771/9783495993033,FALSE,FALSE,book,NA,NA,false,10472.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,NA,10.5771/9783495994054,NA,FALSE,book,NA,NA,false,NA,NA,NA,NA,NA,1272.65,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,8675.1,10.5771/9783987400698,FALSE,FALSE,book,NA,NA,false,8675.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,10858.75,10.5771/9783987401138,FALSE,FALSE,book,NA,NA,false,10858.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/0245cg223,Freiburg U,2024,11607.26,10.5771/9783987401176,FALSE,FALSE,book,NA,NA,false,11607.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
