"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Freiburg U",2015,1606.41,"10.3389/fnhum.2015.00634",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161",NA,TRUE,"26635585","PMC4658414",NA,NA,TRUE
"Freiburg U",2015,1643.34,"10.1890/ES14-00439.1",FALSE,"Wiley-Blackwell","Ecosphere","2150-8925","2150-8925",NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,NA,NA,NA,NA,FALSE
"Freiburg U",2015,1302.81,"10.1371/journal.pone.0117917",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"25714092","PMC4340944",NA,NA,TRUE
"Freiburg U",2015,1546.4,"10.3389/fnhum.2015.00506",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161",NA,TRUE,"26441603","PMC4585301",NA,NA,TRUE
"Freiburg U",2015,2062.52,"10.1136/bmjopen-2014-006666",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055",NA,NA,TRUE,"25943371","PMC4431130",NA,NA,TRUE
"Freiburg U",2015,1904,"10.3389/fnhum.2015.00050",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161",NA,TRUE,"25713526","PMC4322639",NA,NA,TRUE
"Freiburg U",2015,916.3,"10.3389/fpsyg.2015.01396",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"26441771","PMC4569809",NA,NA,TRUE
"Freiburg U",2015,2083.49,"10.3389/fpsyg.2015.01054",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"26257696","PMC4513285",NA,NA,TRUE
"Freiburg U",2015,1558.97,"10.1364/BOE.6.001419",FALSE,"Optical Society of America (OSA)","Biomedical Optics Express","2156-7085","2156-7085","2156-7085",NA,TRUE,"25909025","PMC4399680",NA,NA,FALSE
"Freiburg U",2015,960.28,"10.1016/j.ejrh.2015.08.002",FALSE,"Elsevier BV","Journal of Hydrology: Regional Studies","22145818","22145818",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,FALSE
"Freiburg U",2015,476,"10.4081/jphr.2015.556",FALSE,"PAGEPress Publications","Journal of Public Health Research","2279-9036","2279-9036","2279-9036","http://creativecommons.org/licenses/by-nc/4.0",TRUE,"26425500","PMC4568429",NA,NA,TRUE
"Freiburg U",2015,341.2,"10.3390/life5010700",FALSE,"MDPI AG","Life","2075-1729",NA,"2075-1729",NA,TRUE,"25749611","PMC4390875",NA,NA,TRUE
"Freiburg U",2015,1478.33,"10.1371/journal.pone.0132885",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26469701","PMC4607487",NA,NA,TRUE
"Freiburg U",2015,1502.24,"10.1371/journal.pone.0144587",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26684459","PMC4684316",NA,NA,TRUE
"Freiburg U",2015,2473.67,"10.1371/journal.pcbi.1004233",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358","http://creativecommons.org/licenses/by/4.0/",TRUE,"25910230","PMC4409064",NA,NA,TRUE
"Freiburg U",2015,1469.67,"10.1371/journal.pone.0131845",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26147196","PMC4492497",NA,NA,TRUE
"Freiburg U",2015,1498.58,"10.1371/journal.pone.0144529",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26678061","PMC4683074",NA,NA,TRUE
"Freiburg U",2015,1428,"10.5194/bgd-12-11987-2015",FALSE,"Copernicus GmbH","Biogeosciences Discussions","1810-6285",NA,"1810-6285","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,357,"10.3897/zookeys.516.9927",FALSE,"Pensoft Publishers","ZooKeys","1313-2970","1313-2989","1313-2970","http://creativecommons.org/licenses/by/4.0/",TRUE,"26310780","PMC4547374",NA,NA,TRUE
"Freiburg U",2015,1386.35,"10.1038/srep10805",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,TRUE,"26042994","PMC4455284",NA,NA,TRUE
"Freiburg U",2015,1469.67,"10.1371/journal.pone.0132107",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26162100","PMC4498738",NA,NA,TRUE
"Freiburg U",2015,1808.8,"10.1136/bmjopen-2015-009128",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,TRUE,"26692557","PMC4691772",NA,NA,TRUE
"Freiburg U",2015,1528.09,"10.1371/journal.pone.0143229",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,TRUE,"26581087","PMC4651542",NA,NA,TRUE
"Freiburg U",2015,1179.19,"10.3390/su71114501",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,2034.78,"10.3389/fpsyg.2015.01392",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"26441767","PMC4585300",NA,NA,TRUE
"Freiburg U",2015,1425.72,"10.1371/journal.pone.0138495",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26444002","PMC4596474",NA,NA,TRUE
"Freiburg U",2015,1320.9,"10.5194/hessd-12-7689-2015",FALSE,"Copernicus GmbH","Hydrology and Earth System Sciences Discussions","1812-2116",NA,"1812-2116","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1082.9,"10.3390/f6093256",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,922.59,"10.3390/f6092959",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907",NA,TRUE,NA,NA,NA,NA,TRUE
"Freiburg U",2015,1541.02,"10.1097/MD.0000000000001231",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Medicine","0025-7974","0025-7974",NA,NA,TRUE,"26252281","PMC4616608",NA,NA,TRUE
"Freiburg U",2015,1521.32,"10.1097/MD.0000000000001299",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Medicine","0025-7974","0025-7974",NA,NA,TRUE,"26266367","PMC4616682",NA,NA,TRUE
