institution;period;euro;DOI;is_hybrid;opt_out;Publisher;
Universität Greifswald;2021; 4.088,61;10.1002/pamm.202100252;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/pirs.12627;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/cpz1.277;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/psyp.13812;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/ejoc.202101140;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/1365-2656.13564;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1096/fj.202100516RR;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/esp.5258;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/jhet.4284;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/anie.202107182;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/cdev.13613;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/ange.202107182;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/fwb.13810;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/bewi.202000021;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/chem.202101181;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/cbic.202100153;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/mec.16123;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/mec.16239;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/1462-2920.15531;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/cbic.202100064;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/geb.13377;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/geb.13320;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/bor.12561;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/1475-6765.12449;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/jeb.13969;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/chem.202103718;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/dneu.22852;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/1467-8675.12590;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/gcb.15858;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/nph.17952;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/mec.16219;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/cne.25283;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/cbic.202100078;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/jqs.3328;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/mec.16249;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/1365-2435.13803;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/1462-2920.15537;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/jbi.14258;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/jam.15253;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/febs.16141;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/cbic.202100127;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/bjep.12438;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/tesg.12500;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/syst.202100003;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/jbm.a.37265;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/liv.15133;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/clr.13747;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/jth.15262;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1002/alz.12378;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/liv.14868;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/liv.15162;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/cdoe.12644;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/aos.14852;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/gbb.12737;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/jth.15633;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/sms.13916;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/trf.16605;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1096/fj.202001179RR;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/jth.15572;TRUE;FALSE;Wiley;
Universität Greifswald;2021; 4.088,61;10.1111/ddg.14692;TRUE;FALSE;Wiley;
