"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Greifswald U",2020,1285.2,"10.1016/j.heliyon.2019.e02943",FALSE,"Elsevier BV","Heliyon","2405-8440","2405-8440",NA,"2405-8440","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31890941","PMC6928294","ut:000504401100054",NA,TRUE
"Greifswald U",2020,1773.1,"10.1038/s41598-019-56631-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"31882864","PMC6934578","ut:000509337000008",NA,TRUE
"Greifswald U",2020,2015.72,"10.1128/mbio.02243-19",FALSE,"American Society for Microbiology","mBio","2150-7511",NA,"2150-7511","2150-7511","https://creativecommons.org/licenses/by/4.0/",TRUE,"31848270","PMC6918071",NA,NA,TRUE
"Greifswald U",2020,1841.53,"10.1186/s12877-020-1415-5",FALSE,"Springer Nature","BMC Geriatrics","1471-2318",NA,"1471-2318","1471-2318","http://creativecommons.org/licenses/by/4.0/",TRUE,"31996158","PMC6990495","ut:000513667900001",NA,TRUE
"Greifswald U",2020,1780.67,"10.3389/fimmu.2019.02900",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224","https://creativecommons.org/licenses/by/4.0/",TRUE,"31921161","PMC6932173","ut:000508834100001",NA,TRUE
"Greifswald U",2020,1773.1,"10.1038/s41598-020-57884-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"32015352","PMC6997459","ut:000562808800008",NA,TRUE
"Greifswald U",2020,1886.15,"10.1186/s13099-019-0342-5",FALSE,"Springer Nature","Gut Pathogens","1757-4749",NA,"1757-4749","1757-4749","http://creativecommons.org/licenses/by/4.0/",TRUE,"31988666","PMC6972033","ut:000513553800001",NA,TRUE
"Greifswald U",2020,1285.2,"10.1016/j.heliyon.2020.e03187",FALSE,"Elsevier BV","Heliyon","2405-8440","2405-8440",NA,"2405-8440","http://creativecommons.org/licenses/by/4.0/",TRUE,"32042960","PMC7002776","ut:000510380200147",NA,TRUE
"Greifswald U",2020,1868.3,"10.1038/s41598-020-58412-w",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"32001763","PMC6992620","ut:000560426800001",NA,TRUE
"Greifswald U",2020,200,"10.3205/zma001300",FALSE,"German Medical Science","GMS Journal for Medical Education","2366-5017",NA,"2366-5017","2366-5017",NA,FALSE,"32270021","PMC7105766","ut:000514820100006",NA,TRUE
"Greifswald U",2020,2025.73,"10.3390/molecules25040849",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"32075139","PMC7070605","ut:000522454500085",NA,TRUE
"Greifswald U",2020,1966.36,"10.3390/nu12010127",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"31906475","PMC7019777","ut:000516825500127",NA,TRUE
"Greifswald U",2020,2002.18,"10.1186/s13756-020-0696-y",FALSE,"Springer Nature","Antimicrobial Resistance and Infection Control","2047-2994",NA,"2047-2994","2047-2994","http://creativecommons.org/licenses/by/4.0/",TRUE,"32066506","PMC7026959","ut:000518972100001",NA,TRUE
"Greifswald U",2020,2022.43,"10.3390/toxins12030176",FALSE,"MDPI AG","Toxins","2072-6651",NA,"2072-6651","2072-6651","https://creativecommons.org/licenses/by/4.0/",TRUE,"32178378","PMC7150838","ut:000525009500064",NA,TRUE
"Greifswald U",2020,1124.44,"10.22203/ecm.v039a11",FALSE,"European Cells and Materials","European Cells and Materials","1473-2262",NA,NA,"1473-2262",NA,TRUE,"32301500",NA,NA,NA,TRUE
"Greifswald U",2020,1621.48,"10.3390/microorganisms8040550",FALSE,"MDPI AG","Microorganisms","2076-2607",NA,"2076-2607","2076-2607","https://creativecommons.org/licenses/by/4.0/",TRUE,"32290343","PMC7232337","ut:000533510400037",NA,TRUE
"Greifswald U",2020,1808.8,"10.1136/bmjopen-2019-032826",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32381533","PMC7223144",NA,NA,TRUE
"Greifswald U",2020,1999.2,"10.1088/1748-9326/ab865d",FALSE,"IOP Publishing","Environmental Research Letters","1748-9326",NA,"1748-9326","1748-9326","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000547010900001",NA,TRUE
"Greifswald U",2020,1735.44,"10.1371/journal.pone.0230659",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"32315371","PMC7173846","ut:000536024800009",NA,TRUE
"Greifswald U",2020,2029.06,"10.3390/ijms21082869",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"32326070","PMC7215560","ut:000535565300211",NA,TRUE
"Greifswald U",2020,1820.7,"10.1038/s41398-020-0786-x",FALSE,"Springer Nature","Translational Psychiatry","2158-3188",NA,"2158-3188","2158-3188","https://creativecommons.org/licenses/by/4.0",TRUE,"32317621","PMC7174283","ut:000529508900001",NA,TRUE
"Greifswald U",2020,2002.96,"10.3389/fpsyt.2020.00349",FALSE,"Frontiers Media SA","Frontiers in Psychiatry","1664-0640",NA,"1664-0640","1664-0640","https://creativecommons.org/licenses/by/4.0/",TRUE,"32457660","PMC7225321","ut:000536688500001",NA,TRUE
"Greifswald U",2020,2002.4,"10.3389/fimmu.2020.00828",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224","https://creativecommons.org/licenses/by/4.0/",TRUE,"32425951","PMC7205023","ut:000536183400001",NA,TRUE
"Greifswald U",2020,1928.24,"10.3389/fneur.2020.00425",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295","https://creativecommons.org/licenses/by/4.0/",TRUE,"32581999","PMC7280464","ut:000543185300001",NA,TRUE
"Greifswald U",2020,1666,"10.1016/j.redox.2020.101570",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,"2213-2317","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32473461","PMC7260591","ut:000545325700015",NA,TRUE
"Greifswald U",2020,1774.16,"10.3390/vaccines8020310",FALSE,"MDPI AG","Vaccines","2076-393X",NA,"2076-393X","2076-393X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32560374","PMC7350230","ut:000550920200001",NA,TRUE
"Greifswald U",2020,2002.44,"10.3390/ijms21124460",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"32585948","PMC7352911","ut:000550137200001",NA,TRUE
"Greifswald U",2020,1608.25,"10.1371/journal.pone.0234156",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"32502206","PMC7274416","ut:000542035700010",NA,TRUE
"Greifswald U",2020,1737.34,"10.1371/journal.pone.0233854",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"32470006","PMC7259691","ut:000537552800195",NA,TRUE
"Greifswald U",2020,1270.2,"10.1038/s41467-020-17323-0",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"32651396","PMC7351949","ut:000548306300002",NA,TRUE
"Greifswald U",2020,1797.77,"10.3389/fimmu.2020.01570",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224","https://creativecommons.org/licenses/by/4.0/",TRUE,"32849533","PMC7412885","ut:000561550000001",NA,TRUE
"Greifswald U",2020,969.45,"10.3390/land9080267",FALSE,"MDPI AG","Land","2073-445X",NA,"2073-445X","2073-445X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000577806800001",NA,TRUE
"Greifswald U",2020,1945.95,"10.3390/ijms21165778",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"32806598","PMC7460866","ut:000565590900001",NA,TRUE
"Greifswald U",2020,1941.61,"10.3390/molecules25173860",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"32854270","PMC7503856","ut:000569948800001",NA,TRUE
"Greifswald U",2020,1833.06,"10.3390/nu12092733",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"32911625","PMC7551425","ut:000581977700001",NA,TRUE
"Greifswald U",2020,1133.77,"10.3389/ffgc.2020.581334",FALSE,"Frontiers Media SA","Frontiers in Forests and Global Change","2624-893X",NA,"2624-893X","2624-893X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000576473000001",NA,TRUE
"Greifswald U",2020,1160.38,"10.1177/2515816320962773",FALSE,"SAGE Publications","Cephalalgia Reports","2515-8163","2515-8163","2515-8163","2515-8163","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Greifswald U",2020,1934.59,"10.3390/ijms21197061",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"32992784","PMC7582387","ut:000586413400001",NA,TRUE
"Greifswald U",2020,783.35,"10.1177/2325967120985140",FALSE,"SAGE Publications","Orthopaedic Journal of Sports Medicine","2325-9671","2325-9671","2325-9671","2325-9671","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33718501","PMC7922622","ut:000624675000001",NA,TRUE
"Greifswald U",2020,1251.92,"10.1103/physrevresearch.2.043177",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Greifswald U",2020,1905.16,"10.3389/fneur.2020.577971",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295","https://creativecommons.org/licenses/by/4.0/",TRUE,"33329318","PMC7732608","ut:000596564800001",NA,TRUE
"Greifswald U",2020,1719.63,"10.3390/microorganisms8121887",FALSE,"MDPI AG","Microorganisms","2076-2607",NA,"2076-2607","2076-2607","https://creativecommons.org/licenses/by/4.0/",TRUE,"33260576","PMC7760263","ut:000602479000001",NA,TRUE
"Greifswald U",2020,1933.34,"10.3389/fpsyg.2020.576120",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"33312150","PMC7704436","ut:000594377700001",NA,TRUE
