"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Hannover U",2022,1888.53,"10.5194/wes-7-105-2022",FALSE,"Copernicus GmbH","Wind Energy Science","2366-7451",NA,"2366-7451","2366-7443","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,2094.4,"10.1002/elsc.202100100",FALSE,"Wiley-Blackwell","Engineering in Life Sciences","1618-0240","1618-0240","1618-2863","1618-0240","http://creativecommons.org/licenses/by/4.0/",TRUE,"35382534","PMC8961049",NA,NA,TRUE
"Hannover U",2022,1231.65,"10.5194/wes-7-1053-2022",FALSE,"Copernicus GmbH","Wind Energy Science","2366-7451",NA,"2366-7451","2366-7443","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1191.19,"10.5194/soil-8-269-2022",FALSE,"Copernicus GmbH","SOIL","2199-398X",NA,"2199-398X","2199-398X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1874.25,"10.5194/wes-7-1399-2022",FALSE,"Copernicus GmbH","Wind Energy Science","2366-7451",NA,"2366-7451","2366-7443","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1004.36,"10.1080/21681376.2021.2025417",FALSE,"Informa UK Limited","Regional Studies, Regional Science","2168-1376",NA,"2168-1376","2168-1376","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1404.2,"10.1016/j.arabjc.2022.104027",FALSE,"Elsevier BV","Arabian Journal of Chemistry","1878-5352","1878-5352",NA,"1878-5352","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1649.34,"10.5194/amt-15-2839-2022",FALSE,"Copernicus GmbH","Atmospheric Measurement Techniques","1867-8548",NA,"1867-8548","1867-1381","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1841.31,"10.1109/access.2022.3140871",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1073.03,"10.3390/alloys1010002",FALSE,"MDPI AG","Alloys","2674-063X",NA,"2674-063X","2674-063X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1502.26,"10.3390/ijgi11020082",FALSE,"MDPI AG","ISPRS International Journal of Geo-Information","2220-9964",NA,"2220-9964","2220-9964","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,2038.77,"10.3390/app12031098",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1545.18,"10.3390/diagnostics12020308",FALSE,"MDPI AG","Diagnostics","2075-4418",NA,"2075-4418","2075-4418","https://creativecommons.org/licenses/by/4.0/",TRUE,"35204399","PMC8871475",NA,NA,TRUE
"Hannover U",2022,1073.03,"10.3390/en15030875",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1718.05,"10.3390/foods11030378",FALSE,"MDPI AG","Foods","2304-8158",NA,"2304-8158","2304-8158","https://creativecommons.org/licenses/by/4.0/",TRUE,"35159528","PMC8834268",NA,NA,TRUE
"Hannover U",2022,2017.24,"10.1128/spectrum.01512-21",FALSE,"American Society for Microbiology","Microbiology Spectrum","2165-0497",NA,"2165-0497","2165-0497","https://creativecommons.org/licenses/by/4.0/",TRUE,"35171028","PMC8849099",NA,NA,TRUE
"Hannover U",2022,1555.9,"10.3390/horticulturae8020145",FALSE,"MDPI AG","Horticulturae","2311-7524",NA,"2311-7524","2311-7524","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Hannover U",2022,1770.52,"10.3390/plants11091153",FALSE,"MDPI AG","Plants","2223-7747",NA,"2223-7747","2223-7747","https://creativecommons.org/licenses/by/4.0/",TRUE,"35567154","PMC9102199",NA,NA,TRUE
"Hannover U",2022,1502.26,"10.3390/ma15041417",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"35207958","PMC8875747",NA,NA,TRUE
"Hannover U",2022,2011.94,"10.3390/rs14051094",FALSE,"MDPI AG","Remote Sensing","2072-4292",NA,"2072-4292","2072-4292","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
