"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Hannover U und TIB",2020,21091.65,"10.1007/s12104-020-09941-y",TRUE,"Springer Nature","Biomolecular NMR Assignments","1874-2718","1874-2718","1874-270X","1874-270X","https://creativecommons.org/licenses/by/4.0",TRUE,"32236803","PMC7462904","ut:000522703200001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s00362-020-01169-1",TRUE,"Springer Nature","Statistical Papers","0932-5026","0932-5026","1613-9798","0932-5026","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000521656700001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s40571-020-00337-2",TRUE,"Springer Nature","Computational Particle Mechanics","2196-4378","2196-4378","2196-4386","2196-4386","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000539782300001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s00170-020-05199-9",TRUE,"Springer Nature","The International Journal of Advanced Manufacturing Technology","0268-3768","0268-3768","1433-3015","0268-3768","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000520915900005",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s11740-020-01000-8",TRUE,"Springer Nature","Production Engineering","0944-6524","0944-6524","1863-7353","0944-6524","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000591964600002",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1057/s41288-020-00183-6",TRUE,"Springer Nature","The Geneva Papers on Risk and Insurance - Issues and Practice","1018-5895","1018-5895","1468-0440","1018-5895","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000566864200002",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s11740-020-00961-0",TRUE,"Springer Nature","Production Engineering","0944-6524","0944-6524","1863-7353","0944-6524","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000529586500001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s00521-020-05035-x",TRUE,"Springer Nature","Neural Computing and Applications","0941-0643","0941-0643","1433-3058","0941-0643","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000541389000002",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s11135-020-00968-w",TRUE,"Springer Nature","Quality & Quantity","0033-5177","0033-5177","1573-7845","0033-5177","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s11440-020-00997-7",TRUE,"Springer Nature","Acta Geotechnica","1861-1125","1861-1125","1861-1133","1861-1125","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000552940500003",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s11831-020-09477-3",TRUE,"Springer Nature","Archives of Computational Methods in Engineering","1134-3060","1134-3060","1886-1784","1134-3060","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000570845900001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1140/epjd/e2020-10120-x",TRUE,"Springer Nature","The European Physical Journal D","1434-6060","1434-6060","1434-6079","1434-6060","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000565243200001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s00253-020-11034-8",TRUE,"Springer Nature","Applied Microbiology and Biotechnology","0175-7598","0175-7598","1432-0614","0175-7598","https://creativecommons.org/licenses/by/4.0",TRUE,"33270152","PMC7778614","ut:000599000300001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s00466-020-01891-5",TRUE,"Springer Nature","Computational Mechanics","0178-7675","0178-7675","1432-0924","0178-7675","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000559440300001",NA,FALSE,"DEAL Springer Nature Germany"
"Hannover U und TIB",2020,21091.65,"10.1007/s42520-020-00210-9",TRUE,"Springer Nature","Neue Politische Literatur","0028-3320","0028-3320","2197-6082","0028-3320","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
