"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Heidelberg U",2019,748.39,"10.7717/peerj.8295",FALSE,"PeerJ","PeerJ","2167-8359",NA,"2167-8359","2167-8359","https://creativecommons.org/licenses/by/4.0/",TRUE,"32110478","PMC7032063","ut:000514172500001",NA,TRUE
"Heidelberg U",2019,1467.15,"10.3390/cancers12010043",FALSE,"MDPI AG","Cancers","2072-6694",NA,"2072-6694","2072-6694","https://creativecommons.org/licenses/by/4.0/",TRUE,"31877768","PMC7017198","ut:000516826700043",NA,TRUE
"Heidelberg U",2019,1661.24,"10.1186/s12870-020-2326-5",FALSE,"Springer Nature","BMC Plant Biology","1471-2229",NA,"1471-2229","1471-2229","http://creativecommons.org/licenses/by/4.0/",TRUE,"32164546","PMC7068990","ut:000521054700002",NA,TRUE
"Heidelberg U",2019,1661.24,"10.1186/s12875-020-01119-8",FALSE,"Springer Nature","BMC Family Practice","1471-2296",NA,"1471-2296","1471-2296","http://creativecommons.org/licenses/by/4.0/",TRUE,"32171252","PMC7073012","ut:000521182200001",NA,TRUE
"Heidelberg U",2019,1717.54,"10.1371/journal.pone.0226911",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"31881049","PMC6934330","ut:000515089200039",NA,TRUE
"Heidelberg U",2019,1894.48,"10.1186/s12877-020-01513-y",FALSE,"Springer Nature","BMC Geriatrics","1471-2318",NA,"1471-2318","1471-2318","http://creativecommons.org/licenses/by/4.0/",TRUE,"32228486","PMC7106800","ut:000522947400002",NA,TRUE
"Heidelberg U",2019,1894.48,"10.1186/s12889-020-08534-7",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","http://creativecommons.org/licenses/by/4.0/",TRUE,"32228537","PMC7106878","ut:000524208400006",NA,TRUE
"Heidelberg U",2019,2045.97,"10.1155/2020/3470163",FALSE,"Hindawi Publishing Corporation","Mediators of Inflammation","0962-9351","0962-9351","1466-1861","0962-9351","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000508370800001",NA,TRUE
"Heidelberg U",2019,1894.48,"10.1186/s12913-020-5045-6",FALSE,"Springer Nature","BMC Health Services Research","1472-6963",NA,"1472-6963","1472-6963","http://creativecommons.org/licenses/by/4.0/",TRUE,"32143630","PMC7059328","ut:000519059200014",NA,TRUE
"Heidelberg U",2019,1780.24,"10.1186/s12904-020-00540-1",FALSE,"Springer Nature","BMC Palliative Care","1472-684X",NA,"1472-684X","1472-684X","http://creativecommons.org/licenses/by/4.0/",TRUE,"32209073","PMC7093985","ut:000526775100003",NA,TRUE
"Heidelberg U",2019,1780.24,"10.1186/s12904-020-0527-1",FALSE,"Springer Nature","BMC Palliative Care","1472-684X",NA,"1472-684X","1472-684X","http://creativecommons.org/licenses/by/4.0/",TRUE,"32070311","PMC7029500","ut:000518901500001",NA,TRUE
"Heidelberg U",2019,1894.48,"10.1186/s12992-020-00552-9",FALSE,"Springer Nature","Globalization and Health","1744-8603",NA,"1744-8603","1744-8603","http://creativecommons.org/licenses/by/4.0/",TRUE,"32138789","PMC7059709","ut:000519041700001",NA,TRUE
"Heidelberg U",2019,1704.08,"10.1186/s13063-020-04280-8",FALSE,"Springer Nature","Trials","1745-6215",NA,"1745-6215","1745-6215","http://creativecommons.org/licenses/by/4.0/",TRUE,"32321565","PMC7178741","ut:000530143100001",NA,TRUE
"Heidelberg U",2019,1704.08,"10.1186/s13063-020-4220-8",FALSE,"Springer Nature","Trials","1745-6215",NA,"1745-6215","1745-6215","http://creativecommons.org/licenses/by/4.0/",TRUE,"32293519","PMC7092422","ut:000522076900002",NA,TRUE
"Heidelberg U",2019,1986.54,"10.3389/fendo.2020.00246",FALSE,"Frontiers Media SA","Frontiers in Endocrinology","1664-2392",NA,"1664-2392","1664-2392","https://creativecommons.org/licenses/by/4.0/",TRUE,"32411093","PMC7198727","ut:000533390600001",NA,TRUE
"Heidelberg U",2019,2010.17,"10.3389/fneur.2020.00161",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295","https://creativecommons.org/licenses/by/4.0/",TRUE,"32300327","PMC7145411","ut:000526857500001",NA,TRUE
"Heidelberg U",2019,1986.54,"10.3389/fneur.2020.00345",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295","https://creativecommons.org/licenses/by/4.0/",TRUE,"32425879","PMC7205018","ut:000536151000001",NA,TRUE
"Heidelberg U",2019,1986.54,"10.3389/fphar.2020.00681",FALSE,"Frontiers Media SA","Frontiers in Pharmacology","1663-9812",NA,"1663-9812","1663-9812","https://creativecommons.org/licenses/by/4.0/",TRUE,"32477140","PMC7240099",NA,NA,TRUE
"Heidelberg U",2019,2044.42,"10.3389/fpsyg.2020.00413",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"32231623","PMC7082416","ut:000525586400001",NA,TRUE
"Heidelberg U",2019,2044.42,"10.3389/fpsyg.2020.00470",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"32372993","PMC7177019","ut:000531228500001",NA,TRUE
"Heidelberg U",2019,1968.54,"10.3389/fpsyg.2020.00855",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"32425866","PMC7204526",NA,NA,TRUE
"Heidelberg U",2019,1986.54,"10.3389/fpsyg.2020.00900",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Heidelberg U",2019,1155.99,"10.3389/fpubh.2020.00046",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"32175300","PMC7054283","ut:000525036000001",NA,TRUE
"Heidelberg U",2020,498.13,"10.7717/peerj.8605",FALSE,"PeerJ","PeerJ","2167-8359",NA,"2167-8359","2167-8359","https://creativecommons.org/licenses/by/4.0/",TRUE,"32110495","PMC7034370","ut:000514173100013",NA,TRUE
"Heidelberg U",2020,551.27,"10.12688/f1000research.23034.1",FALSE,"F1000 Research, Ltd.","F1000Research","2046-1402",NA,"2046-1402","2046-1402","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Heidelberg U",2020,616.31,"10.1016/j.hrcr.2020.03.010",FALSE,"Elsevier BV","HeartRhythm Case Reports","2214-0271","2214-0271",NA,"2214-0271","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Heidelberg U",2020,753.78,"10.21873/invivo.11854",FALSE,"Anticancer Research USA Inc.","In Vivo","0258-851X","0258-851X","1791-7549","0258-851X",NA,TRUE,"32111800","PMC7157897","ut:000518144400057",NA,FALSE
"Heidelberg U",2020,800,"10.1177/2045894020915831",FALSE,"SAGE Publications","Pulmonary Circulation","2045-8940","2045-8940","2045-8940","2045-8932","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"Heidelberg U",2020,1438.71,"10.5194/cp-16-409-2020",FALSE,"Copernicus GmbH","Climate of the Past","1814-9332",NA,"1814-9332","1814-9324","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000518198000001",NA,TRUE
"Heidelberg U",2020,1492.33,"10.3390/biom10030386",FALSE,"MDPI AG","Biomolecules","2218-273X",NA,"2218-273X","2218-273X","https://creativecommons.org/licenses/by/4.0/",TRUE,"32131490","PMC7175380","ut:000529877600037",NA,TRUE
"Heidelberg U",2020,1501.22,"10.3390/jcm9030617",FALSE,"MDPI AG","Journal of Clinical Medicine","2077-0383",NA,"2077-0383","2077-0383","https://creativecommons.org/licenses/by/4.0/",TRUE,"32106458","PMC7141121","ut:000527278800006",NA,TRUE
"Heidelberg U",2020,1502.11,"10.3390/ijerph17041297",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601","1660-4601","https://creativecommons.org/licenses/by/4.0/",TRUE,"32085458","PMC7068404","ut:000522388500173",NA,TRUE
"Heidelberg U",2020,1502.11,"10.3390/ijms21041187",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"32054020","PMC7072839","ut:000522524400014",NA,TRUE
