"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Heidelberg U",2023,2173.4,"10.1007/s10851-022-01132-9",TRUE,"Springer Nature","Journal of Mathematical Imaging and Vision","0924-9907","0924-9907","1573-7683","0924-9907","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00106-022-01261-y",TRUE,"Springer Nature","HNO","0017-6192","0017-6192","1433-0458","0017-6192","https://creativecommons.org/licenses/by/4.0",TRUE,"36635394","PMC10066088",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00772-022-00962-6",TRUE,"Springer Nature","Gefässchirurgie","0948-7034","0948-7034","1434-3932","0948-7034","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s40266-022-00999-y",TRUE,"Springer Nature","Drugs & Aging","1170-229X","1170-229X","1179-1969","1170-229X","https://creativecommons.org/licenses/by-nc/4.0",TRUE,"36637788","PMC9839390",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00393-022-01306-1",TRUE,"Springer Nature","Zeitschrift für Rheumatologie","0340-1855","0340-1855","1435-1250","0340-1855","https://creativecommons.org/licenses/by/4.0",TRUE,"36600054","PMC10972917",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s11060-022-04217-y",TRUE,"Springer Nature","Journal of Neuro-Oncology","0167-594X","0167-594X","1573-7373","0167-594X","https://creativecommons.org/licenses/by/4.0",TRUE,"36598613","PMC10227167",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00332-022-09879-6",TRUE,"Springer Nature","Journal of Nonlinear Science","0938-8974","0938-8974","1432-1467","0938-8974","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00404-022-06902-9",TRUE,"Springer Nature","Archives of Gynecology and Obstetrics","1432-0711",NA,"1432-0711","0932-0067","https://creativecommons.org/licenses/by/4.0",TRUE,"36604331","PMC10191903",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s10103-022-03696-9",TRUE,"Springer Nature","Lasers in Medical Science","1435-604X",NA,"1435-604X","0268-8921","https://creativecommons.org/licenses/by/4.0",TRUE,"36600026","PMC9813123",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00464-022-09859-7",TRUE,"Springer Nature","Surgical Endoscopy","0930-2794","0930-2794","1432-2218","0930-2794","https://creativecommons.org/licenses/by/4.0",TRUE,"36609924","PMC10156835",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00247-022-05584-4",TRUE,"Springer Nature","Pediatric Radiology","1432-1998",NA,"1432-1998","0301-0449","https://creativecommons.org/licenses/by/4.0",TRUE,"36635378","PMC10212801",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00103-022-03652-6",TRUE,"Springer Nature","Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz","1436-9990","1436-9990","1437-1588","1436-9990","https://creativecommons.org/licenses/by/4.0",TRUE,"36648500","PMC9844932",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00701-022-05462-w",TRUE,"Springer Nature","Acta Neurochirurgica","0942-0940",NA,"0942-0940","0001-6268","https://creativecommons.org/licenses/by/4.0",TRUE,"36624233","PMC10006024",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00784-023-04861-2",TRUE,"Springer Nature","Clinical Oral Investigations","1436-3771",NA,"1436-3771","1432-6981","https://creativecommons.org/licenses/by/4.0",TRUE,"36640179","PMC10160193",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1557/s43580-022-00487-w",TRUE,"Springer Nature","MRS Advances","2059-8521",NA,"2059-8521","2059-8521","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00701-023-05488-8",TRUE,"Springer Nature","Acta Neurochirurgica","0942-0940",NA,"0942-0940","0001-6268","https://creativecommons.org/licenses/by/4.0",TRUE,"36629954","PMC10068646",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s11060-022-04230-1",TRUE,"Springer Nature","Journal of Neuro-Oncology","0167-594X","0167-594X","1573-7373","0167-594X","https://creativecommons.org/licenses/by/4.0",TRUE,"36648586","PMC9992027",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s10143-022-01940-y",TRUE,"Springer Nature","Neurosurgical Review","1437-2320",NA,"1437-2320","0344-5607","https://creativecommons.org/licenses/by/4.0",TRUE,"36640226","PMC9840575",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s10198-022-01561-8",TRUE,"Springer Nature","The European Journal of Health Economics","1618-7598","1618-7598","1618-7601","1618-7598","https://creativecommons.org/licenses/by/4.0",TRUE,"36656403","PMC9850332",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s11605-023-05593-0",TRUE,"Springer Nature","Journal of Gastrointestinal Surgery","1091-255X","1091-255X",NA,"1091-255X","http://creativecommons.org/licenses/by/4.0/",TRUE,"36658387","PMC10073158",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.3758/s13414-022-02604-1",TRUE,"Springer Nature","Attention, Perception, & Psychophysics","1943-3921","1943-3921","1943-393X","1943-3921","https://creativecommons.org/licenses/by/4.0",TRUE,"36690915","PMC9935725",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s11757-022-00755-3",TRUE,"Springer Nature","Forensische Psychiatrie, Psychologie, Kriminologie","1862-7072","1862-7072","1862-7080","1862-7072","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.3758/s13421-023-01393-8",TRUE,"Springer Nature","Memory & Cognition","0090-502X","0090-502X","1532-5946","0090-502X","https://creativecommons.org/licenses/by/4.0",TRUE,"36692821","PMC10368561",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00066-023-02049-x",TRUE,"Springer Nature","Strahlentherapie und Onkologie","0179-7158","0179-7158","1439-099X","0179-7158","https://creativecommons.org/licenses/by/4.0",TRUE,"36662238","PMC9938012",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s12028-022-01669-y",TRUE,"Springer Nature","Neurocritical Care","1541-6933","1541-6933","1556-0961","1541-6933","https://creativecommons.org/licenses/by/4.0",TRUE,"36697998","PMC10499750",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00278-022-00642-6",TRUE,"Springer Nature","Die Psychotherapie","2731-7161","2731-7161","2731-717X","2731-7161","https://creativecommons.org/licenses/by/4.0",TRUE,NA,"PMC9878479",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00056-022-00445-z",TRUE,"Springer Nature","Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie","1434-5293","1434-5293","1615-6714","1434-5293","https://creativecommons.org/licenses/by/4.0",TRUE,"36700953","PMC11186891",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00526-022-02413-2",TRUE,"Springer Nature","Calculus of Variations and Partial Differential Equations","0944-2669","0944-2669","1432-0835","0944-2669","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00062-022-01258-8",TRUE,"Springer Nature","Clinical Neuroradiology","1869-1439","1869-1439","1869-1447","1869-1439","https://creativecommons.org/licenses/by/4.0",TRUE,"36700986","PMC10449666",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s11629-022-7598-9",TRUE,"Springer Nature","Journal of Mountain Science","1672-6316","1672-6316","1993-0321","1672-6316","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Heidelberg U",2023,2173.4,"10.1007/s00423-023-02777-9",TRUE,"Springer Nature","Langenbeck's Archives of Surgery","1435-2451",NA,"1435-2451","1435-2443","https://creativecommons.org/licenses/by/4.0",TRUE,"36773118","PMC9922238",NA,NA,FALSE,"DEAL Springer Nature Germany"
