id;Institution;Period;Publisher;Journal;DOI;is_hybrid;Country;EURO;URL
;Heidelberg U;2016;BMC;BMC Women's Health;10.1186/s12905-018-0530-3;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Public Health;10.1186/s12889-018-5046-0;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Family practice;10.1186/s12875-018-0801-y;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Medical Education;10.1186/s12909-018-1257-4;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Medical education;10.1186/s12909-018-1174-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;Globalization and Health;10.1186/s12992-018-0394-1;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Cancer;10.1186/s12885-018-4525-0;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Cardiovascular Disorders;10.1186/s12872-018-0899-9;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;Frontiers Media SA;Frontiers in Oncology;10.3389/fimmu.2018.00701;FALSE;DEU;1484,5;NA
;Heidelberg U;2017;Frontiers Media SA;Frontiers in Psychology ;10.3389/fpsyg.2018.01176;FALSE;DEU;1119,81;NA
;Heidelberg U;2017;BMC;Journal of Neuroinflammation;10.1186/s12974-018-1144-2;FALSE;DEU;1899,24;NA
;Heidelberg U;2017;BMC;Journal of Inflammation;10.1186/s12950-018-0186-7;FALSE;DEU;1785;NA
;Heidelberg U;2017;Frontiers Media SA;Frontiers in Physiology;10.3389/fphys.2018.00345;FALSE;DEU;1058,28;NA
;Heidelberg U;2017;BMC;BMC Family Practice;10.1186/s12875-018-0816-4;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Health Services Research;10.1186/s12913-018-3174-y;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;International Journal for Equity in Health;10.1186/s12939-018-0770-8;FALSE;DEU;1723,12;NA
;Heidelberg U;2017;Frontiers Media SA;Frontiers in Psychiatry;10.3389/fpsyt.2018.00106;FALSE;DEU;843,38;NA
;Heidelberg U;2017;BMC;Trials;10.1186/s13063-018-2676-6;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;Radiation Oncology;10.1186/s13014-018-1088-9;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;BMC;BMC Genomics;10.1186/s12864-018-4673-2;FALSE;DEU;1661,24;NA
;Heidelberg U;2017;Frontiers Media SA;Frontiers in Behavioral Neuroscience;10.3389/fnbeh.2018.00057;FALSE;DEU;1974,1;NA
;Heidelberg U;2018;Wiley;Journal of Applied Clinical Medical Physics;10.1002/acm2.12359;FALSE;DEU;541,45;NA
;Heidelberg U;2018;Elsevier;International journal of surgery protocols;10.1016/j.isjp.2018.04.004;FALSE;DEU;683,56;NA
;Heidelberg U;2018;Elsevier;New Microbes and New Infections;10.1016/j.nmni.2018.05.003;FALSE;DEU;437,92;NA
;Heidelberg U;2018;Elsevier;SSM - Population Health;10.1016/j.ssmph.2018.04.006;FALSE;DEU;1314,53;NA
;Heidelberg U;2018;Macmillan Publ. Ltd;Scientific Reports;10.1038/s41598-018-23506-z;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Macmillan Publ. Ltd;Scientific Reports;10.1038/s41598-018-23818-0;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Macmillan Publ. Ltd;Scientific Reports;10.1038/s41598-018-24916-9;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Macmillan Publ. Ltd;Scientific Reports;10.1038/s41598-018-24920-z;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Macmillan Publ. Ltd;Scientific Reports;10.1038/s41598-018-26515-0;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-27452-8;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-28892-y;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-28999-2;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-29131-0;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Springer Nature;Scientific Reports;10.1038/s41598-018-30035-2;FALSE;DEU;1630,3;NA
;Heidelberg U;2018;Taylor & Francis;Global Health Action;10.1080/16549716.2018.1455347;FALSE;DEU;1743,35;NA
;Heidelberg U;2018;IOP Publishing;New Journal of Physics;10.1088/1367-2630/aac9dc;FALSE;DEU;1392,3;NA
