"institution","Publisher","ISSN","APC (€)","DOI","Year","is_hybrid"
"University of Helsinki","AAAS","2375-2548",3516.72,"10.1126/sciadv.ade2451",2023,NA
"University of Helsinki","American Society for Microbiology","2165-0497",2005,"10.1128/spectrum.01650-23",2023,NA
"University of Helsinki","American Society for Microbiology","2165-0497",3074.87,"10.1128/spectrum.03744-22",2023,NA
"University of Helsinki","American Society for Microbiology","2379-5042",2594,"10.1128/msphere.00538-22",2023,NA
"University of Helsinki","APS","1943-7706",2863.9,"10.1094/MPMI-07-23-0094-R",2023,NA
"University of Helsinki","ARVO","1534-7362 ",1673.35,"10.1167/jov.23.5.12",2023,NA
"University of Helsinki","ASCI","2379-3708",3549.96,"10.1172/jci.insight.171821",2023,NA
"University of Helsinki","Bioscientifica","2049-3614",1224.57,"10.1530/EC-23-0344",2023,NA
"University of Helsinki","BMC","1472-6963",2745,"10.1186/s12913-023-09818-5",2023,NA
"University of Helsinki","BMC","2049-2618",3191.5,"10.1186/s40168-023-01613-y",2023,NA
"University of Helsinki","BMC","1754-9493",2171.5,"10.1186/s13037-023-00353-0",2023,NA
"University of Helsinki","BMC","1472-6831",2086.5,"10.1186/S12903-023-03434-9",2023,NA
"University of Helsinki","BMC","1756-3305",2086.5,"10.1186/s13071-023-06032-4",2023,NA
"University of Helsinki","BMC","1472-6963",2256.5,"10.1186/S12913-023-09763-3",2023,NA
"University of Helsinki","BMC","1758-5996",2001.5,"10.1186/s13098-023-01164-0",2023,NA
"University of Helsinki","BMC","2041-9139",1945,"10.1186/s13227-022-00205-5",2023,NA
"University of Helsinki","BMC","1471-244X",2256.5,"10.1186/s12888-023-05390-8",2023,NA
"University of Helsinki","BMC","1471-2318",2031.5,"10.1186/s12877-023-04096-6",2023,NA
"University of Helsinki","BMC","1756-994X",3276.5,"10.1186/s13073-023-01221-3",2023,NA
"University of Helsinki","BMC","1471-2458",2426.5,"10.1186/s12889-023-17229-8",2023,NA
"University of Helsinki","BMC","1471-2393",2086.5,"10.1186/s12884-023-05665-8",2023,NA
"University of Helsinki","BMC","1471-230X",2345,"10.1186/s12876-023-02639-0",2023,NA
"University of Helsinki","BMC","1746-6148",2201.5,"10.1186/s12917-023-03737-7",2023,NA
"University of Helsinki","BMC","1471-2407",2256.5,"10.1186/s12885-023-10834-1",2023,NA
"University of Helsinki","BMC","1748-5908",2341.5,"10.1186/S13012-023-01316-W",2023,NA
"University of Helsinki","BMC","1472-6955",2001.5,"10.1186/S12912-023-01668-0",2023,NA
"University of Helsinki","BMC","1753-2000",2086.5,"10.1186/s13034-023-00591-1",2023,NA
"University of Helsinki","BMC","1471-2458",2341.5,"10.1186/s12889-023-16345-9",2023,NA
"University of Helsinki","BMC","2731-4391",1236.5,"10.1186/s44167-023-00034-4",2023,NA
"University of Helsinki","BMC","1757-2215",2256.5,"10.1186/S13048-023-01264-5",2023,NA
"University of Helsinki","BMC","1471-2482",2086.5,"10.1186/s12893-023-02014-6",2023,NA
"University of Helsinki","BMC","1471-2393",2445,"10.1186/s12884-023-05368-0",2023,NA
"University of Helsinki","BMC","2046-4053",1746.5,"10.1186/s13643-021-01814-2",2023,NA
"University of Helsinki","BMC","1472-6963",2341.5,"10.1186/s12913-023-09949-9",2023,NA
"University of Helsinki","BMC","1471-2342",2086.5,"10.1186/s12880-023-01093-4",2023,NA
"University of Helsinki","BMC","2730-7182",1916.5,"10.1186/s12862-023-02111-3",2023,NA
"University of Helsinki","BMC","2049-2618",2341.5,"10.1186/S12915-023-01709-9",2023,NA
"University of Helsinki","BMC","1471-2393",2086.5,"10.1186/s12884-023-05789-x",2023,NA
"University of Helsinki","BMC","1756-3305",2086.5,"10.1186/s13071-023-05864-4",2023,NA
"University of Helsinki","BMC","1748-717X",2171.5,"10.1186/s13014-023-02290-9",2023,NA
"University of Helsinki","BMC","2049-3258",1916.5,"10.1186/s13690-023-01115-1",2023,NA
"University of Helsinki","BMC","1479-7364",2256.5,"10.1186/s40246-023-00538-9",2023,NA
"University of Helsinki","BMC","1751-0147",2001.5,"10.1186/s13028-023-00698-7",2023,NA
"University of Helsinki","BMC","2052-3211",1746.5,"10.1186/S40545-023-00646-W",2023,NA
"University of Helsinki","BMC","1471-2164",2086.5,"10.1186/s12864-023-09836-x",2023,NA
"University of Helsinki","BMC","1746-6148",2256.5,"10.1186/s12917-023-03629-w",2023,NA
"University of Helsinki","BMC","1748-7188",1661.5,"10.1186/s13015-023-00227-1",2023,NA
"University of Helsinki","BMC","1471-2431",2001.5,"10.1186/s12887-023-04333-2",2023,NA
"University of Helsinki","BMC","1546-0096",2001.5,"10.1186/s12969-023-00878-9",2023,NA
"University of Helsinki","BMC","1471-2474",2001.5,"10.1186/s12891-023-06589-2",2023,NA
"University of Helsinki","BMC","1471-2393",2086.5,"10.1186/s12884-023-05790-4",2023,NA
"University of Helsinki","BMC","1477-3155",2341.5,"10.1186/s12951-023-02156-y",2023,NA
"University of Helsinki","BMC","1752-1947",1198.25,"10.1186/s13256-023-03892-3",2023,NA
"University of Helsinki","BMC","1751-0147",2001.5,"10.1186/s13028-023-00702-0",2023,NA
"University of Helsinki","BMC","1750-1172",2001.5,"10.1186/S13023-023-02973-2",2023,NA
"University of Helsinki","BMC","1477-7517",2341.5,"10.1186/s12954-023-00828-4",2023,NA
"University of Helsinki","BMJ","2044-6055",2400,"10.1136/bmjopen-2022-068964",2023,NA
"University of Helsinki","BMJ","2044-6055",2475,"10.1136/bmjopen-2023-071743",2023,NA
"University of Helsinki","BMJ","2044-6055",2475,"10.1136/bmjopen-2023-074921",2023,NA
"University of Helsinki","BMJ","2044-6055",2722.85,"10.1136/bmjopen-2023-077250",2023,NA
"University of Helsinki","BMJ","2044-6055",2722.85,"10.1136/bmjopen-2022-071342",2023,NA
"University of Helsinki","BMJ","2052-4897",2529.66,"10.1136/bmjdrc-2022-003278",2023,NA
"University of Helsinki","Cambridge University Press","1469-4409",2460.11,"10.1017/S0950268823001024",2023,NA
"University of Helsinki","Cambridge University Press","2048-6790",1730.49,"10.1017/jns.2023.103 ",2023,NA
"University of Helsinki","Cambridge University Press","2071-8322",1125,"10.1017/glj.2023.97 ",2023,NA
"University of Helsinki","Cambridge University Press","2632-8828",2402.24,"10.1017/qpb.2023.3",2023,NA
"University of Helsinki","Company of Biologists","1754-8403",3526.41,"10.1242/dmm.049692",2023,NA
"University of Helsinki","Copernicus","1867-8548",1209,"10.5194/amt-16-2781-2023",2023,NA
"University of Helsinki","Copernicus","1867-8548",1309,"10.5194/amt-16-1705-2023",2023,NA
"University of Helsinki","Copernicus","1607-7941",1078,"10.5194/hess-27-1033-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1309,"10.5194/acp-23-5993-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1386,"10.5194/acp-23-9347-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",2232,"10.5194/acp-23-3707-2023",2023,NA
"University of Helsinki","Copernicus","1680-7324",1694,"10.5194/acp-23-821-2023",2023,NA
"University of Helsinki","Copernicus","1994-0424",2046,"10.5194/tc-17-1913-2023",2023,NA
"University of Helsinki","Copernicus","1726-4189",1617,"10.5194/bg-20-4455-2023",2023,NA
