institution;period;euro;doi;is_hybrid
Kassel U;2019;1934;10.1186/s40538-019-0171-2;FALSE
Kassel U;2020;1467;10.3390/molecules25010067;FALSE
Kassel U;2020;1475;10.3390/rs12010126;FALSE
Kassel U;2020;1773;10.1038/s41598-020-59236-4;FALSE
Kassel U;2020;987;10.3390/foods9010079;FALSE
Kassel U;2020;1402;10.3390/su12020657;FALSE
Kassel U;2020;1320;10.3390/w12020325;FALSE
Kassel U;2020;1868;10.1038/s41598-020-59105-0;FALSE
Kassel U;2020;1419;10.3390/su12041283;FALSE
Kassel U;2020;910;10.3897/mycokeys.65.47574;FALSE
Kassel U;2020;1251;10.3390/app10041368;FALSE
Kassel U;2020;1668;10.3390/rs12040662;FALSE
Kassel U;2020;400;10.36900/suburban.v8i1/2.557;FALSE
Kassel U;2020;1470;10.1186/s13705-020-00247-4;FALSE
Kassel U;2020;1508;10.3390/w12030814 ;FALSE
Kassel U;2020;1434;10.3390/su12051928;FALSE
Kassel U;2020;1012;10.3390/su12072595;FALSE
Kassel U;2020;1691;10.3390/rs12071091;FALSE
Kassel U;2020;842;10.3390/quantum2020015;FALSE
Kassel U;2020;1983;10.1088/1748-9326/ab8330;FALSE
Kassel U;2020;1603;10.3390/w12041051;FALSE
Kassel U;2020;1520;10.3390/su12073001;FALSE
Kassel U;2020;714;10.4081/jlimnol.2020.1942;FALSE
Kassel U;2020;1352;10.3390/biom10050729;FALSE
Kassel U;2020;1521;10.3390/su12093887;FALSE
Kassel U;2020;1238;10.5751/ES-11587-250302;FALSE
Kassel U;2020;1367;10.3390/en13102532;FALSE
Kassel U;2020;1696;10.3390/molecules25102438;FALSE
Kassel U;2020;2010;10.3389/fnins.2020.00302;FALSE
Kassel U;2020;1525;10.3390/su12104129;FALSE
Kassel U;2020;1684;10.3390/ijerph17113985;FALSE
Kassel U;2020;1348;10.3390/foods9050650;FALSE
Kassel U;2020;835;10.3390/resources9060066;FALSE
Kassel U;2020;1739;10.1155/2020/7012525 ;FALSE
Kassel U;2020;1907;10.3389/fpsyg.2020.00811;FALSE
Kassel U;2020;1907;10.3389/fendo.2020.00273;FALSE
Kassel U;2020;1335;10.3390/foods9060740;FALSE
Kassel U;2020;1317;10.3390/ani10061028;FALSE
Kassel U;2020;2123;10.1364/OE.396198;FALSE
Kassel U;2020;1681;10.1371/journal.pone.0234703;FALSE
Kassel U;2020;1502;10.3390/en13123290;FALSE
Kassel U;2020;1681;10.1242/bio.052126;FALSE
Kassel U;2020;1669;10.3390/cells9061548;FALSE
Kassel U;2020;1335;10.3390/met10070884 ;FALSE
Kassel U;2020;1868;10.1038/s41598-020-68485-2;FALSE
Kassel U;2020;1560;10.1109/OAJPE.2020.3006344;FALSE
Kassel U;2020;1464;10.3390/su12135413;FALSE
Kassel U;2020;1627;10.3390/ma13143128;FALSE
Kassel U;2020;1852;10.3389/fpsyg.2020.01332;FALSE
Kassel U;2020;1197;10.3389/frwa.2020.00018 ;FALSE
Kassel U;2020;1464;10.3390/su12155894;FALSE
Kassel U;2020;1297;10.3390/insects11080488;FALSE
Kassel U;2020;1163;10.3390/math8081323;FALSE
Kassel U;2020;1077;10.3390/met10081088;FALSE
Kassel U;2020;969;10.3390/math8091397;FALSE
Kassel U;2020;1713;10.1371/journal.pone.0235930;FALSE
Kassel U;2020;1747;10.3390/su12176730;FALSE
Kassel U;2020;1949;10.3389/fpsyg.2020.01897;FALSE
Kassel U;2020;1418;10.1088/1367-2630/abad7f;FALSE
Kassel U;2020;1631;10.1093/jisesa/ieaa089 ;FALSE
Kassel U;2020;1371;10.1002/ece3.6259;FALSE
Kassel U;2020;1251;10.1029/2019EF001287;FALSE
Kassel U;2020;1516;10.1063/5.0021890;FALSE
Kassel U;2020;1741;10.3390/en13184826;FALSE
Kassel U;2020;1823;10.3389/fpsyg.2020.565537;FALSE
Kassel U;2020;690;10.3389/fsufs.2020.546167;FALSE
Kassel U;2020;1741;10.3390/en13184920;FALSE
Kassel U;2020;1290;10.3390/ani10101787;FALSE
Kassel U;2020;967;10.3390/educsci10100277;FALSE
Kassel U;2020;1935;10.3390/s20205819;FALSE
Kassel U;2020;955;10.1039/d0ra06320g;FALSE
Kassel U;2020;1548;10.3390/agronomy10101600;FALSE
Kassel U;2020;1558;10.3390/ma13204627;FALSE
Kassel U;2020;400;10.36900/suburban.v8i3.627  ;FALSE
Kassel U;2020;1548;10.3390/foods9111659;FALSE
Kassel U;2020;1540;10.3390/ani10112034;FALSE
Kassel U;2020;1548;10.3390/agronomy10111819;FALSE
Kassel U;2020;1892;10.3390/rs12223843;FALSE
Kassel U;2020;1548;10.3390/mi11121080;FALSE
