institution;period;euro;doi;is_hybrid
Kassel U;2022;1738,33;10.3390/met11122039;FALSE
Kassel U;2022;1738,33;10.3390/met11122050;FALSE
Kassel U;2022;1877,82;10.3390/polym14010029;FALSE
Kassel U;2022;1738,33;10.3390/ani12010037;FALSE
Kassel U;2022;1853,54;10.1109/ACCESS.2021.3135514;FALSE
Kassel U;2022;1853,54;10.1109/ACCESS.2021.3134373;FALSE
Kassel U;2022;1738,33;10.3390/met12010086;FALSE
Kassel U;2022;1738,33;10.3390/jof8010041;FALSE
Kassel U;2022;1665,19;10.1186/s40538-021-00258-z;FALSE
Kassel U;2022;1933,69;10.1038/s41598-021-01351-x;FALSE
Kassel U;2022;1665,19;10.1186/s40538-021-00261-4;FALSE
