"Institutiton","Period","Euro","doi","is_hybrid"
"Universität Konstanz","2017",1698.05,"10.1371/journal.pone.0168393",FALSE
"Universität Konstanz","2017",1698.06,"10.1371/journal.pone.0169058",FALSE
"Universität Konstanz","2017",1675.66,"10.1371/journal.pone.0169793",FALSE
"Universität Konstanz","2017",1967.81,"10.1364/OE.25.002594",FALSE
"Universität Konstanz","2017",1677.25,"10.1371/journal.pone.0168539",FALSE
"Universität Konstanz","2017",1856.40,"10.1088/1367-2630/aa5703",FALSE
"Universität Konstanz","2017",1389.47,"10.3389/fpls.2017.00007",FALSE
"Universität Konstanz","2017",1852.62,"10.3389/fpsyg.2017.00131",FALSE
"Universität Konstanz","2017",1386.35,"10.1038/srep33471",FALSE
"Universität Konstanz","2017",1694.50," 10.1371/journal.pone.0171992",FALSE
"Universität Konstanz","2017",1285.20,"10.1140/epjst/e2016-60239-5",TRUE
"Universität Konstanz","2017",1852.62,"10.3389/fpsyg.2017.00209",FALSE
"Universität Konstanz","2017",1670.76,"10.1088/1367-2630/aa5a3f",FALSE
"Universität Konstanz","2017",1552.95,"10.1038/srep43635",FALSE
"Universität Konstanz","2017",1661.24,"10.1186/s40793-017-0236-4",FALSE
"Universität Konstanz","2017",1852.62,"10.3389/fpsyg.2017.00547",FALSE
"Universität Konstanz","2017",1820.70,"10.1002/ece3.2928",FALSE
"Universität Konstanz","2017",1652.68,"10.1371/journal.pone.0176921",FALSE
"Universität Konstanz","2017",1410.15,"10.1093/scan/nsx044",FALSE
"Universität Konstanz","2017",1596.85,"10.1371/journal.pone.0177617",FALSE
"Universität Konstanz","2017",1299.48," 10.1088/1367-2630/aa6d05",FALSE
"Universität Konstanz","2017",1852.62,"10.3389/fpsyg.2017.00603",FALSE
"Universität Konstanz","2017",1852.62,"10.3389/fnhum.2017.00234",FALSE
"Universität Konstanz","2017",1852.62,"10.3389/fnins.2017.00264",FALSE
"Universität Konstanz","2017",1852.62,"10.3389/fpsyg.2017.00751",FALSE
"Universität Konstanz","2017",1963.86,"10.3389/fpls.2017.00835",FALSE
"Universität Konstanz","2017",1963.86,"10.3389/fnbeh.2017.00094",FALSE
"Universität Konstanz","2017",1963.86,"10.3389/fmicb.2017.00975",FALSE
"Universität Konstanz","2017",1963.86,"10.3389/fpls.2017.00954",FALSE
"Universität Konstanz","2017",1963.86,"10.3389/fncir.2017.00042",FALSE
"Universität Konstanz","2017",1552.95,"10.1038/s41598-017-05739-6",FALSE
"Universität Konstanz","2017",1010.36,"10.3389/fdigh.2017.00017",FALSE
"Universität Konstanz","2017",1264.05,"10.3390/app7080822",FALSE
"Universität Konstanz","2017",1510.10,"10.1371/journal.pone.0181865",FALSE
"Universität Konstanz","2017",1517.70,"10.1371/journal.pone.0183623",FALSE
"Universität Konstanz","2017",952.00,"10.17645/si.v5i3.945",FALSE
"Universität Konstanz","2017",1494.12,"10.1371/journal.pone.0183872",FALSE
"Universität Konstanz","2017",1966.10,"10.3389/fpsyg.2017.01446",FALSE
"Universität Konstanz","2017",1552.95,"10.1038/s41598-017-13659-8",FALSE
"Universität Konstanz","2017",1966.10,"10.3389/fphys.2017.00736",FALSE
"Universität Konstanz","2017",1966.10,"10.3389/fnhum.2017.00465",FALSE
"Universität Konstanz","2017",1966.10,"10.3389/fpsyg.2017.01967",FALSE
"Universität Konstanz","2017",1963.86,"10.3389/fevo.2017.00137",FALSE
"Universität Konstanz","2017",1740.97,"10.1093/gbe/evx218",FALSE
"Universität Konstanz","2017",1661.24,"10.1186/s12861-017-0157-x",FALSE
"Universität Konstanz","2017",1661.24,"10.1186/s12888-017-1414-z",FALSE
"Universität Konstanz","2017",1506.02,"10.1371/journal.pone.0184239",FALSE
"Universität Konstanz","2017",1506.00,"10.1371/journal.pone.0187541",FALSE
"Universität Konstanz","2017",1552.95,"10.1038/s41598-017-16913-1",FALSE
"Universität Konstanz","2017",1552.95,"10.1038/s41598-017-17262-9",FALSE
"Universität Konstanz","2017",1513.70,"10.1371/journal.pone.0188005",FALSE
"Universität Konstanz","2017",1901.62,"10.1080/20008198.2017.1389205",FALSE
"Universität Konstanz","2017",1190.00,"10.1057/s41599-017-0052-x",FALSE
"Universität Konstanz","2017",2000.00,"10.14573/altex.1710181",FALSE
"Universität Konstanz","2017",2377.62,"10.1038/ncomms15933","FALSE"
"Universität Konstanz","2017",2320.50,"10.1088/2053-1583/aa7364","FALSE"
"Universität Konstanz","2017",2175.17,"10.1534/g3.117.300083","FALSE"
"Universität Konstanz","2017",2142.00,"10.1002/open.201700113","FALSE"
"Universität Konstanz","2017",2096.58,"10.1523/ENEURO.0070-17.2017","FALSE"
"Universität Konstanz","2017",2380.00,"10.1038/s41467-017-01719-6","FALSE"
"Universität Konstanz","2017",2201.50,"10.1038/s41467-017-00756-5","FALSE"
