pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Universität Konstanz;Annali di Matematica Pura ed Applicata (1923 -);1618-1891;10.1007/s10231-022-01293-9;https://doi.org/10.1007/s10231-022-01293-9;29.12.2022;25.11.2022;2750;originalpaper;Research Article;optin
2;Universität Konstanz;Formal Methods in System Design;1572-8102;10.1007/s10703-022-00397-5;https://doi.org/10.1007/s10703-022-00397-5;05.10.2022;13.09.2022;2750;originalpaper;Research Article;optin
3;Universität Konstanz;Synthese;1573-0964;10.1007/s11229-022-03888-4;https://doi.org/10.1007/s11229-022-03888-4;03.10.2022;04.09.2022;2750;originalpaper;Research Article;optin
4;Universität Konstanz;The ISME Journal;1751-7370;10.1038/s41396-022-01226-7;https://doi.org/10.1038/s41396-022-01226-7;20.04.2022;14.03.2022;2750;originalpaper;Research Article;optin
5;Universität Konstanz;Colloid and Polymer Science;1435-1536;10.1007/s00396-022-05000-1;https://doi.org/10.1007/s00396-022-05000-1;30.06.2022;16.06.2022;2750;originalpaper;Research Article;optin
6;Universität Konstanz;Jahresbericht der Deutschen Mathematiker-Vereinigung;1869-7135;10.1365/s13291-022-00245-9;https://doi.org/10.1365/s13291-022-00245-9;27.01.2022;12.01.2022;917;bookreview;Non Research Article;optin
7;Universität Konstanz;Computational Optimization and Applications;1573-2894;10.1007/s10589-022-00390-y;https://doi.org/10.1007/s10589-022-00390-y;28.08.2022;17.06.2022;2750;originalpaper;Research Article;optin
8;Universität Konstanz;Coral Reefs;1432-0975;10.1007/s00338-022-02233-y;https://doi.org/10.1007/s00338-022-02233-y;22.03.2022;31.01.2022;2750;originalpaper;Research Article;optin
9;Universität Konstanz;Vietnam Journal of Mathematics;2305-2228;10.1007/s10013-022-00549-4;https://doi.org/10.1007/s10013-022-00549-4;24.02.2022;17.11.2021;2750;originalpaper;Research Article;optin
10;Universität Konstanz;Numerische Mathematik;0945-3245;10.1007/s00211-021-01264-x;https://doi.org/10.1007/s00211-021-01264-x;09.01.2022;13.12.2021;2750;originalpaper;Research Article;optin
11;Universität Konstanz;Discrete & Computational Geometry;1432-0444;10.1007/s00454-022-00385-w;https://doi.org/10.1007/s00454-022-00385-w;15.04.2022;24.11.2021;2750;originalpaper;Research Article;optin
12;Universität Konstanz;Positivity;1572-9281;10.1007/s11117-022-00948-4;https://doi.org/10.1007/s11117-022-00948-4;20.10.2022;06.10.2022;2750;originalpaper;Research Article;optin
13;Universität Konstanz;BioSpektrum;1868-6249;10.1007/s12268-022-1764-z;https://doi.org/10.1007/s12268-022-1764-z;21.05.2022;;2750;reviewpaper;Research Article;optin
14;Universität Konstanz;Motivation and Emotion;1573-6644;10.1007/s11031-022-09943-4;https://doi.org/10.1007/s11031-022-09943-4;15.06.2022;19.04.2022;2750;originalpaper;Research Article;optin
15;Universität Konstanz;Zeitschrift für Ethik und Moralphilosophie;2522-0071;10.1007/s42048-022-00120-3;https://doi.org/10.1007/s42048-022-00120-3;02.05.2022;05.04.2022;2750;briefcommunication;Research Article;optin
16;Universität Konstanz;The ISME Journal;1751-7370;10.1038/s41396-022-01283-y;https://doi.org/10.1038/s41396-022-01283-y;15.07.2022;28.06.2022;2750;originalpaper;Research Article;optin
17;Universität Konstanz;Symbiosis;1878-7665;10.1007/s13199-022-00841-4;https://doi.org/10.1007/s13199-022-00841-4;27.05.2022;30.04.2022;2750;originalpaper;Research Article;optin
18;Universität Konstanz;Minds and Machines;1572-8641;10.1007/s11023-022-09619-5;https://doi.org/10.1007/s11023-022-09619-5;29.12.2022;13.12.2022;2750;originalpaper;Research Article;optin
19;Universität Konstanz;Law and Philosophy;1573-0522;10.1007/s10982-022-09446-w;https://doi.org/10.1007/s10982-022-09446-w;30.06.2022;25.02.2022;2750;originalpaper;Research Article;optin
20;Universität Konstanz;Computational Economics;1572-9974;10.1007/s10614-022-10250-w;https://doi.org/10.1007/s10614-022-10250-w;08.04.2022;23.02.2022;2750;originalpaper;Research Article;optin
21;Universität Konstanz;Synthese;1573-0964;10.1007/s11229-022-03565-6;https://doi.org/10.1007/s11229-022-03565-6;07.03.2022;26.12.2021;2750;originalpaper;Research Article;optin
22;Universität Konstanz;Asian Business & Management;1476-9328;10.1057/s41291-022-00181-7;https://doi.org/10.1057/s41291-022-00181-7;21.05.2022;27.04.2022;2750;originalpaper;Research Article;optin
