"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Johannes Kepler University Linz",2018,1609.23,"10.3390/polym10090969",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"30960893","PMC6403631","ut:000449988800038",NA,TRUE
"Johannes Kepler University Linz",2018,636,"10.1080/14686996.2018.1498703",FALSE,"Informa UK Limited","Science and Technology of Advanced Materials","1468-6996","1468-6996","1878-5514","1468-6996","http://creativecommons.org/licenses/by/4.0",TRUE,"30128054","PMC6095020","ut:000441668800001",NA,TRUE
"Johannes Kepler University Linz",2018,663.56,"10.3390/biom8030073",FALSE,"MDPI AG","Biomolecules","2218-273X",NA,"2218-273X","2218-273X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30126165","PMC6164163","ut:000448394900031",NA,TRUE
"Johannes Kepler University Linz",2018,2765.81,"10.3389/fnmol.2018.00306",FALSE,"Frontiers Media SA","Frontiers in Molecular Neuroscience","1662-5099",NA,"1662-5099","1662-5099","https://creativecommons.org/licenses/by/4.0/",TRUE,"30233309","PMC6131644","ut:000443649400001",NA,TRUE
"Johannes Kepler University Linz",2018,1315.2,"10.1038/s41598-018-31901-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"30228297","PMC6143606","ut:000444802000003",NA,TRUE
"Johannes Kepler University Linz",2018,686.31,"10.1039/c8ra05531a",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000448423500062",NA,TRUE
"Johannes Kepler University Linz",2018,1290.26,"10.3390/mi9120625",FALSE,"MDPI AG","Micromachines","2072-666X",NA,"2072-666X","2072-666X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30486446","PMC6316455","ut:000455072800016",NA,TRUE
"Johannes Kepler University Linz",2018,614.29,"10.3390/antiox7120194",FALSE,"MDPI AG","Antioxidants","2076-3921",NA,"2076-3921","2076-3921","https://creativecommons.org/licenses/by/4.0/",TRUE,"30567321","PMC6315359","ut:000454709200025",NA,TRUE
"Johannes Kepler University Linz",2019,1544.38,"10.3390/s19040961",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"30813504","PMC6412514","ut:000460829200212",NA,TRUE
"Johannes Kepler University Linz",2019,1544.38,"10.3390/s19040959",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"30813494","PMC6412999","ut:000460829200210",NA,TRUE
"Johannes Kepler University Linz",2019,2015.72,"10.3389/fneur.2019.01257",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295","https://creativecommons.org/licenses/by/4.0/",TRUE,"31849820","PMC6902021","ut:000501872000001",NA,TRUE
"Johannes Kepler University Linz",2019,1525.04,"10.3390/ma12060929",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"30897809","PMC6470626","ut:000464359900013",NA,TRUE
"Johannes Kepler University Linz",2019,1158.3,"10.3390/s19040925",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"30813266","PMC6412414","ut:000460829200176",NA,TRUE
"Johannes Kepler University Linz",2019,450.44,"10.3390/biom9020063",FALSE,"MDPI AG","Biomolecules","2218-273X",NA,"2218-273X","2218-273X","https://creativecommons.org/licenses/by/4.0/",TRUE,"30781892","PMC6406578","ut:000460699000027",NA,TRUE
"Johannes Kepler University Linz",2019,3254.41,"10.3389/fpsyg.2019.02098",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"31632311","PMC6779792","ut:000496961000001",NA,TRUE
"Johannes Kepler University Linz",2019,1295.18,"10.3390/polym11060996",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"31167458","PMC6631949","ut:000473819100068",NA,TRUE
"Johannes Kepler University Linz",2019,1295.18,"10.3390/polym11071165",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"31288492","PMC6680636","ut:000480539500082",NA,TRUE
"Johannes Kepler University Linz",2019,1007.64,"10.1039/c9ra01758e",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,"ut:000498861100028",NA,TRUE
"Johannes Kepler University Linz",2019,1788,"10.1038/s41598-019-55856-7",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"31844124","PMC6915761","ut:000503188600001",NA,TRUE
