institution;period;DOI;euro;is_hybrid
Johannes Gutenberg Universität Mainz;2016;10.1038/srep20322;1.165,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fnins.2016.00014;1.756,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0145948;1.256,63;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13287-015-0268-x;1.559,50;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13024-016-0084-5;1.640,50;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0145949;1.251,51;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3390/v8020037;1.153,29;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fnins.2016.00107;793,33;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fnana.2016.00047;2.249,83;FALSE
Johannes Gutenberg Universität Mainz;2016;http://dx.doi.org/10.1371/journal.pone.0147165;1.232,94;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0149193;1.219,62;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1155/2016/3467832;1.384,49;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12974-016-0542-6;1.619,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13104-016-1937-2;850;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0151913;1.350,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.18632/oncotarget.8337;1.806,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1155/2016/2596956;1.785,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1093/nar/gkw473;2.130,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13148-016-0215-4;1.995,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fimmu.2016.00232;1.963,65;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12888-016-0807-8;1.538,25;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0153978;1.311,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1136/bmjopen-2015-010843;1.900,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1523/ENEURO.0096-16.2016;1.310,93;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0155357;1.343,21;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fncir.2016.00040;1.904,72;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13063-016-1417-y;1.538,25;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12920-016-0210-9;1.538,25;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12868-016-0280-9;1.745,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12888-016-0908-4;1.830,52;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fimmu.2016.00294;1.979,73;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3390/ijms17010084;1.327,82;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12888-016-0875-9;1.451,21;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12871-016-0261-7;1.800,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep29759;1.165,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep29629;1.165,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0161505;1.350,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1016/j.invent.2016.07.003;1.127,45;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1093/nar/gkw791;2.130,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12885-016-2797-9;1.745,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1155/2016/7943495;1.901,24;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep32337;1.398,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep38298;1.165,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12888-016-0995-2;1.830,52;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep32554;1.398,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fpsyg.2015.01985;1.781,96;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0157009;1.415,67;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0145490;1.641,80;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/frobt.2016.00003;1.757,12;FALSE
Johannes Gutenberg Universität Mainz;2016;10.5194/acp-16-1029-2016;1.249,50;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1002/ece3.2063;1.456,56;FALSE
Johannes Gutenberg Universität Mainz;2016;10.18632/oncotarget.7605;2.604,06;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3402/tellusb.v68.29020;1.600,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0153290;1.427,75;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fpsyg.2016.00247;2.054,33;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13321-016-0173-z;1.898,05;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1155/2016/8628039;1.385,55;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fnhum.2015.00701;1.735,79;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1364/OE.24.015383;2.026,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fpsyg.2016.00994;2.042,46;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fnagi.2016.00187;2.645,62;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pone.0155765;1.321,37;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1371/journal.pcbi.1005029;2.402,21;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep28704;1.663,62;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep28375;1.386,35;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fmicb.2016.01486;2.237,99;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep30108;1.386,35;FALSE
Johannes Gutenberg Universität Mainz;2016;10.5194/amt-9-5135-2016;1.677,90;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1126/science.aaf7943;1.791,95;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep34618;1.386,35;FALSE
Johannes Gutenberg Universität Mainz;2016;10.5194/se-7-1243-2016;1.713,60;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1107/S241431461601782X;110,42;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13104-016-2062-y;1.314,95;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/ncomms10510;4.403,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s12862-016-0764-3;2.142,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1186/s13063-016-1707-4;2.142,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1002/open.201500206;2.083,33;FALSE
Johannes Gutenberg Universität Mainz;2016;10.2196/jmir.6003;2.498,31;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1093/ijnp/pyv091;1.700,00;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1107/s2414314616019635;95,23;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1038/srep35099;1.386,35;FALSE
Johannes Gutenberg Universität Mainz;2016;10.1107/s2414314616019507;111,73;FALSE
Johannes Gutenberg Universität Mainz;2016;10.3389/fnbeh.2016.00199;2.698,63;FALSE
