"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"JGU Mainz",2020,1346.36,"10.3390/pharmaceutics12020123",FALSE,"MDPI AG","Pharmaceutics","1999-4923",NA,"1999-4923","1999-4923","https://creativecommons.org/licenses/by/4.0/",TRUE,"32028731","PMC7076532","ut:000519268500025",NA,TRUE
"JGU Mainz",2020,1484.51,"10.3390/f11010117",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907","1999-4907","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000513184500117",NA,TRUE
"JGU Mainz",2020,1486.25,"10.1002/ece3.5978",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"32076510","PMC7029084","ut:000506305600001",NA,TRUE
"JGU Mainz",2020,1519.44,"10.3390/molecules25061451",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"32210166","PMC7145299","ut:000530248700194",NA,TRUE
"JGU Mainz",2020,1185.62,"10.3390/life10050055",FALSE,"MDPI AG","Life","2075-1729",NA,"2075-1729","2075-1729","https://creativecommons.org/licenses/by/4.0/",TRUE,"32366017","PMC7281324","ut:000540843800026",NA,TRUE
"JGU Mainz",2020,1788.9,"10.3390/molecules25040925",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"32093040","PMC7070710","ut:000522454500161",NA,TRUE
"JGU Mainz",2020,1588.6,"10.3390/cells9020472",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"32085646","PMC7072724","ut:000521944900213",NA,TRUE
"JGU Mainz",2020,1775.73,"10.3390/jcm9010178",FALSE,"MDPI AG","Journal of Clinical Medicine","2077-0383",NA,"2077-0383","2077-0383","https://creativecommons.org/licenses/by/4.0/",TRUE,"31936478","PMC7019748","ut:000515388400178",NA,TRUE
"JGU Mainz",2020,1578.47,"10.1371/journal.pone.0228501",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"32012198","PMC6996849","ut:000534615800038",NA,TRUE
"JGU Mainz",2020,1868.3,"10.1038/s41598-020-57895-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"31964982","PMC6972853","ut:000512142100044",NA,TRUE
