"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"JGU Mainz",2021,1389.07,"10.1007/s35834-021-00325-3",TRUE,"Springer Nature","Zeitschrift für Bildungsforschung","2190-6890","2190-6890","2190-6904","2190-6890","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s12268-021-1662-9",TRUE,"Springer Nature","BIOspektrum","0947-0867","0947-0867","1868-6249","0947-0867","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00531-021-02026-8",TRUE,"Springer Nature","International Journal of Earth Sciences","1437-3254","1437-3254","1437-3262","1437-3254","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000642828400001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s11615-021-00339-6",TRUE,"Springer Nature","Politische Vierteljahresschrift","0032-3470","0032-3470","1862-2860","0032-3470","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000680299700001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.3758/s13414-021-02279-0",TRUE,"Springer Nature","Attention, Perception, & Psychophysics","1943-3921","1943-3921","1943-393X","1943-3921","https://creativecommons.org/licenses/by/4.0",TRUE,"33890240","PMC8302528","ut:000642401000003",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s11538-021-00900-9",TRUE,"Springer Nature","Bulletin of Mathematical Biology","0092-8240","0092-8240","1522-9602","0092-8240","https://creativecommons.org/licenses/by/4.0",TRUE,"33932170","PMC8088428","ut:000647630900001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1057/s41272-021-00289-z",TRUE,"Springer Nature","Journal of Revenue and Pricing Management","1476-6930","1476-6930","1477-657X","1476-6930","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000622236000001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00204-021-03058-4",TRUE,"Springer Nature","Archives of Toxicology","0340-5761","0340-5761","1432-0738","0340-5761","https://creativecommons.org/licenses/by/4.0",TRUE,"34021777","PMC8241674","ut:000652979200002",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00451-021-00442-9",TRUE,"Springer Nature","Forum der Psychoanalyse","0178-7667","0178-7667","1437-0751","0178-7667","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000678415900001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s10013-021-00507-6",TRUE,"Springer Nature","Vietnam Journal of Mathematics","2305-221X","2305-221X","2305-2228","2305-221X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000658099100002",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00291-021-00628-x",TRUE,"Springer Nature","OR Spectrum","0171-6468","0171-6468","1436-6304","0171-6468","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000673244100001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00216-021-03350-3",TRUE,"Springer Nature","Analytical and Bioanalytical Chemistry","1618-2642","1618-2642","1618-2650","1618-2642","https://creativecommons.org/licenses/by/4.0",TRUE,"33973021","PMC8189947","ut:000648807800001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s40096-021-00388-3",TRUE,"Springer Nature","Mathematical Sciences","2008-1359","2008-1359","2251-7456","2008-1359","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000628461800001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00291-021-00633-0",TRUE,"Springer Nature","OR Spectrum","0171-6468","0171-6468","1436-6304","0171-6468","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000664570600001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00040-021-00810-y",TRUE,"Springer Nature","Insectes Sociaux","0020-1812","0020-1812","1420-9098","0020-1812","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000626367900001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s13348-021-00342-5",TRUE,"Springer Nature","Collectanea Mathematica","0010-0757","0010-0757","2038-4815","0010-0757","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000731819900001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s10959-021-01102-8",TRUE,"Springer Nature","Journal of Theoretical Probability","0894-9840","0894-9840","1572-9230","0894-9840","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000647340200001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1140/epja/s10050-021-00414-x",TRUE,"Springer Nature","The European Physical Journal A","1434-6001","1434-6001","1434-601X","1434-6001","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000636241300001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s10590-021-09266-0",TRUE,"Springer Nature","Machine Translation","0922-6567","0922-6567","1573-0573","0922-6567","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000660439300001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00204-021-03133-w",TRUE,"Springer Nature","Archives of Toxicology","0340-5761","0340-5761","1432-0738","0340-5761","https://creativecommons.org/licenses/by/4.0",TRUE,"34382094","PMC8448697","ut:000684046800001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1140/epjd/s10053-021-00328-9",TRUE,"Springer Nature","The European Physical Journal D","1434-6060","1434-6060","1434-6079","1434-6060","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000740372200001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s10746-021-09588-1",TRUE,"Springer Nature","Human Studies","0163-8548","0163-8548","1572-851X","0163-8548","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000677960900001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1140/epje/s10189-021-00058-1",TRUE,"Springer Nature","The European Physical Journal E","1292-8941","1292-8941","1292-895X","1292-8941","https://creativecommons.org/licenses/by/4.0",TRUE,"33860860","PMC8052248","ut:000640789000001",NA,FALSE,"DEAL Springer Nature Germany"
"JGU Mainz",2021,1389.07,"10.1007/s00392-020-01798-4",TRUE,"Springer Nature","Clinical Research in Cardiology","1861-0684","1861-0684","1861-0692","1861-0684","https://creativecommons.org/licenses/by/4.0",TRUE,"33433670","PMC8099767","ut:000607368400001",NA,FALSE,"DEAL Springer Nature Germany"
