"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"JGU Mainz",2021,1837,"10.1038/s41598-021-89497-6",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33980915","PMC8115131","ut:000652604900005",NA,TRUE
"JGU Mainz",2021,1837,"10.1038/s41598-021-87288-7",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33828215","PMC8026620","ut:000640395800019",NA,TRUE
"JGU Mainz",2021,1837,"10.1038/s41598-021-90714-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"34075094","PMC8169674","ut:000660844900010",NA,TRUE
"JGU Mainz",2021,5390.7,"10.1038/s41467-021-27632-7",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34916510","PMC8677790","ut:000731101200023",NA,TRUE
"JGU Mainz",2021,5390.7,"10.1038/s41467-021-26892-7",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34764314","PMC8586249","ut:000717958200013",NA,TRUE
"JGU Mainz",2021,1894.48,"10.1186/s12871-021-01336-3",FALSE,"Springer Nature","BMC Anesthesiology","1471-2253",NA,"1471-2253","1471-2253","http://creativecommons.org/licenses/by/4.0/",TRUE,"33858338","PMC8048155","ut:000641478700002",NA,TRUE
"JGU Mainz",2021,3451,"10.1038/s41467-021-22861-2",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"33976151","PMC8113555","ut:000658723900016",NA,TRUE
"JGU Mainz",2021,1837,"10.1038/s41598-021-89090-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33980902","PMC8115322","ut:000652602100022",NA,TRUE
"JGU Mainz",2021,1960.78,"10.1186/s12888-021-03410-z",FALSE,"Springer Nature","BMC Psychiatry","1471-244X",NA,"1471-244X","1471-244X","https://creativecommons.org/licenses/by/4.0",TRUE,"34419009","PMC8380405","ut:000687156400003",NA,TRUE
"JGU Mainz",2021,1842.54,"10.1186/s12864-021-07857-y",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","https://creativecommons.org/licenses/by/4.0",TRUE,"34372786","PMC8351084","ut:000685089900001",NA,TRUE
"JGU Mainz",2021,5390.7,"10.1038/s41467-021-26954-w",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34789733","PMC8599670","ut:000720063500003",NA,TRUE
"JGU Mainz",2021,1837,"10.1038/s41598-021-92826-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"34193884","PMC8245561","ut:000671791200010",NA,TRUE
"JGU Mainz",2021,5390.7,"10.1038/s41467-021-24986-w",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34404776","PMC8371135","ut:000686662300021",NA,TRUE
"JGU Mainz",2021,1799.28,"10.1186/s12862-021-01890-x",FALSE,"Springer Nature","BMC Ecology and Evolution","2730-7182",NA,"2730-7182","2730-7182","https://creativecommons.org/licenses/by/4.0",TRUE,"34461829","PMC8404329","ut:000692732800001",NA,TRUE
"JGU Mainz",2021,1842.54,"10.1186/s12864-021-08196-8",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","https://creativecommons.org/licenses/by/4.0",TRUE,"34861814","PMC8642982","ut:000726070800002",NA,TRUE
"JGU Mainz",2021,2010.05,"10.1186/s12913-021-06794-6",FALSE,"Springer Nature","BMC Health Services Research","1472-6963",NA,"1472-6963","1472-6963","https://creativecommons.org/licenses/by/4.0",TRUE,"34419018","PMC8379870","ut:000687175500011",NA,TRUE
"JGU Mainz",2021,5390.7,"10.1038/s41467-021-25450-5",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34446724","PMC8390752","ut:000691126200023",NA,TRUE
"JGU Mainz",2021,1894.48,"10.1186/s12871-021-01436-0",FALSE,"Springer Nature","BMC Anesthesiology","1471-2253",NA,"1471-2253","1471-2253","https://creativecommons.org/licenses/by/4.0",TRUE,"34517845","PMC8435760","ut:000698155300003",NA,TRUE
"JGU Mainz",2021,1753.72,"10.1186/s12912-021-00687-z",FALSE,"Springer Nature","BMC Nursing","1472-6955",NA,"1472-6955","1472-6955","https://creativecommons.org/licenses/by/4.0",TRUE,"34488742","PMC8419389","ut:000693246500003",NA,TRUE
"JGU Mainz",2021,1933.69,"10.1038/s41597-021-01014-6",FALSE,"Springer Nature","Scientific Data","2052-4463",NA,"2052-4463","2052-4463","https://creativecommons.org/licenses/by/4.0",TRUE,"34475412","PMC8413275","ut:000694224800003",NA,TRUE
"JGU Mainz",2021,1933.69,"10.1038/s41598-021-00331-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"34707116","PMC8551319","ut:000727230500006",NA,TRUE
"JGU Mainz",2021,3904.33,"10.1038/s41419-021-04257-8",FALSE,"Springer Nature","Cell Death and Disease","2041-4889",NA,"2041-4889","2041-4889","https://creativecommons.org/licenses/by/4.0",TRUE,"34671021","PMC8528934","ut:000709405900005",NA,TRUE
"JGU Mainz",2021,1842.54,"10.1186/s13005-021-00292-0",FALSE,"Springer Nature","Head & Face Medicine","1746-160X",NA,"1746-160X","1746-160X","https://creativecommons.org/licenses/by/4.0",TRUE,"34479595","PMC8414848","ut:000694214900001",NA,TRUE
"JGU Mainz",2021,5390.7,"10.1038/s41467-021-25929-1",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34580290","PMC8476602","ut:000700605800012",NA,TRUE
"JGU Mainz",2021,1763.72,"10.1186/s12859-021-04461-5",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105","https://creativecommons.org/licenses/by/4.0",TRUE,"34949163","PMC8697502","ut:000734160400001",NA,TRUE
"JGU Mainz",2021,1837,"10.1038/s41598-021-89442-7",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33986324","PMC8119940","ut:000656941100004",NA,TRUE
