institution;period;euro;doi;is_hybrid;opt_out;Article Type;Article URL
Universität Mannheim;2021;3.708;10.1007/s11616-021-00700-0;TRUE;FALSE;Letter;https://link.springer.com/article/10.1007/s11616-021-00700-0
Universität Mannheim;2021;3.708;10.1007/s11336-021-09818-6;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11336-021-09818-6
Universität Mannheim;2021;3.708;10.1007/s11615-021-00361-8;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11615-021-00361-8
Universität Mannheim;2021;3.708;10.1007/s10683-021-09737-4;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s10683-021-09737-4
Universität Mannheim;2021;3.708;10.1007/s00498-021-00309-8;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s00498-021-00309-8
Universität Mannheim;2021;3.708;10.1007/s11266-021-00424-9;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11266-021-00424-9
Universität Mannheim;2021;3.708;10.1007/s00103-021-03451-5;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s00103-021-03451-5
Universität Mannheim;2021;3.708;10.1365/s13291-021-00242-4;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1365/s13291-021-00242-4
Universität Mannheim;2021;3.708;10.1007/s11081-021-09686-0;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11081-021-09686-0
Universität Mannheim;2021;3.708;10.1007/s42010-021-00129-4;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s42010-021-00129-4
Universität Mannheim;2021;3.708;10.1007/s00023-021-01103-7;TRUE;FALSE;Original paper;https://link.springer.com/article/10.1007/s00023-021-01103-7
Universität Mannheim;2021;3.708;10.1007/s10670-021-00451-4;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s10670-021-00451-4
Universität Mannheim;2021;3.708;10.1007/s11618-021-01041-4;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11618-021-01041-4
Universität Mannheim;2021;3.708;10.1007/s13366-021-00592-1;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s13366-021-00592-1
Universität Mannheim;2021;3.708;10.3758/s13428-019-01283-5;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.3758/s13428-019-01283-5
Universität Mannheim;2021;3.708;10.1007/s10584-021-03176-z;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s10584-021-03176-z
Universität Mannheim;2021;3.708;10.1007/s00285-021-01639-6;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s00285-021-01639-6
Universität Mannheim;2021;3.708;10.1007/s12134-021-00867-5;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s12134-021-00867-5
Universität Mannheim;2021;3.708;10.1007/s11113-021-09665-4;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11113-021-09665-4
Universität Mannheim;2021;3.708;10.3758/s13428-021-01651-0;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.3758/s13428-021-01651-0
Universität Mannheim;2021;3.708;10.1007/s11005-021-01432-y;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11005-021-01432-y
Universität Mannheim;2021;3.708;10.1007/s13740-021-00124-z;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s13740-021-00124-z
Universität Mannheim;2021;3.708;10.1007/s11077-021-09428-0;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11077-021-09428-0
Universität Mannheim;2021;3.708;10.3758/s13421-021-01195-w;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.3758/s13421-021-01195-w
Universität Mannheim;2021;3.708;10.3758/s13421-021-01188-9;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.3758/s13421-021-01188-9
Universität Mannheim;2021;3.708;10.1007/s00426-021-01528-z;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s00426-021-01528-z
Universität Mannheim;2021;3.708;10.1007/s11109-021-09706-w;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11109-021-09706-w
Universität Mannheim;2021;3.708;10.1007/s11577-021-00758-8;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11577-021-00758-8
Universität Mannheim;2021;3.708;10.1007/s41959-021-00047-7;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s41959-021-00047-7
Universität Mannheim;2021;3.708;10.3758/s13421-021-01170-5;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.3758/s13421-021-01170-5
Universität Mannheim;2021;3.708;10.1007/s10806-021-09854-3;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s10806-021-09854-3
Universität Mannheim;2021;3.708;10.1007/s11558-021-09413-5;TRUE;FALSE;OriginalPaper;https:/link.springer.com/article/10.1007/s11558-021-09413-5
Universität Mannheim;2021;3.708;10.1007/s41125-021-00071-7;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s41125-021-00071-7
Universität Mannheim;2021;3.708;10.3758/s13423-020-01861-1;TRUE;FALSE;ReviewPaper;https://link.springer.com/article/10.3758/s13423-020-01861-1
Universität Mannheim;2021;3.708;10.1007/s11409-021-09259-7;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s11409-021-09259-7
Universität Mannheim;2021;3.708;10.1007/s12186-021-09263-7;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s12186-021-09263-7
Universität Mannheim;2021;3.708;10.1007/s10955-021-02700-w;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s10955-021-02700-w
Universität Mannheim;2021;3.708;10.1007/s10032-020-00361-1;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s10032-020-00361-1
Universität Mannheim;2021;3.708;10.1007/s00550-020-00509-x;TRUE;FALSE;OriginalPaper;https://link.springer.com/article/10.1007/s00550-020-00509-x
