institution,period,euro,DOI,is_hybrid, madoc_url
Universität Mannheim,2017,727.06,10.1177/2378023117750533,FALSE,https://madoc.bib.uni-mannheim.de/43699/
Universität Mannheim,2018,2003.02,10.3389/fpsyg.2018.01653,FALSE,https://madoc.bib.uni-mannheim.de/43375/
Universität Mannheim,2018,1974.19,10.3389/fpsyg.2018.00201,FALSE,https://madoc.bib.uni-mannheim.de/43203/
Universität Mannheim,2018,1389.94,10.1080/25742558.2018.1476049,FALSE,https://madoc.bib.uni-mannheim.de/43787/
Universität Mannheim,2018,1861.81,10.3390/s18082639,FALSE,https://madoc.bib.uni-mannheim.de/45720/
Universität Mannheim,2018,1974.18,10.3389/fpsyg.2018.00481,FALSE,https://madoc.bib.uni-mannheim.de/43204/
Universität Mannheim,2018,1984.69,10.3389/fpsyg.2018.01154,FALSE,https://madoc.bib.uni-mannheim.de/43373/
Universität Mannheim,2019,1713.60,10.1088/1748-9326/ab05fe,FALSE,https://madoc.bib.uni-mannheim.de/47996/
Universität Mannheim,2019,1991.43,10.3389/fpsyg.2019.00707,FALSE,https://madoc.bib.uni-mannheim.de/45144/
Universität Mannheim,2019,1024.94,10.3389/fsoc.2019.00042,FALSE,https://madoc.bib.uni-mannheim.de/49648/
Universität Mannheim,2019,2005.85,10.3389/fpsyg.2019.01200,FALSE,https://madoc.bib.uni-mannheim.de/46902/
Universität Mannheim,2019,1967.63,10.3389/fpsyg.2019.01272,FALSE,https://madoc.bib.uni-mannheim.de/47763/
