pos;institution_name;journal_title;eissn;doi;url;accepted;par_fee;initial_opt-out
1;Philipps-Universität Marburg;THE JOURNAL OF COMPARATIVE NEUROLOGY;1096-9861;10.1002/cne.25396;https://doi.org/10.1002/cne.25396;23.07.2022;2750;optin
2;Philipps-Universität Marburg;JOURNAL OF APPLIED ECOLOGY;1365-2664;10.1111/1365-2664.14249;https://doi.org/10.1111/1365-2664.14249;30.06.2022;2750;optin
3;Philipps-Universität Marburg;ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY;2053-2296;10.1107/S2053229622005812;https://doi.org/10.1107/S2053229622005812;29.05.2022;2750;optout
4;Philipps-Universität Marburg;EUROPEAN JOURNAL OF INORGANIC CHEMISTRY;1099-0682;10.1002/ejic.202200706;https://doi.org/10.1002/ejic.202200706;13.12.2022;2750;optin
5;Philipps-Universität Marburg;INFANT AND CHILD DEVELOPMENT;1522-7219;10.1002/icd.2364;https://doi.org/10.1002/icd.2364;04.04.2022;2750;optin
6;Philipps-Universität Marburg;JOURNAL OF NEUROENDOCRINOLOGY;1365-2826;10.1111/jne.13219;https://doi.org/10.1111/jne.13219;14.11.2022;2750;optin
7;Philipps-Universität Marburg;REGIONAL SCIENCE POLICY & PRACTICE;1757-7802;10.1111/rsp3.12581;https://doi.org/10.1111/rsp3.12581;26.09.2022;2750;optin
8;Philipps-Universität Marburg;ANGEWANDTE CHEMIE INTERNATIONAL EDITION;1521-3773;10.1002/anie.202207232;https://doi.org/10.1002/anie.202207232;13.07.2022;2750;optin
9;Philipps-Universität Marburg;AUSTRALASIAN JOURNAL OF ULTRASOUND IN MEDICINE;2205-0140;10.1002/ajum.12332;https://doi.org/10.1002/ajum.12332;29.11.2022;2750;optin
10;Philipps-Universität Marburg;JOURNAL OF COMPUTATIONAL CHEMISTRY;1096-987X;10.1002/jcc.26950;https://doi.org/10.1002/jcc.26950;02.06.2022;2750;optin
