institution;period;euro;DOI;is_hybrid;publisher;journal_full_title;issn;url
University of Milano-Bicocca;2023;3.601,44;10.1093/imanum/drac008;TRUE;;;;
University of Milano-Bicocca;2023;510,41;10.1109/TSC.2022.3180500;TRUE;;;;
University of Milano-Bicocca;2023;487,95;10.1109/TFUZZ.2022.3197826;TRUE;;;;
University of Milano-Bicocca;2023;2.400,36;10.1159/000526314;TRUE;;;;
University of Milano-Bicocca;2023;2.275;10.1093/gigascience/giac119;FALSE;;;;
University of Milano-Bicocca;2023;2.452,75;10.3390/biomedicines11010020;FALSE;;;;
University of Milano-Bicocca;2023;3.040;10.1002/yea.3828;TRUE;;;;
University of Milano-Bicocca;2023;2.447,34;10.1124/jpet.122.001335;TRUE;;;;
University of Milano-Bicocca;2023;3.502,62;10.1016/j.resuscitation.2022.11.025;TRUE;;;;
University of Milano-Bicocca;2023;420;10.1093/mnras/stac3089;FALSE;;;;
University of Milano-Bicocca;2023;3.008,52;10.1016/j.eswa.2022.119296;TRUE;;;;
University of Milano-Bicocca;2023;3.243,52;10.1371/journal.pcbi.1011557;FALSE;;;;
University of Milano-Bicocca;2023;466,65;10.1016/j.optom.2022.08.004;FALSE;;;;
University of Milano-Bicocca;2023;2.098,02;10.3390/ijerph20010231;TRUE;;;;
University of Milano-Bicocca;2023;2.128,88;10.3390/ijms24020993;FALSE;;;;
University of Milano-Bicocca;2023;890,6;10.1080/17445647.2022.2161963;FALSE;;;;
University of Milano-Bicocca;2023;1.532,36;10.3390/bs13020083;FALSE;;;;
University of Milano-Bicocca;2023;2.271,73;10.3390/ijms24021721;FALSE;;;;
University of Milano-Bicocca;2023;4.026;10.1002/jmv.28417;TRUE;;;;
University of Milano-Bicocca;2023;2.058,04;10.1371/journal.pone.0279655;FALSE;;;;
University of Milano-Bicocca;2023;2.065,3;10.1186/s12974-023-02714-z;FALSE;;;;
University of Milano-Bicocca;2023;2.441,83;10.1186/s12955-023-02097-y;FALSE;;;;
University of Milano-Bicocca;2023;2.222,34;10.3390/su15031894;TRUE;;;;
University of Milano-Bicocca;2023;757,94;10.1097/HS9.0000000000000852;FALSE;;;;
University of Milano-Bicocca;2023;2.782,6;10.3390/ijerph20043670;TRUE;;;;
University of Milano-Bicocca;2023;2.547,31;10.3389/fncel.2023.1082010;FALSE;;;;
University of Milano-Bicocca;2023;2616,90;10.1038/s41598-023-31095-9;FALSE;;;;
University of Milano-Bicocca;2023;1.118,13;10.3390/brainsci13030494;FALSE;;;;
