INSTITUTION;PERIOD;EURO;DOI;IS_HIBRID;PUBLISHER;JOURNAL_FULL_TITLE;ISSN
University of Milan;2024;5187,96;10.1093/brain/awad316;TRUE;Oxford Academic;BRAIN;0006-8950
University of Milan;2024;2860,9;10.1038/s41598-024-62044-9;FALSE;Springer Nature;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2860,9;10.1038/s41598-024-64989-3;FALSE;Nature Publishing Group;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;3785,05;10.1016/j.lanepe.2024.100996;FALSE;The Lancet Elsevier;THE LANCET REGIONAL HEALTH. EUROPE;2666-7762
University of Milan;2024;2494,9;10.1038/s41597-024-03673-7;FALSE;Nature Publishing Group;SCIENTIFIC DATA;2052-4463
University of Milan;2024;2397;10.1016/j.isci.2024.111115;FALSE;Elsevier;ISCIENCE;2589-0042
University of Milan;2024;2893,23;10.1186/s12913-024-11365-6;FALSE;BioMed Central;BMC HEALTH SERVICES RESEARCH;1472-6963
University of Milan;2024;2364,36;10.1016/j.crfs.2024.100919;FALSE;Elsevier;CURRENT RESEARCH IN FOOD SCIENCE;2665-9271
University of Milan;2024;2793,8;10.1038/s41598-024-76697-z;FALSE;Nature Portfolio;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2571,76;10.1016/j.bbih.2024.100913;FALSE;Elsevier;BRAIN, BEHAVIOR, & IMMUNITY. HEALTH;2666-3546
University of Milan;2024;2856,63;10.1186/s12941-024-00763-7;FALSE;BioMed Central;ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS;1476-0711
University of Milan;2024;3836,9;10.1038/s42004-024-01370-5;FALSE;Nature Publishing Group;COMMUNICATIONS CHEMISTRY;2399-3669
University of Milan;2024;2666,79;10.3390/children11060679;FALSE;MDPI;CHILDREN;2227-9067
University of Milan;2024;7673,8;10.1016/j.tig.2024.11.008;TRUE;Elsevier;TRENDS IN GENETICS;0168-9525
University of Milan;2024;2545,53;10.1186/s13023-024-03507-0;FALSE;BioMed Central;ORPHANET JOURNAL OF RARE DISEASES;1750-1172
University of Milan;2024;2397;10.1016/j.isci.2024.111051;FALSE;Elsevier Inc.;ISCIENCE;2589-0042
University of Milan;2024;4125,69;10.3389/fcell.2024.1506216;FALSE;Frontiers Media S.A.;FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY;2296-634X
University of Milan;2024;2856,63;10.1186/s40246-024-00612-w;FALSE;BioMed Central;HUMAN GENOMICS;1479-7364
University of Milan;2024;4380,39;10.1093/bib/bbae635;FALSE;Oxford University Press;BRIEFINGS IN BIOINFORMATICS;1477-4054
University of Milan;2024;4080,9;10.1007/s00018-024-05550-3;FALSE;Springer;CELLULAR AND MOLECULAR LIFE SCIENCES;1420-9071
University of Milan;2024;3515,43;10.1186/s12933-024-02507-5;FALSE;BioMed Central Ltd;CARDIOVASCULAR DIABETOLOGY;1475-2840
University of Milan;2024;2976,8;10.1016/j.crfs.2025.100970;FALSE;Elsevier;CURRENT RESEARCH IN FOOD SCIENCE;2665-9271
University of Milan;2024;2746,72;10.3390/pharmaceutics17010088;FALSE;MDPI;PHARMACEUTICS;1999-4923
University of Milan;2024;3311,7;10.3390/ph17111499;FALSE;MDPI;PHARMACEUTICALS;1424-8247
University of Milan;2024;2982,9;10.1038/s41598-025-85120-0;FALSE;Springer;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;237,9;10.5194/ejm-37-25-2025;FALSE;Copernicus Publications;EUROPEAN JOURNAL OF MINERALOGY;1617-4011
University of Milan;2024;2982,9;10.1038/s41598-025-86440-x;FALSE;Springer;SCIENTIFIC REPORTS;2045-2322
University of Milan;2024;2054,49;10.3389/fphys.2024.1520578;FALSE;Frontiers Media SA;FRONTIERS IN PHYSIOLOGY;1664-042X
University of Milan;2024;2745;10.1016/j.gecco.2025.e03435;FALSE;Elsevier;GLOBAL ECOLOGY AND CONSERVATION;2351-9894
University of Milan;2024;1776,8;10.1109/ojsp.2025.3528330;FALSE;IEEE OPEN JOURNAL;IEEE OPEN JOURNAL OF SIGNAL PROCESSING;2644-1322
University of Milan;2024;2671,87;10.1093/narmme/ugae028;FALSE;Oxford University Press;NAR MOLECULAR MEDICINE;2976-856X
University of Milan;2024;2354,6;10.1016/j.ijcchd.2025.100567;FALSE;Elsevier;INTERNATIONAL JOURNAL OF CARDIOLOGY CONGENITAL HEART DISEASE;2666-6685
University of Milan;2024;985,15;10.1080/1828051X.2024.2449445;FALSE;Taylor & Francis Online;ITALIAN JOURNAL OF ANIMAL SCIENCE;1828-051X
University of Milan;2024;3599;10.1016/j.csbj.2024.11.037;FALSE;Elsevier;COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL;2001-0370
University of Milan;2024;4116,93;10.3389/fbioe.2024.1532107;FALSE;Frontiers Media S.A.;FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY;2296-4185
University of Milan;2024;2017,45;10.3390/pharmacy13010015;FALSE;Multidisciplinary Digital Publishing Institute (MDPI);PHARMACY;2226-4787
University of Milan;2024;1506,81;10.3390/ph18020138;FALSE;Multidisciplinary Digital Publishing Institute (MDPI);PHARMACEUTICALS;1424-8247
University of Milan;2024;3958,9;10.1038/S41523-025-00760-9;FALSE;Nature Publishing Group;NPJ BREAST CANCER;2374-4677
