"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Università degli Studi di Modena e Reggio Emilia",2022,2763.06,"10.1016/j.jid.2021.12.024",TRUE,"Elsevier BV","Journal of Investigative Dermatology","0022-202X","0022-202X",NA,"0022-202X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35007555",NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,1347.08,"10.1109/tbme.2023.3327617",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Biomedical Engineering","0018-9294","0018-9294","1558-2531","0018-9294","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"37878426",NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,1468.27,"10.1109/tim.2023.3298392",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Instrumentation and Measurement","0018-9456","0018-9456","1557-9662","0018-9456","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,2989,"10.1016/j.jmb.2023.167950",TRUE,"Elsevier BV","Journal of Molecular Biology","0022-2836","0022-2836",NA,"0022-2836","http://creativecommons.org/licenses/by/4.0/",TRUE,"36646374",NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,2163.06,"10.1016/j.lwt.2023.114745",TRUE,"Elsevier BV","LWT","0023-6438","0023-6438",NA,"0023-6438","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Università degli Studi di Modena e Reggio Emilia",2023,3769.93,"10.1016/j.humpath.2023.03.012",TRUE,"Elsevier BV","Human Pathology","0046-8177","0046-8177",NA,"0046-8177","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36997030",NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,1223.78,"10.1109/tcomm.2023.3280562",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Communications","0090-6778","0090-6778","1558-0857","0090-6778","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,2075.22,"10.1016/j.matlet.2023.133975",TRUE,"Elsevier BV","Materials Letters","0167-577X","0167-577X",NA,"0167-577X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,2426.58,"10.1016/j.ejcb.2023.151302",TRUE,"Elsevier BV","European Journal of Cell Biology","0171-9335","0171-9335",NA,"0171-9335","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36905755",NA,NA,NA,TRUE
"Università degli Studi di Modena e Reggio Emilia",2023,620.87,"10.1094/pdis-10-22-2398-pdn",TRUE,"Scientific Societies","Plant Disease","0191-2917","0191-2917","1943-7692","0191-2917",NA,TRUE,"37246337",NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,1503.61,"10.1109/tgrs.2023.3293270",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Geoscience and Remote Sensing","0196-2892","0196-2892","1558-0644","0196-2892","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,4233.4,"10.1016/j.cep.2023.109383",TRUE,"Elsevier BV","Chemical Engineering and Processing: Process Intensification","0255-2701","0255-2701",NA,"0255-2701","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,902.7,"10.21873/invivo.13020",TRUE,"Anticancer Research USA Inc.","In Vivo","0258-851X","0258-851X","1791-7549","0258-851X",NA,TRUE,"36309377","PMC9677751",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,2799.9,"10.1016/j.matdes.2023.111751",TRUE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,"0264-1275","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Università degli Studi di Modena e Reggio Emilia",2023,4562.8,"10.1016/j.canlet.2023.216262",TRUE,"Elsevier BV","Cancer Letters","0304-3835","0304-3835",NA,"0304-3835","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37307894",NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,500,"10.23750/abm.v94i2.14118",TRUE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"37092625","PMC10210573",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,400,"10.23750/abm.v94i4.14317",TRUE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"37539603","PMC10440762",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,499.96,"10.23750/abm.v94i5.14522",TRUE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"37850771","PMC10644939",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,500,"10.23750/abm.v94i5.14825",FALSE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"37850766","PMC10644921",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,600,"10.23750/abm.v94i5.15069",TRUE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"37850761","PMC10644943",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,600,"10.23750/abm.v94i5.15174",FALSE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"37850757","PMC10644937",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,500,"10.23750/abm.v94i6.14750",TRUE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"38054684","PMC10734234",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,300,"10.23750/abm.v94i6.15003",TRUE,"Mattioli 1885","Acta Bio Medica","0392-4203",NA,NA,"0392-4203",NA,FALSE,"38054677","PMC10734246",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,4812.9,"10.1007/s10654-023-01009-0",TRUE,"Springer Nature","European Journal of Epidemiology","0393-2990","0393-2990","1573-7284","0393-2990","https://creativecommons.org/licenses/by/4.0",TRUE,"37249787","PMC10275799",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,287.24,"10.1109/jlt.2023.3265167",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","Journal of Lightwave Technology","0733-8724","0733-8724","1558-2213","0733-8724","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,4812.9,"10.1038/s41375-023-01867-3",TRUE,"Springer Nature","Leukemia","0887-6924","0887-6924","1476-5551","0887-6924","https://creativecommons.org/licenses/by/4.0",TRUE,"36928007","PMC10169646",NA,NA,FALSE
"Università degli Studi di Modena e Reggio Emilia",2023,3958.9,"10.1007/s12185-023-03638-3",TRUE,"Springer Nature","International Journal of Hematology","0925-5710","0925-5710","1865-3774","0925-5710","https://creativecommons.org/licenses/by/4.0",TRUE,"37532827","PMC10615968",NA,NA,FALSE
