institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
Carl von Ossietzky Universität Oldenburg;2017;1398;10.1038/srep35435;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1810,38;10.3389/fnhum.2017.00294;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1583,88;10.3389/fmicb.2017.01298;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1583,88;10.3389/fpsyg.2017.01141;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1620,26;10.3389/fnhum.2017.00391;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1607,81;10.3389/fmicb.2017.01771;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1442,56;10.3389/fmars.2017.00271;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1583,88;10.3389/fmars.2017.00194;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1773,12;10.1364/OE.25.012518;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1067,43;10.5194/wes-2016-59;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1509,23;10.1136/bmjopen-2017-016020;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1313,76;10.3390/su9091540;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;714;10.4081/mi.2017.7093;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1494,3;10.7150/jca.20409;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;247,52;10.5194/asr-14-131-2017;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1363,63;10.1080/23311916.2017.1354509;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1305,28;10.1371/journal.pone.0179968;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;247,52;10.5194/asr-14-253-2017;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1607,81;10.3389/fneur.2017.00475;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1442,56;10.3389/fpsyt.2017.00170;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1305;10.1038/s41598-017-10792-2;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;1893;10.4172/2167-1044.1000276;FALSE;;;;
Carl von Ossietzky Universität Oldenburg;2017;629,08;10.1177/2331216517717152;FALSE;;;;
