"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"University of Padua",2023,NA,"10.1016/j.scitotenv.2023.165221",TRUE,"Elsevier BV","Science of The Total Environment","0048-9697","0048-9697",NA,"0048-9697","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37392885",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.cropro.2023.106331",TRUE,"Elsevier BV","Crop Protection","0261-2194","0261-2194",NA,"0261-2194","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.cmpb.2023.107700",TRUE,"Elsevier BV","Computer Methods and Programs in Biomedicine","0169-2607","0169-2607",NA,"0169-2607","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37437469",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.agee.2023.108615",TRUE,"Elsevier BV","Agriculture, Ecosystems & Environment","0167-8809","0167-8809",NA,"0167-8809","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.redox.2023.102806",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,"2213-2317","http://creativecommons.org/licenses/by/4.0/",TRUE,"37413766",NA,NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.bbih.2023.100662",FALSE,"Elsevier BV","Brain, Behavior, & Immunity - Health","2666-3546","2666-3546",NA,"2666-3546","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37456623",NA,NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.fsir.2023.100327",FALSE,"Elsevier BV","Forensic Science International: Reports","2665-9107","2665-9107",NA,"2665-9107","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.mtla.2023.101847",TRUE,"Elsevier BV","Materialia","2589-1529","2589-1529",NA,"2589-1529","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.artmed.2023.102588",TRUE,"Elsevier BV","Artificial Intelligence in Medicine","0933-3657","0933-3657",NA,"0933-3657","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37316101",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.mtcomm.2023.106645",TRUE,"Elsevier BV","Materials Today Communications","2352-4928","2352-4928",NA,"2352-4928","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.numecd.2023.07.006",TRUE,"Elsevier BV","Nutrition, Metabolism and Cardiovascular Diseases","0939-4753","0939-4753",NA,"0939-4753","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37567788",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.bpr.2023.100117",FALSE,"Elsevier BV","Biophysical Reports","2667-0747","2667-0747",NA,"2667-0747","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37576797","PMC10412765",NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.jsb.2023.108001",TRUE,"Elsevier BV","Journal of Structural Biology","1047-8477","1047-8477",NA,"1047-8477","http://creativecommons.org/licenses/by/4.0/",TRUE,"37467824",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.pnpbp.2023.110827",TRUE,"Elsevier BV","Progress in Neuro-Psychopharmacology and Biological Psychiatry","0278-5846","0278-5846",NA,"0278-5846","http://creativecommons.org/licenses/by/4.0/",TRUE,"37473954",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.foodchem.2023.136892",TRUE,"Elsevier BV","Food Chemistry","0308-8146","0308-8146",NA,"0308-8146","http://creativecommons.org/licenses/by/4.0/",TRUE,"37478602",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.conbuildmat.2023.132496",TRUE,"Elsevier BV","Construction and Building Materials","0950-0618","0950-0618",NA,"0950-0618","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.applthermaleng.2023.121165",TRUE,"Elsevier BV","Applied Thermal Engineering","1359-4311","1359-4311",NA,"1359-4311","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.3168/jds.2022-23161",FALSE,"American Dairy Science Association","Journal of Dairy Science","0022-0302","0022-0302",NA,"0022-0302","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37479573",NA,NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.jmaa.2023.127603",TRUE,"Elsevier BV","Journal of Mathematical Analysis and Applications","0022-247X","0022-247X",NA,"0022-247X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.est.2023.108225",TRUE,"Elsevier BV","Journal of Energy Storage","2352-152X","2352-152X",NA,"2352-152X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.ijrefrig.2023.07.016",TRUE,"Elsevier BV","International Journal of Refrigeration","0140-7007","0140-7007",NA,"0140-7007","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.psj.2023.102962",FALSE,"Elsevier BV","Poultry Science","0032-5791","0032-5791",NA,"0032-5791","http://creativecommons.org/licenses/by/4.0/",TRUE,"37683449","PMC10498002",NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.canlet.2023.216331",TRUE,"Elsevier BV","Cancer Letters","0304-3835","0304-3835",NA,"0304-3835","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37532093",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.ceca.2023.102783",TRUE,"Elsevier BV","Cell Calcium","0143-4160","0143-4160",NA,"0143-4160","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37597300",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.ijcard.2023.131220",TRUE,"Elsevier BV","International Journal of Cardiology","0167-5273","0167-5273",NA,"0167-5273","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37517780",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.tsep.2023.102043",TRUE,"Elsevier BV","Thermal Science and Engineering Progress","2451-9049","2451-9049",NA,"2451-9049","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.bcp.2023.115697",TRUE,"Elsevier BV","Biochemical Pharmacology","0006-2952","0006-2952",NA,"0006-2952","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37481140",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.envsci.2023.07.010",TRUE,"Elsevier BV","Environmental Science & Policy","1462-9011","1462-9011",NA,"1462-9011","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.cstp.2023.101021",TRUE,"Elsevier BV","Case Studies on Transport Policy","2213-624X","2213-624X",NA,"2213-624X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.livsci.2023.105309",TRUE,"Elsevier BV","Livestock Science","1871-1413","1871-1413",NA,"1871-1413","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.cstp.2023.101010",TRUE,"Elsevier BV","Case Studies on Transport Policy","2213-624X","2213-624X",NA,"2213-624X","http://creativecommons.org/licenses/by/4.0/",TRUE,"37153124","PMC10139744",NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.matpr.2023.07.308",TRUE,"Elsevier BV","Materials Today: Proceedings","2214-7853","2214-7853",NA,"2214-7853","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.measurement.2023.113404",TRUE,"Elsevier BV","Measurement","0263-2241","0263-2241",NA,"0263-2241","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.heliyon.2023.e19001",FALSE,"Elsevier BV","Heliyon","2405-8440","2405-8440",NA,"2405-8440","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37600359","PMC10432981",NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.tafmec.2023.104039",TRUE,"Elsevier BV","Theoretical and Applied Fracture Mechanics","0167-8442","0167-8442",NA,"0167-8442","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.jad.2023.08.022",TRUE,"Elsevier BV","Journal of Affective Disorders","0165-0327","0165-0327",NA,"0165-0327","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37544481",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.steroids.2023.109292",TRUE,"Elsevier BV","Steroids","0039-128X","0039-128X",NA,"0039-128X","http://creativecommons.org/licenses/by/4.0/",TRUE,"37549779",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.neubiorev.2023.105355",TRUE,"Elsevier BV","Neuroscience & Biobehavioral Reviews","0149-7634","0149-7634",NA,"0149-7634","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37562654",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.mtbio.2023.100761",FALSE,"Elsevier BV","Materials Today Bio","2590-0064","2590-0064",NA,"2590-0064","http://creativecommons.org/licenses/by/4.0/",TRUE,"37600351","PMC10433238",NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.biochi.2023.08.003",TRUE,"Elsevier BV","Biochimie","0300-9084","0300-9084",NA,"0300-9084","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37558081",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.jff.2023.105724",FALSE,"Elsevier BV","Journal of Functional Foods","1756-4646","1756-4646",NA,"1756-4646","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.eja.2023.126811",TRUE,"Elsevier BV","European Journal of Agronomy","1161-0301","1161-0301",NA,"1161-0301","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.bbabio.2023.149002",TRUE,"Elsevier BV","Biochimica et Biophysica Acta (BBA) - Bioenergetics","0005-2728","0005-2728",NA,"0005-2728","http://creativecommons.org/licenses/by/4.0/",TRUE,"37562512",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.eja.2023.126771",TRUE,"Elsevier BV","European Journal of Agronomy","1161-0301","1161-0301",NA,"1161-0301","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.ijpharm.2023.123319",TRUE,"Elsevier BV","International Journal of Pharmaceutics","0378-5173","0378-5173",NA,"0378-5173","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37586576",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.addma.2023.103736",TRUE,"Elsevier BV","Additive Manufacturing","2214-8604","2214-8604",NA,"2214-7810","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.ijhydene.2023.07.348",TRUE,"Elsevier BV","International Journal of Hydrogen Energy","0360-3199","0360-3199",NA,"0360-3199","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.still.2023.105659",TRUE,"Elsevier BV","Soil and Tillage Research","0167-1987","0167-1987",NA,"0167-1987","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.jenvp.2023.102105",TRUE,"Elsevier BV","Journal of Environmental Psychology","0272-4944","0272-4944",NA,"0272-4944","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.addma.2023.103731",TRUE,"Elsevier BV","Additive Manufacturing","2214-8604","2214-8604",NA,"2214-7810","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.mssp.2023.107795",TRUE,"Elsevier BV","Materials Science in Semiconductor Processing","1369-8001","1369-8001",NA,"1369-8001","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.jpi.2023.100332",FALSE,"Elsevier BV","Journal of Pathology Informatics","2153-3539","2153-3539",NA,"2153-3539","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37705689","PMC10495665",NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.palaeo.2023.111778",TRUE,"Elsevier BV","Palaeogeography, Palaeoclimatology, Palaeoecology","0031-0182","0031-0182",NA,"0031-0182","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.autrev.2023.103418",TRUE,"Elsevier BV","Autoimmunity Reviews","1568-9972","1568-9972",NA,"1568-9972","http://creativecommons.org/licenses/by/4.0/",TRUE,"37625673",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.3168/jds.2023-23459",FALSE,"American Dairy Science Association","Journal of Dairy Science","0022-0302","0022-0302",NA,"0022-0302","http://creativecommons.org/licenses/by/4.0/",TRUE,"37641330",NA,NA,NA,TRUE,"Crui-CARE Elsevier Agreement"
"University of Padua",2023,NA,"10.1016/j.autrev.2023.103419",TRUE,"Elsevier BV","Autoimmunity Reviews","1568-9972","1568-9972",NA,"1568-9972","http://creativecommons.org/licenses/by/4.0/",TRUE,"37633352",NA,NA,NA,FALSE,"Crui-CARE Elsevier Agreement"
