"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Rhode Island U",2014,76.68,"10.1177/2158244014553585",FALSE,"SAGE Publications","SAGE Open","2158-2440","2158-2440","2158-2440","2158-2440","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"Rhode Island U",2014,636.29,"10.1186/1687-1847-2014-301",FALSE,"Springer Science + Business Media","Advances in Difference Equations","1687-1847","1687-1847",NA,"1687-1839",NA,TRUE,NA,NA,"ut:000349828500002",NA,TRUE
"Rhode Island U",2014,634.3,"10.1186/1687-1847-2014-307",FALSE,"Springer Science + Business Media","Advances in Difference Equations","1687-1847","1687-1847",NA,"1687-1839",NA,TRUE,NA,NA,"ut:000349829000003",NA,TRUE
"Rhode Island U",2014,481,"10.1155/2015/847360",FALSE,"Hindawi Publishing Corporation","Discrete Dynamics in Nature and Society","1026-0226","1026-0226","1607-887X","1026-0226","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000348791000001",NA,TRUE
"Rhode Island U",2015,1209.25,"10.1371/journal.pone.0138016",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26384236","PMC4575047","ut:000361790200048",NA,TRUE
"Rhode Island U",2016,346.89,"10.1177/2158244016647994",FALSE,"SAGE Publications","SAGE Open","2158-2440","2158-2440","2158-2440","2158-2440","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,"ut:000380352000049",NA,TRUE
"Rhode Island U",2016,172,"10.1177/2158244016655585",FALSE,"SAGE Publications","SAGE Open","2158-2440","2158-2440","2158-2440","2158-2440","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,"ut:000380352000083",NA,TRUE
"Rhode Island U",2016,745.09,"10.1093/jisesa/iew066",FALSE,"Oxford University Press (OUP)","Journal of Insect Science","1536-2442",NA,"1536-2442","1536-2442",NA,TRUE,"27638950","PMC5036285","ut:000383375200003",NA,TRUE
"Rhode Island U",2016,2018.79,"10.1186/s13756-016-0158-8",FALSE,"Springer Nature","Antimicrobial Resistance and Infection Control","2047-2994",NA,"2047-2994","2047-2994",NA,TRUE,"27999664","PMC5153904","ut:000391070600001",NA,TRUE
"Rhode Island U",2017,1976.87,"10.1186/s13756-017-0190-3",FALSE,"Springer Nature","Antimicrobial Resistance and Infection Control","2047-2994",NA,"2047-2994","2047-2994",NA,TRUE,"28360995","PMC5371270","ut:000397657300001",NA,TRUE
"Rhode Island U",2017,992,"10.1016/j.ssmph.2017.07.003",FALSE,"Elsevier BV","SSM - Population Health","2352-8273","2352-8273",NA,"2352-8273","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29349247","PMC5769064",NA,NA,TRUE
"Rhode Island U",2017,305.71,"10.3390/jmse5030044",FALSE,"MDPI AG","Journal of Marine Science and Engineering","2077-1312",NA,"2077-1312","2077-1312","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000423691200020",NA,TRUE
"Rhode Island U",2017,837.18,"10.1155/2017/2746595",FALSE,"Hindawi Publishing Corporation","Journal of Obesity","2090-0708","2090-0708","2090-0716","2090-0708","http://creativecommons.org/licenses/by/4.0/",TRUE,"29312784","PMC5651117","ut:000412392500001",NA,TRUE
"Rhode Island U",2018,1207.38,"10.1371/journal.pone.0192819",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"29481554","PMC5826699","ut:000426202700005",NA,TRUE
