"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Rhode Island U",2021,1173.05,"10.1186/s43065-021-00019-0",FALSE,"Springer Nature","Journal of Infrastructure Preservation and Resilience","2662-2521",NA,"2662-2521","2662-2521","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Rhode Island U",2021,1508.93,"10.2147/shtt.s315073",FALSE,"Informa UK Limited","Smart Homecare Technology and TeleHealth","2253-1564",NA,"2253-1564","2253-1564","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,NA,TRUE
"Rhode Island U",2021,1634.05,"10.3390/ma14164435",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"34442958","PMC8399284","ut:000689562300001",NA,TRUE
"Rhode Island U",2021,2029.83,"10.1016/j.matdes.2021.109995",FALSE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,"0264-1275","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000701685800001",NA,TRUE
"Rhode Island U",2021,2538.43,"10.3389/fbioe.2021.754113",FALSE,"Frontiers Media SA","Frontiers in Bioengineering and Biotechnology","2296-4185",NA,"2296-4185","2296-4185","https://creativecommons.org/licenses/by/4.0/",TRUE,"34746106","PMC8570130","ut:000716479300001",NA,TRUE
"Rhode Island U",2021,999.06,"10.1177/20552076211061925",FALSE,"SAGE Publications","DIGITAL HEALTH","2055-2076","2055-2076","2055-2076","2055-2076","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35173980","PMC8842464","ut:000730236600001",NA,TRUE
"Rhode Island U",2022,2244.01,"10.1016/j.matdes.2021.110341",FALSE,"Elsevier BV","Materials & Design","0264-1275","0264-1275",NA,"0264-1275","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000737063400003",NA,TRUE
"Rhode Island U",2022,1293.29,"10.1186/s12992-021-00760-x",FALSE,"Springer Nature","Globalization and Health","1744-8603",NA,"1744-8603","1744-8603","https://creativecommons.org/licenses/by/4.0",TRUE,"35189901","PMC8862287","ut:000758795400002",NA,TRUE
"Rhode Island U",2022,2683.14,"10.3389/fmars.2022.859740",FALSE,"Frontiers Media SA","Frontiers in Marine Science","2296-7745",NA,"2296-7745","2296-7745","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000809728000001",NA,TRUE
"Rhode Island U",2022,914.8,"10.3389/fcomm.2022.883278",FALSE,"Frontiers Media SA","Frontiers in Communication","2297-900X",NA,"2297-900X","2297-900X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000816388700001",NA,TRUE
"Rhode Island U",2022,578.57,"10.3389/frsus.2022.963555",FALSE,"Frontiers Media SA","Frontiers in Sustainability","2673-4524",NA,"2673-4524","2673-4524","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Rhode Island U",2022,2063.68,"10.3390/vaccines10091410",FALSE,"MDPI AG","Vaccines","2076-393X",NA,"2076-393X","2076-393X","https://creativecommons.org/licenses/by/4.0/",TRUE,"36146488","PMC9505660","ut:000856959200001",NA,TRUE
