"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Rostock U",2024,2165.8,"10.1016/j.bioactmat.2024.09.005",FALSE,"Elsevier BV","Bioactive Materials","2452-199X","2452-199X",NA,"2452-199X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"39318636","PMC11418067",NA,NA,TRUE
"Rostock U",2024,3510.5,"10.1016/j.csbj.2024.08.023",FALSE,"Elsevier BV","Computational and Structural Biotechnology Journal","2001-0370",NA,"2001-0370","2001-0370","http://creativecommons.org/licenses/by/4.0/",TRUE,"39296809","PMC11409006",NA,NA,TRUE
"Rostock U",2024,3302.25,"10.1016/j.redox.2024.103372",FALSE,"Elsevier BV","Redox Biology","2213-2317","2213-2317",NA,"2213-2317","http://creativecommons.org/licenses/by/4.0/",TRUE,"39378614","PMC11492613",NA,NA,TRUE
"Rostock U",2024,1840.43,"10.1021/acsomega.3c06804",FALSE,"American Chemical Society (ACS)","ACS Omega","2470-1343","2470-1343","2470-1343","2470-1343","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"38343974","PMC10851242",NA,NA,TRUE
"Rostock U",2024,1142.4,"10.1051/swsc/2024019",FALSE,"EDP Sciences","Journal of Space Weather and Space Climate","2115-7251",NA,"2115-7251","2115-7251","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Rostock U",2024,3421.25,"10.1080/10717544.2024.2361168",FALSE,"Informa UK Limited","Drug Delivery","1071-7544","1071-7544","1521-0464","1071-7544","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"38899440","PMC11191840",NA,NA,TRUE
"Rostock U",2024,4097.06,"10.1093/braincomms/fcae382",FALSE,"Oxford University Press (OUP)","Brain Communications","2632-1297",NA,"2632-1297","2632-1297","https://creativecommons.org/licenses/by/4.0/",TRUE,"39713239","PMC11660940",NA,NA,TRUE
"Rostock U",2024,2224.21,"10.1093/ckj/sfae416",FALSE,"Oxford University Press (OUP)","Clinical Kidney Journal","2048-8505","2048-8505","2048-8513","2048-8505","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"39981139","PMC11840246",NA,NA,TRUE
"Rostock U",2024,2920.38,"10.1093/nargab/lqae037",FALSE,"Oxford University Press (OUP)","NAR Genomics and Bioinformatics","2631-9268",NA,"2631-9268","2631-9268","https://creativecommons.org/licenses/by/4.0/",TRUE,"38666215","PMC11044432",NA,NA,TRUE
"Rostock U",2024,1766.88,"10.1097/ms9.0000000000001540",FALSE,"Ovid Technologies (Wolters Kluwer Health)","Annals of Medicine and Surgery","2049-0801",NA,"2049-0801","2049-0801","http://creativecommons.org/licenses/by/4.0/ http://creativecommons.org/licenses/by/4.0/",TRUE,"38463092","PMC10923356",NA,NA,FALSE
"Rostock U",2024,1973.94,"10.1098/rsos.240258",FALSE,"The Royal Society","Royal Society Open Science","2054-5703",NA,"2054-5703","2054-5703","http://creativecommons.org/licenses/by/4.0/",TRUE,"39113768","PMC11304336",NA,NA,TRUE
