"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"Saarland University","2021","1662.61","10.3390/ijms22063092",FALSE,"MDPI","International Journal of Molecular Sciences","1422-0067","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31001",NA
"Saarland University","2021","219.51","10.3389/fphys.2021.677573",FALSE,"Frontiers","Frontiers in Physiology","1664-042X","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31522",NA
"Saarland University","2021","1824.16","10.3390/microorganisms9071396",FALSE,"MDPI","Microorganisms","2076-2607","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31605",NA
"Saarland University","2021","1824.16","10.3390/microorganisms9081609",FALSE,"MDPI","Microorganisms","2076-2607","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31663",NA
"Saarland University","2021","1931.47","10.3390/molecules26206220",FALSE,"MDPI","Molecules","1420-3049","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/31917",NA
"Saarland University","2021","1824.16","10.3390/cells10112941",FALSE,"MDPI","Cells","2073-4409","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/32050",NA
"Saarland University","2022","1931.47","10.3390/ph15020250",FALSE,"Springer Nature","Pharmaceuticals","1424-8247","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/32501",NA
"Saarland University","2022","1907.04","10.1186/s12903-022-02123-3",FALSE,"BMC","BMC Oral Health","1472-6831","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/33042",NA
"Saarland University","2022","1907.03","10.1186/s40463-022-00572-y",FALSE,"BMC","Journal of Otolaryngology - Head & Neck Surgery","1916-0216","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/33045",NA
"Saarland University","2022","1763.72","10.1186/s12909-022-03362-2",FALSE,"BMC","BMC Medical Education","1472-6920","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/33047",NA
"Saarland University","2022","1169.18","10.1016/j.chbr.2022.100227",FALSE,"Elsevier","Computers in Human Behavior Reports","2451-9588","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34042",NA
"Saarland University","2022","1898.05","10.1080/20008066.2022.2127185",FALSE,"Taylor & Francis","European Journal of Psychotraumatology","2000-8066","https://creativecommons.org/licenses/by-nc/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34485",NA
"Saarland University","2022","1459.81","10.3389/fdata.2022.1033530",FALSE,"Frontiers","Frontiers in Big Data","2624-909X","http://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34574",NA
"Saarland University","2022","2018.47","10.3389/fphar.2022.864351",FALSE,"Frontiers","Frontiers in Pharmacology","1663-9812","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34737",NA
"Saarland University","2022","1917.53","10.1039/d2na00259k",FALSE,"Royal Society of Chemistry","Nanoscale Advances","2516-0230","https://creativecommons.org/licenses/by-nc/3.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34741",NA
"Saarland University","2022","1075.39","10.1371/journal.pone.0264219",FALSE,"PLOS","PLOS ONE","1932-6203","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34742",NA
"Saarland University","2022","1558.9","10.1016/j.actpsy.2022.103802",FALSE,"Elsevier","Acta Psychologica","0001-6918","https://creativecommons.org/licenses/by-nc-nd/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34896",NA
"Saarland University","2022","1976.05","10.1371/journal.pone.0269119",FALSE,"PLOS","PLOS ONE","1932-6203","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34898",NA
"Saarland University","2022","1936.17","10.3390/jcdd10010026",FALSE,"MDPI","Journal of Cardiovascular Development and Disease","2308-3425","https://creativecommons.org/licenses/by/4.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34970",NA
"Saarland University","2022","1999.2","10.2147/opth.s358709",FALSE,"DOVE","Clinical Ophthalmology","1177-5467","https://creativecommons.org/licenses/by-nc/3.0/",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/34989",NA
