"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Saarland U",2024,1889.34,"10.1186/s12909-024-05331-3",FALSE,"Springer Nature","BMC Medical Education","1472-6920",NA,"1472-6920","1472-6920","https://creativecommons.org/licenses/by/4.0",TRUE,"38566149","PMC10988853",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/37997",TRUE
"Saarland U",2024,4082.99,"10.1038/s12276-024-01202-5",FALSE,"Springer Nature","Experimental & Molecular Medicine","2092-6413",NA,"2092-6413","1226-3613","https://creativecommons.org/licenses/by/4.0",TRUE,"38556547","PMC11059366",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/37998",TRUE
"Saarland U",2024,5976.75,"10.1038/s41467-024-47429-8",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"38594497","PMC11004149",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38002",TRUE
"Saarland U",2024,2143.9,"10.1038/s41598-024-60491-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38740833","PMC11091045",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38005",TRUE
"Saarland U",2024,2143.9,"10.1038/s41598-024-60169-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38671086","PMC11053041",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38006",TRUE
"Saarland U",2024,5976.75,"10.1038/s41467-024-48843-8",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"38802378","PMC11130287",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38012",TRUE
"Saarland U",2024,2143.9,"10.1038/s41598-024-61961-z",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38760451","PMC11101421",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38013",TRUE
"Saarland U",2024,2143.9,"10.1038/s41598-024-59052-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38632341","PMC11024136",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38014",TRUE
"Saarland U",2024,2143.9,"10.1038/s41598-024-59673-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"38649370","PMC11035679",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38015",TRUE
"Saarland U",2025,1763.06,"10.1186/s40662-024-00392-3",FALSE,"Springer Nature","Eye and Vision","2326-0254",NA,"2326-0254","2326-0254","https://creativecommons.org/licenses/by/4.0",TRUE,"38946004","PMC11215830",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38018",TRUE
"Saarland U",2024,1174.36,"10.1057/s41599-024-03343-4",FALSE,"Springer Nature","Humanities and Social Sciences Communications","2662-9992",NA,"2662-9992","2662-9992","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38019",TRUE
"Saarland U",2024,2656.08,"10.1186/s12964-024-01701-y",FALSE,"Springer Nature","Cell Communication and Signaling","1478-811X",NA,"1478-811X","1478-811X","https://creativecommons.org/licenses/by/4.0",TRUE,"38937789",NA,NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38020",TRUE
"Saarland U",2024,3214.49,"10.3390/nu16132134",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"38999881","PMC11243168",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38075",FALSE
"Saarland U",2024,2719.26,"10.3390/cells13141217",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"39056799","PMC11274802",NA,"oai:publikationen.sulb.uni-saarland.de:20.500.11880/38112",TRUE
