"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Salzburg U",2022,1816,"10.1371/journal.pone.0255619",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"34843463","PMC8629281",NA,NA,TRUE
"Salzburg U",2022,2160,"10.1002/ece3.8556",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"35342561","PMC8932225",NA,NA,TRUE
"Salzburg U",2022,2334,"10.1186/s13102-022-00456-8",FALSE,"Springer Nature","BMC Sports Science, Medicine and Rehabilitation","2052-1847",NA,"2052-1847","2052-1847","https://creativecommons.org/licenses/by/4.0",TRUE,"35526065","PMC9077880",NA,NA,TRUE
"Salzburg U",2022,1152,"10.1515/anona-2022-0244",FALSE,"Walter de Gruyter GmbH","Advances in Nonlinear Analysis","2191-950X","2191-9496","2191-950X","2191-9496","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,1104,"10.5751/es-13325-270403",FALSE,"Resilience Alliance, Inc.","Ecology and Society","1708-3087","1708-3087",NA,"1708-3087",NA,TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,1959,"10.3389/fpubh.2022.921196",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"36033772","PMC9399513",NA,NA,TRUE
"Salzburg U",2022,2868,"10.1186/s12877-022-03368-x",FALSE,"Springer Nature","BMC Geriatrics","1471-2318",NA,"1471-2318","1471-2318","https://creativecommons.org/licenses/by/4.0",TRUE,"36042419","PMC9429328",NA,NA,TRUE
"Salzburg U",2022,2126,"10.3389/fspor.2022.971137",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"36299402","PMC9589513",NA,NA,TRUE
"Salzburg U",2022,1140,"10.17645/pag.v10i3.5479",FALSE,"Cogitatio","Politics and Governance","2183-2463",NA,"2183-2463","2183-2463","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,1201,"10.3390/educsci12080510",FALSE,"MDPI AG","Education Sciences","2227-7102",NA,"2227-7102","2227-7102","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,1863,"10.3390/su14116602",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,2197,"10.3390/s22155768",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35957325","PMC9371222",NA,NA,TRUE
"Salzburg U",2022,2551,"10.3389/fevo.2022.816163",FALSE,"Frontiers Media SA","Frontiers in Ecology and Evolution","2296-701X",NA,"2296-701X","2296-701X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,3022,"10.3389/fnhum.2022.850548",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161","1662-5161","https://creativecommons.org/licenses/by/4.0/",TRUE,"35572009","PMC9097216",NA,NA,TRUE
"Salzburg U",2022,3022,"10.3389/fphys.2022.813243",FALSE,"Frontiers Media SA","Frontiers in Physiology","1664-042X",NA,"1664-042X","1664-042X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35370762","PMC8967998",NA,NA,TRUE
"Salzburg U",2022,3022,"10.3389/feart.2022.871211",FALSE,"Frontiers Media SA","Frontiers in Earth Science","2296-6463",NA,"2296-6463","2296-6463","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,3022,"10.3389/fpsyg.2022.877072",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"35774952","PMC9239343",NA,NA,TRUE
"Salzburg U",2022,3022,"10.3389/fpsyg.2022.897790",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"36017444","PMC9397379",NA,NA,TRUE
"Salzburg U",2022,973,"10.3389/fcomm.2022.900994",FALSE,"Frontiers Media SA","Frontiers in Communication","2297-900X",NA,"2297-900X","2297-900X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Salzburg U",2022,1896,"10.3389/fnins.2022.921931",FALSE,"Frontiers Media SA","Frontiers in Neuroscience","1662-453X",NA,"1662-453X","1662-453X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35784836","PMC9243375",NA,NA,TRUE
"Salzburg U",2022,3022,"10.3389/fpsyg.2022.948906",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"35967701","PMC9374102",NA,NA,TRUE
