is_hybrid;institution;issn;journal_full_title;publisher;euro;period;DOI
false;Universität Salzburg;1178-2013;International Journal of Nanomedicine;Dove Medical Press; € 3 421,20 ;2024;10.2147/IJN.S477320
false;Universität Salzburg;2072-4292;Remote Sensing;MDPI; € 2 764,39 ;2024;10.3390/rs16213926
false;Universität Salzburg;2183-2463;Politics and Governance ;Cogitatio Press; € 1 140,00 ;2024;10.17645/pag.8469
false;Universität Salzburg;2183-2463;Politics and Governance;Cogitatio Press; € 1 260,00 ;2024;10.17645/pag.8590
false;Universität Salzburg;2045-2322;Scientific Reports;Springer; € 2 814,00 ;2024;10.1038/s41598-024-70749-0
false;Universität Salzburg;2399-3642;Communications Biology;Springer; € 4 014,00 ;2024;10.1038/s42003-024-07271-6
false;Universität Salzburg;2198-9761;Sports Medicine - Open;Springer; € 4 491,06 ;2024;10.1186/s40798-024-00761-1
false;Universität Salzburg;2414-4088;Multimodal Technologies and Interaction;MDPI; € 1 655,00 ;2024;10.3390/mti8120111
false;Universität Salzburg;1664-042X;Frontiers in Physiology;Frontiers; € 3 389,15 ;2024;10.3389/fphys.2024.1486526_Wiesinger
false;Universität Salzburg;2300-9969;Open Linguistics;De Gruyter; € 480,00 ;2024;10.1515/opli-2024-0037
false;Universität Salzburg;1664-042X;Frontiers in Physiology;Frontiers; € 3 389,15 ;2024;10.3389/fphys.2024.1486570_Wiesinger
