"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Siegen U",2020,3356.61,"10.1007/s13137-020-0143-5",TRUE,"Springer Nature","GEM - International Journal on Geomathematics","1869-2672","1869-2672","1869-2680","1869-2672","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000514537700001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s00161-020-00943-8",TRUE,"Springer Nature","Continuum Mechanics and Thermodynamics","0935-1175","0935-1175","1432-0959","0935-1175","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000587075200001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s00180-020-01034-7",TRUE,"Springer Nature","Computational Statistics","0943-4062","0943-4062","1613-9658","0943-4062","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000571376700001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s12190-020-01401-z",TRUE,"Springer Nature","Journal of Applied Mathematics and Computing","1598-5865","1598-5865","1865-2085","1598-5865","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000551063800003",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s41358-020-00233-4",TRUE,"Springer Nature","Zeitschrift für Politikwissenschaft","1430-6387","1430-6387","2366-2638","1430-6387","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s41244-020-00161-4",TRUE,"Springer Nature","Zeitschrift für Literaturwissenschaft und Linguistik","0049-8653","0049-8653","2365-953X","0049-8653","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000515342400004",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s11081-020-09541-8",TRUE,"Springer Nature","Optimization and Engineering","1389-4420","1389-4420","1573-2924","1389-4420","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000559333300001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s10888-020-09472-5",TRUE,"Springer Nature","The Journal of Economic Inequality","1569-1721","1569-1721","1573-8701","1569-1721","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000601148500001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s00158-020-02502-w",TRUE,"Springer Nature","Structural and Multidisciplinary Optimization","1615-147X","1615-147X","1615-1488","1615-147X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000516075600003",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s41358-020-00215-6",TRUE,"Springer Nature","Zeitschrift für Politikwissenschaft","1430-6387","1430-6387","2366-2638","1430-6387","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s00224-020-10000-1",TRUE,"Springer Nature","Theory of Computing Systems","1432-4350","1432-4350","1433-0490","1432-4350","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000559651700003",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s00779-020-01452-w",TRUE,"Springer Nature","Personal and Ubiquitous Computing","1617-4909","1617-4909","1617-4917","1617-4909","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000570821100001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s41244-020-00180-1",TRUE,"Springer Nature","Zeitschrift für Literaturwissenschaft und Linguistik","0049-8653","0049-8653","2365-953X","0049-8653","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000577840200001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s11187-020-00412-1",TRUE,"Springer Nature","Small Business Economics","0921-898X","0921-898X","1573-0913","0921-898X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000585057900001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s41244-020-00162-3",TRUE,"Springer Nature","Zeitschrift für Literaturwissenschaft und Linguistik","0049-8653","0049-8653","2365-953X","0049-8653","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000515342400001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s11615-020-00237-3",TRUE,"Springer Nature","Politische Vierteljahresschrift","0032-3470","0032-3470","1862-2860","0032-3470","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000526188300001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s10676-020-09533-3",TRUE,"Springer Nature","Ethics and Information Technology","1388-1957","1388-1957","1572-8439","1388-1957","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000534830700001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s00466-020-01830-4",TRUE,"Springer Nature","Computational Mechanics","0178-7675","0178-7675","1432-0924","0178-7675","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000518071600001",NA,FALSE,"DEAL Springer Nature Germany"
"Siegen U",2020,3356.61,"10.1007/s11081-020-09530-x",TRUE,"Springer Nature","Optimization and Engineering","1389-4420","1389-4420","1573-2924","1389-4420","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000548161700002",NA,FALSE,"DEAL Springer Nature Germany"
