"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Siegen U",2020,3372.57,"10.1002/per.2234",TRUE,"Wiley-Blackwell","European Journal of Personality","0890-2070","0890-2070","1099-0984","0890-2070","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,"ut:000510038200001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/mabi.201900354",TRUE,"Wiley-Blackwell","Macromolecular Bioscience","1616-5187","1616-5187","1616-5195","1616-5187","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32077245",NA,"ut:000514341800001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/chem.201905218",TRUE,"Wiley-Blackwell","Chemistry - A European Journal","0947-6539","0947-6539","1521-3765","0947-6539","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"31961024","PMC7155094","ut:000517654400001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1111/1467-8578.12310",TRUE,"Wiley-Blackwell","British Journal of Special Education","0952-3383","0952-3383","1467-8578","0952-3383","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000526550700001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/anie.202002009",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32147942","PMC7318186","ut:000527834200001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/ange.202002009",TRUE,"Wiley-Blackwell","Angewandte Chemie","0044-8249","0044-8249","1521-3757","0044-8249","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/cptc.202000015",TRUE,"Wiley-Blackwell","ChemPhotoChem","2367-0932","2367-0932","2367-0932","2367-0932","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000547491300009",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1111/psyg.12546",TRUE,"Wiley-Blackwell","Psychogeriatrics","1346-3500","1346-3500","1479-8301","1346-3500","http://creativecommons.org/licenses/by/4.0/",TRUE,"32219988",NA,"ut:000521601000001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1111/spc3.12530",TRUE,"Wiley-Blackwell","Social and Personality Psychology Compass","1751-9004","1751-9004","1751-9004","1751-9004","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000527925200001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/mabi.202000014",TRUE,"Wiley-Blackwell","Macromolecular Bioscience","1616-5187","1616-5187","1616-5195","1616-5187","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32363777",NA,"ut:000529866400001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/ange.202002739",TRUE,"Wiley-Blackwell","Angewandte Chemie","0044-8249","0044-8249","1521-3757","0044-8249","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/anie.202002739",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by/4.0/",TRUE,"32315496","PMC7383839","ut:000539103800001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/suco.201900451",TRUE,"Wiley-Blackwell","Structural Concrete","1464-4177","1464-4177","1751-7648","1464-4177","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000533231100001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/adem.202000219",TRUE,"Wiley-Blackwell","Advanced Engineering Materials","1438-1656","1438-1656","1527-2648","1438-1656","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000533237500001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/smtd.202000257",TRUE,"Wiley-Blackwell","Small Methods","2366-9608","2366-9608","2366-9608","2366-9608","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000572131000004",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1111/sjos.12478",TRUE,"Wiley-Blackwell","Scandinavian Journal of Statistics","0303-6898","0303-6898","1467-9469","0303-6898","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000557448200001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/wics.1523",TRUE,"Wiley-Blackwell","WIREs Computational Statistics","1939-5108","1939-5108","1939-0068","1939-0068","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/bdm.2195",TRUE,"Wiley-Blackwell","Journal of Behavioral Decision Making","0894-3257","0894-3257","1099-0771","0894-3257","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000548613100001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/net.21973",TRUE,"Wiley-Blackwell","Networks","0028-3045","0028-3045","1097-0037","0028-3045","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000563965200001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/adfm.202004348",TRUE,"Wiley-Blackwell","Advanced Functional Materials","1616-301X","1616-301X","1616-3028","1616-301X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000555853900001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1002/zamm.201900288",TRUE,"Wiley-Blackwell","ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik","0044-2267","0044-2267","1521-4001","0044-2267","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000563953600001",NA,FALSE,"DEAL Wiley Germany"
"Siegen U",2020,3372.57,"10.1111/cgf.14090",TRUE,"Wiley-Blackwell","Computer Graphics Forum","0167-7055","0167-7055","1467-8659","0167-7055","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000560195800001",NA,FALSE,"DEAL Wiley Germany"
