"doi","colour charge","cover charge","page charge","permission","reprint","submission fee","payment fee","other"
"10.1109/tgrs.2024.3369402",NA,NA,1261.76,NA,NA,NA,NA,NA
"10.3390/healthcare12060619",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/constrmater4020017",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/s24082459",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/access.2024.3404623",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/vehicles6020041",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/wevj15070310",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/healthcare12161594",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physrevresearch.6.043094",NA,NA,NA,NA,NA,NA,NA,NA
"10.33642/ijbass.v10n9p3",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/electronics13234774",NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pdig.0000710",NA,NA,NA,NA,NA,NA,NA,NA
"10.2196/51832",NA,NA,NA,NA,NA,NA,NA,190.94
"10.5194/nhess-24-2285-2024",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/su16073064",NA,NA,NA,NA,NA,NA,NA,NA
"10.1175/jhm-d-23-0170.1",NA,NA,NA,NA,NA,NA,NA,NA
"10.1126/sciadv.adp6015",NA,NA,NA,NA,NA,NA,NA,NA
"10.4102/jtscm.v18i0.1073",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app142311288",NA,NA,NA,NA,NA,NA,NA,NA
"10.1055/a-2505-5175",NA,NA,NA,NA,NA,NA,NA,NA
