"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Siegen U",2024,2446.95,"10.1109/tgrs.2024.3369402",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Geoscience and Remote Sensing","0196-2892","0196-2892","1558-0644","0196-2892","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,FALSE
"Siegen U",2024,3032.64,"10.3390/healthcare12060619",FALSE,"MDPI AG","Healthcare","2227-9032",NA,"2227-9032","2227-9032","https://creativecommons.org/licenses/by/4.0/",TRUE,"38540583","PMC10970368",NA,NA,FALSE
"Siegen U",2024,1226.59,"10.3390/constrmater4020017",FALSE,"MDPI AG","Construction Materials","2673-7108",NA,"2673-7108","2673-7108","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,3162.54,"10.3390/s24082459",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"38676076","PMC11054896",NA,NA,TRUE
"Siegen U",2024,2185.24,"10.1109/access.2024.3404623",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,1926.82,"10.3390/vehicles6020041",FALSE,"MDPI AG","Vehicles","2624-8921",NA,"2624-8921","2624-8921","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,1719.65,"10.3390/wevj15070310",FALSE,"MDPI AG","World Electric Vehicle Journal","2032-6653",NA,"2032-6653","2032-6653","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,3430.07,"10.3390/healthcare12161594",FALSE,"MDPI AG","Healthcare","2227-9032",NA,"2227-9032","2227-9032","https://creativecommons.org/licenses/by/4.0/",TRUE,"39201153","PMC11354001",NA,NA,FALSE
"Siegen U",2024,2927.92,"10.1103/physrevresearch.6.043094",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,163.16,"10.33642/ijbass.v10n9p3",FALSE,"The Center for Promoting Education and Research (CPER)","International Journal of Business and Applied Social Science","2469-6501",NA,"2469-6501","2469-6501","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Siegen U",2024,3287.74,"10.3390/electronics13234774",FALSE,"MDPI AG","Electronics","2079-9292",NA,"2079-9292","2079-9292","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Siegen U",2024,3310.46,"10.1371/journal.pdig.0000710",FALSE,"Public Library of Science (PLoS)","PLOS Digital Health","2767-3170",NA,"2767-3170","2767-3170","http://creativecommons.org/licenses/by/4.0/",TRUE,"39752358","PMC11698311",NA,NA,TRUE
"Siegen U",2024,2727.61,"10.2196/51832",FALSE,"JMIR Publications Inc.","JMIR Formative Research","2561-326X",NA,"2561-326X","2561-326X",NA,TRUE,"39510514","PMC11582492",NA,NA,TRUE
"Siegen U",2024,1649.34,"10.5194/nhess-24-2285-2024",FALSE,"Copernicus GmbH","Natural Hazards and Earth System Sciences","1684-9981",NA,"1684-9981","1561-8633","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,2969.74,"10.3390/su16073064",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Siegen U",2024,1254.71,"10.1175/jhm-d-23-0170.1",TRUE,"American Meteorological Society","Journal of Hydrometeorology","1525-755X","1525-755X","1525-7541","1525-7541","http://www.ametsoc.org/PUBSReuseLicenses",TRUE,NA,NA,NA,NA,FALSE
"Siegen U",2024,1177.06,"10.1126/sciadv.adp6015",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548","2375-2548","https://www.science.org/content/page/science-licenses-journal-article-reuse",TRUE,"39241073","PMC11378899",NA,NA,TRUE
"Siegen U",2024,928.06,"10.4102/jtscm.v18i0.1073",FALSE,"AOSIS","Journal of Transport and Supply Chain Management","2310-8789","2310-8789","1995-5235","1995-5235","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,3042.16,"10.3390/app142311288",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Siegen U",2024,3629.5,"10.1055/a-2505-5175",TRUE,"Georg Thieme Verlag KG","Die Rehabilitation","0034-3536","0034-3536","1439-1309","0034-3536","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"40032250","PMC12043377",NA,NA,FALSE
