"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Stuttgart U",2012,282.8,"10.5539/apr.v4n1p146",FALSE,"Canadian Center of Science and Education","Applied Physics Research","1916-9647","1916-9639","1916-9647","1916-9639",NA,TRUE,NA,NA,NA,NA,FALSE
"Stuttgart U",2012,1076,"10.1186/1472-6807-12-8",FALSE,"Springer Science + Business Media","BMC Structural Biology","1472-6807","1472-6807",NA,"1472-6807",NA,TRUE,"22568977","PMC3412742","ut:000307247500001",NA,TRUE
"Stuttgart U",2012,1196.65,"10.1103/physrevx.2.031010",FALSE,"American Physical Society (APS)","Physical Review X","2160-3308",NA,"2160-3308","2160-3308","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000310515000001",NA,TRUE
"Stuttgart U",2012,1214.51,"10.1371/journal.pone.0031966",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"22438873","PMC3305605","ut:000302381500006",NA,TRUE
"Stuttgart U",2012,800,"10.1186/1687-1499-2012-216",FALSE,"Springer Science + Business Media","EURASIP Journal on Wireless Communications and Networking","1687-1499",NA,"1687-1499","1687-1472","http://creativecommons.org/licenses/by/2.0",TRUE,NA,NA,"ut:000315037500001",NA,TRUE
"Stuttgart U",2012,160.3,"10.1107/s1600536811051919",FALSE,"International Union of Crystallography (IUCr)","Acta Crystallographica Section E Structure Reports Online","1600-5368",NA,"1600-5368","1600-5368","http://creativecommons.org/licenses/by/2.0/uk/legalcode",TRUE,"22259312","PMC3254269","ut:000298966100002",NA,TRUE
"Stuttgart U",2012,443.52,"10.2174/1876534301205010011",FALSE,"Bentham Science Publishers Ltd.","The Open Plasma Physics Journal","1876-5343","1876-5343",NA,"1876-5343",NA,TRUE,NA,NA,NA,NA,FALSE
"Stuttgart U",2012,1180,"10.1186/1752-0509-6-81",FALSE,"Springer Science + Business Media","BMC Systems Biology","1752-0509","1752-0509",NA,"1752-0509",NA,TRUE,"22748204","PMC3532330","ut:000313113600001",NA,TRUE
"Stuttgart U",2012,400,"10.1186/1687-4153-2012-14",FALSE,"Springer Science + Business Media","EURASIP Journal on Bioinformatics and Systems Biology","1687-4153",NA,"1687-4153","1687-4145","http://creativecommons.org/licenses/by/2.0",TRUE,"23033959","PMC3534542",NA,NA,TRUE
"Stuttgart U",2012,1087.85,"10.1371/journal.pone.0040274",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"22815735","PMC3399864","ut:000306548900019",NA,TRUE
