institution;period;euro;doi;is_hybrid
Universität Stuttgart;2015;186,3;10.1016/j.piutam.2015.01.001;FALSE
Universität Stuttgart;2015;186,3;10.1016/j.piutam.2015.01.011;FALSE
Universität Stuttgart;2015;186,3;10.1016/j.piutam.2015.01.010;FALSE
Universität Stuttgart;2015;186,3;10.1016/j.piutam.2015.01.016;FALSE
Universität Stuttgart;2015;1444;10.1186/s12964-015-0084-z;FALSE
Universität Stuttgart;2015;815,45;10.1155/2015/585409;FALSE
Universität Stuttgart;2015;1786,03;10.1364/OE.23.008281;FALSE
Universität Stuttgart;2015;704;10.1186/s12302-014-0037-y;FALSE
Universität Stuttgart;2015;1596;10.1186/s13072-015-0002-z;FALSE
Universität Stuttgart;2015;1656,43;10.1364/OE.23.002472;FALSE
Universität Stuttgart;2015;1340;10.1186/s12918-015-0147-1;FALSE
Universität Stuttgart;2015;1663,77;10.1364/OE.23.004002;FALSE
Universität Stuttgart;2015;1130,5;10.5194/amt-8-3701-2015;FALSE
Universität Stuttgart;2015;455,5;10.4236/cus.2015.31005;FALSE
Universität Stuttgart;2015;1412,11;10.1371/journal.pone.0135852;FALSE
Universität Stuttgart;2015;1536;10.1186/s13148-015-0075-3;FALSE
Universität Stuttgart;2015;1340;10.1186/s12859-015-0550-z;FALSE
Universität Stuttgart;2015;1142,4;10.3389/fenvs.2015.00031;FALSE
Universität Stuttgart;2015;485,25;10.4236/ojmsi.2015.33009;FALSE
Universität Stuttgart;2015;1733,92;10.1364/OE.23.011105;FALSE
Universität Stuttgart;2015;2023;10.1093/ijnp/pyv043;FALSE
Universität Stuttgart;2015;463,09;10.4236/cus.2015.32011;FALSE
Universität Stuttgart;2015;1708,45;10.1364/OE.23.021064;FALSE
Universität Stuttgart;2015;1184;10.1186/s12934-015-0207-7;FALSE
Universität Stuttgart;2015;283,61;10.11114/ijsss.v3i4.870;FALSE
Universität Stuttgart;2015;1593,65;10.3390/ijerph120810066;FALSE
Universität Stuttgart;2015;1596;10.1186/s12966-015-0272-7;FALSE
Universität Stuttgart;2015;1119,06;10.3390/w7095061;FALSE
Universität Stuttgart;2015;1674,97;10.1364/OE.23.023960;FALSE
Universität Stuttgart;2015;1838,26;10.1103/PhysRevX.5.031019;FALSE
Universität Stuttgart;2015;1565,18;10.3389/fbioe.2015.00108;FALSE
Universität Stuttgart;2015;1461,92;10.1371/journal.pone.0130985;FALSE
Universität Stuttgart;2015;1289,27;10.1364/OME.5.002625;FALSE
Universität Stuttgart;2015;1925;10.1127/metz/2015/0634;FALSE
Universität Stuttgart;2015;1675,69;10.1364/OE.23.024246;FALSE
Universität Stuttgart;2015;1688,17;10.1364/OE.23.026651;FALSE
Universität Stuttgart;2015;1495,87;10.1038/srep13813;FALSE
Universität Stuttgart;2015;1254,46;10.1364/OME.5.002525;FALSE
Universität Stuttgart;2015;1558,4;10.3389/fpls.2015.01137;FALSE
Universität Stuttgart;2015;2077,86;10.3389/fmicb.2015.01431;FALSE
Universität Stuttgart;2015;708;10.1186/s13705-015-0066-4;FALSE
