Institution,Period,euro,DOI,Is_hybrid
University of Turku,2023,"3723,4",10.3389/fimmu.2023.1099246,FALSE
University of Turku,2023,2291,10.1038/s41598-022-27317-1,FALSE
University of Turku,2023,"2101,35",10.3390/polym15030625,FALSE
University of Turku,2023,"2318,36",10.1155/2023/3159566,TRUE
University of Turku,2023,"1548,04",10.3390/ijerph20042830 ,FALSE
University of Turku,2023,"1697,69",10.1371/JOURNAL.PONE.0280686,FALSE
University of Turku,2023,2345,10.1186/s13550-023-00969-4,FALSE
University of Turku,2023,"2057,36",10.1371/journal.pone.0265027,FALSE
University of Turku,2023,3190,10.1080/23744235.2023.2192287,TRUE
University of Turku,2023,"3775,8",10.1186/s13195-023-01209-6,FALSE
University of Turku,2023,"3826,83",10.3389/fimmu.2023.1152228,FALSE
University of Turku,2023,"4047,36",10.1093/nar/gkac900,FALSE
University of Turku,2023,"513,36",10.3390/microorganisms11041090,FALSE
University of Turku,2023,2710,10.1080/22221751.2023.2204146,FALSE
University of Turku,2023,"3722,01",10.3389/fimmu.2023.1146500,FALSE
University of Turku,2023,"3127,27",10.3389/fpsyg.2023.1105234,FALSE
University of Turku,2023,"2909,09",10.1037/dev0001544,TRUE
University of Turku,2023,2730,10.1111/jora.12847,TRUE
University of Turku,2023,"1708,57",10.1371/journal.pone.0279384,FALSE
University of Turku,2023,1450,10.1080/2474736X.2023.2171893,FALSE
University of Turku,2023,"2562,96",10.1371/journal.pcbi.1010333,FALSE
University of Turku,2023,1190,10.3391/ai.2023.18.3.103350,FALSE
University of Turku,2023,1492,10.1161/JAHA.122.027586,FALSE
University of Turku,2023,1440,10.1016/j.bonr.2022.101627,FALSE
University of Turku,2023,"1305,03",10.3847/1538-4357/acbd4d,FALSE
University of Turku,2023,4340,10.1136/jech-2022-219706,TRUE
University of Turku,2023,"1214,39",10.3390/s23021025,FALSE
University of Turku,2023,"948,98",10.3897/zookeys.1146.97517,FALSE
University of Turku,2023,"4452,15",10.26508/lsa.202301928,FALSE
University of Turku,2023,"1927,01",10.3389/fnbeh.2023.1028190,FALSE
University of Turku,2023,"2168,79",10.3390/s23062936,FALSE
University of Turku,2023,"290,42",10.2186/jpr.JPR_D_22_00050,TRUE
University of Turku,2023,"3403,8",10.1186/s12889-023-15653-4,FALSE
University of Turku,2023,"3755,43",10.3389/fimmu.2023.1145473,FALSE
University of Turku,2023,"2659,8",10.1038/S41598-023-35471-3,FALSE
University of Turku,2023,"2882,63",10.3847/2041-8213/acc391,FALSE
University of Turku,2023,"2882,63",10.3847/2041-8213/acd33e,FALSE
University of Turku,2023,3120,10.15252/embr.202256689,FALSE
University of Turku,2023,1674,10.1016/j.ecosta.2023.02.004,TRUE
University of Turku,2023,"4625,2",10.1093/pnasnexus/pgad009,FALSE
University of Turku,2023,"1175,64",10.3389/feduc.2023.1102901,FALSE
University of Turku,2023,"2730,92",10.7554/eLife.84782,FALSE
University of Turku,2023,"1124,91",10.3847/2041-8213/ace2c9,FALSE
University of Turku,2023,"2096,05",10.1371/journal.pone.0290179,FALSE
University of Turku,2023,"3115,58",10.1099/jgv.0.001888,TRUE
University of Turku,2023,"2769,83",10.1037/vio0000474,TRUE
University of Turku,2023,1450,10.1080/2331186X.2023.2223814,FALSE
University of Turku,2023,1760,10.1016/j.ijppaw.2023.07.004,FALSE
University of Turku,2023,2145,10.1038/s41598-023-34811-7,FALSE
University of Turku,2023,2000,10.1002/mgg3.2275 ,FALSE
University of Turku,2023,"2591,6",10.1038/s41598-023-33700-3,FALSE
University of Turku,2023,"1830,99",10.3390/diagnostics13091511,FALSE
University of Turku,2023,3190,10.1186/s13054-023-04388-8,FALSE
University of Turku,2023,"2380,29",10.3390/nu15082009,FALSE
University of Turku,2023,"3123,74",10.3389/fpsyt.2023.1158145,FALSE
University of Turku,2023,"5370,7",10.1126/sciadv.adg1840,FALSE
University of Turku,2023,965,10.1080/26415275.2023.2209593,FALSE
University of Turku,2023,5084,10.1016/j.ebiom.2023.104625,FALSE
