"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"University of Turku",2021,2292.15,"10.3390/cancers13092244",FALSE,"MDPI AG","Cancers","2072-6694",NA,"2072-6694","2072-6694","https://creativecommons.org/licenses/by/4.0/",TRUE,"34067046","PMC8125679","ut:000649910600001",NA,TRUE
"University of Turku",2021,2759,"10.1186/s12885-021-08222-8",FALSE,"Springer Nature","BMC Cancer","1471-2407",NA,"1471-2407","1471-2407","http://creativecommons.org/licenses/by/4.0/",TRUE,"33931044","PMC8086072","ut:000654943400001",NA,TRUE
"University of Turku",2021,1163.42,"10.3390/ma14112817",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"34070484","PMC8197550","ut:000660262100001",NA,TRUE
"University of Turku",2021,1262.4,"10.3390/ma14112769",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"34071137","PMC8197073","ut:000660258000001",NA,TRUE
"University of Turku",2021,1985.1,"10.1136/bmjopen-2020-045474",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055","2044-6055","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"34162641","PMC8230974","ut:000691237000003",NA,TRUE
"University of Turku",2021,1111.77,"10.1039/d1ra01945g",TRUE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000660243300055",NA,TRUE
"University of Turku",2021,3028.91,"10.1017/s1474746421000300",TRUE,"Cambridge University Press (CUP)","Social Policy and Society","1474-7464","1474-7464","1475-3073","1474-7464","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"University of Turku",2021,614.97,"10.3390/ijms22126362",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"34198602","PMC8231992","ut:000667450600001",NA,TRUE
"University of Turku",2021,3043.52,"10.1017/eaa.2021.30",TRUE,"Cambridge University Press (CUP)","European Journal of Archaeology","1461-9571","1461-9571","1741-2722","1461-9571","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"University of Turku",2021,5617.2,"10.1038/s41467-021-24285-4",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723","2041-1723","https://creativecommons.org/licenses/by/4.0",TRUE,"34183681","PMC8239026","ut:000669944900001",NA,TRUE
