"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Ulm U",2015,1456.56,"10.1002/ece3.1311",FALSE,"Wiley-Blackwell","Ecology and Evolution","20457758",NA,NA,"http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"25558366","PMC4278824",NA,NA,FALSE
"Ulm U",2015,1333.45,"10.1074/jbc.M114.617506",TRUE,"American Society for Biochemistry & Molecular Biology (ASBMB)","Journal of Biological Chemistry","0021-9258","0021-9258","1083-351X",NA,TRUE,"25512373","PMC4326828",NA,NA,FALSE
"Ulm U",2015,2618,"10.1007/s10270-014-0443-z",TRUE,"Springer Nature","Software & Systems Modeling","1619-1366","1619-1366","1619-1374","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"Ulm U",2015,960,"10.3389/fpsyg.2015.00254",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"25852585","PMC4362080",NA,NA,TRUE
"Ulm U",2015,2089.21,"10.1016/j.ultramic.2014.11.034",TRUE,"Elsevier BV","Ultramicroscopy","03043991","03043991",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"25497718",NA,NA,NA,FALSE
"Ulm U",2015,1285.2,"10.1088/1367-2630/16/12/123012",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630",NA,TRUE,NA,NA,NA,NA,TRUE
"Ulm U",2015,1285.2,"10.1088/1367-2630/17/1/013046",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630",NA,TRUE,NA,NA,NA,NA,TRUE
"Ulm U",2015,2618,"10.1007/s00359-015-0985-8",TRUE,"Springer Nature","Journal of Comparative Physiology A","0340-7594","0340-7594","1432-1351",NA,TRUE,"25663433","PMC4439442",NA,NA,FALSE
"Ulm U",2015,1142.4,"10.3389/fpsyg.2014.01287",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"25538637","PMC4256985",NA,NA,TRUE
"Ulm U",2015,1969.45,"10.1186/s12859-015-0482-7",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105",NA,TRUE,"25887410","PMC4339740",NA,NA,TRUE
"Ulm U",2015,1142.4,"10.3389/fnsys.2015.00038",FALSE,"Frontiers Media SA","Frontiers in Systems Neuroscience","1662-5137",NA,"1662-5137",NA,TRUE,"25852497","PMC4360558",NA,NA,TRUE
"Ulm U",2015,1116.99,"10.4172/2155-6105.1000209",FALSE,"OMICS Publishing Group","Journal of Addiction Research & Therapy","21556105",NA,"21556105",NA,TRUE,NA,NA,NA,NA,FALSE
"Ulm U",2015,2319.29,"10.1016/j.biochi.2015.02.023",TRUE,"Elsevier BV","Biochimie","03009084","03009084",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"25754521",NA,NA,NA,FALSE
"Ulm U",2015,2618,"10.1007/s00359-015-0999-2",TRUE,"Springer Nature","Journal of Comparative Physiology A","0340-7594","0340-7594","1432-1351",NA,TRUE,"25829304","PMC4439428",NA,NA,FALSE
