institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
Wuerzburg U;2016;838.75;10.4236/am.2016.79086;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s13063-015-1060-z ;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12885-016-2170-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1899.24;10.1186/s40170-016-0146-8;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1989.68;10.1177/1744806916628734;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s40793-015-0122-x;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12906-016-1138-5;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12864-016-2697-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12891-016-0908-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;850.53;10.1155/2016/6720783;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1889.83;10.1109/ACCESS.2016.2517203;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12891-016-0903-4;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1899.24;10.1186/s13018-015-0336-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2395.68;10.1371/journal.ppat.1005439;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1899.24;10.1186/s40001-016-0216-y;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12880-016-0133-0;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1627.98;10.1371/journal.pone.0147664 ;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1649.26;10.1371/journal.pone.0147370;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1583.21;10.1371/journal.pone.0153578;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1580;10.3390/ijms17010081;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1344.7;10.14814/phy2.12693;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1476.29;10.1371/journal.pone.0146678;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2032.54;10.3389/fnhum.2016.00352;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1504.16;10.1186/s12979-016-0058-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2395.68;10.1371/journal.ppat.1005448;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;568.23;10.4172/jmis.1000102;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1014.67;10.4172/jpmme.1000107;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1608.69;10.1371/journal.pone.0151335;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2092.02;10.2147/HMER.S105395;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2018.24;10.1186/s12915-016-0233-x;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1394.68;10.1186/s13321-016-0132-8;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1642.2;10.1186/s13049-016-0242-3;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s13231-016-0017-y;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1751.68;10.1186/s12974-016-0604-9;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12881-016-0309-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1870.68;10.1186/s40425-016-0154-9;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2043.59;10.1364/OE.24.008066;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1739.6;10.3390/rs8030220;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1487.5;10.1371/journal.pone.0144847;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2002.48;10.3389/fneur.2016.00048;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s13014-016-0631-9;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12872-016-0382-4;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1570.34;10.1155/2016/9108983;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2105.63;10.3389/fnbeh.2016.00073;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1581.8;10.1371/journal.pone.0153216;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1428;;FALSE;"Department of Sports Medicine Medical Faculty of Uludag University";Journal of Sports Science & Medicine;1303-2968;http://www.jssm.org/researchjssm-15-314.xml.xml
Wuerzburg U;2016;866.32;10.1186/s13256-016-1052-y;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1523.2;10.1186/s13550-016-0204-9;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;859.82;10.1155/2016/7621690;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1625.98;10.3390/v8040105;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1386.35;10.1038/srep29245;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1570.07;10.1371/journal.pone.0155087;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1685.66;10.1371/journal.pone.0166956;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1740.97;10.1093/gbe/evw103;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2023;10.1093/ijnp/pyw049;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1288.77;10.1002/2211-5463.12084;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1425;10.1093/database/baw041;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1573.8;10.1155/2016/5098591;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1476.16;10.1371/journal.pone.0146358;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1505.2;10.3389/fmolb.2016.00022;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1386.35;10.1038/srep28081;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1386.35;10.1038/srep29158;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2353.47;10.1177/1744806916646379;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12891-016-1147-z;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s13014-016-0722-7;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1820.38;10.1103/PhysRevX.6.031014 ;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1386.35;10.1038/srep29847;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12889-016-3437-7;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1758.57;10.3390/rs8080630;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2010.31;10.1167/16.2.11;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;2051.39;10.1364/OE.24.020781;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1661.24;10.1186/s12885-016-2708-0;FALSE;NA;NA;NA;NA
Wuerzburg U;2016;1870.68;10.1186/s13023-016-0491-2;FALSE;NA;NA;NA;NA
