institution;period;euro;doi;is_hybrid;opt_out
Wuerzburg U;2020;1709;10.1007/s40315-020-00339-4;TRUE;TRUE
Wuerzburg U;2020;1709;10.1007/s42423-020-00058-x;TRUE;TRUE
Wuerzburg U;2020;1709;10.1007/s10959-020-00996-0;TRUE;TRUE
Wuerzburg U;2020;1709;10.1007/s00702-020-02253-4;TRUE;TRUE
Wuerzburg U;2020;1709;10.1007/s00424-020-02410-4;TRUE;TRUE
Wuerzburg U;2020;1709;10.1038/s41428-020-0358-1;TRUE;TRUE
Wuerzburg U;2020;1709;10.1007/s00405-020-06053-0;TRUE;TRUE
Wuerzburg U;2020;1709;10.1007/s11613-020-00672-6;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s00109-021-02063-5;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s00112-021-01161-5;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s00423-021-02099-8;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s10120-021-01167-8;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s00423-021-02081-4;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s00120-021-01475-y;TRUE;TRUE
Wuerzburg U;2021;1813;10.1007/s00112-021-01164-2;TRUE;TRUE
Wuerzburg U;2022;1912;10.1007/s00442-022-05276-8;TRUE;TRUE
Wuerzburg U;2022;1912;10.1007/s12144-022-03553-6;TRUE;TRUE
Wuerzburg U;2023;1669;10.1007/s00761-023-01417-7;TRUE;TRUE
Wuerzburg U;2023;1669;10.1007/s00384-023-04495-6;TRUE;TRUE
Wuerzburg U;2023;1669;10.1007/s10765-023-03307-x;TRUE;TRUE
Wuerzburg U;2023;1669;10.1007/s40477-023-00843-y;TRUE;TRUE
