"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"University of Zurich",2019,361.11,"10.1177/2378023119887866",FALSE,"SAGE Publications","Socius: Sociological Research for a Dynamic World","2378-0231","2378-0231","2378-0231","2378-0231","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"University of Zurich",2019,1250,"10.1080/17482631.2019.1667134",FALSE,"Informa UK Limited","International Journal of Qualitative Studies on Health and Well-being","1748-2631",NA,"1748-2631","1748-2623","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"31526241","PMC6758705","ut:000486717600001",NA,TRUE
"University of Zurich",2019,500,"10.1515/opth-2019-0033",FALSE,"Walter de Gruyter GmbH","Open Theology","2300-6579",NA,"2300-6579","2300-6579","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000494816400001",NA,TRUE
"University of Zurich",2019,1396,"10.1186/s12889-019-7723-z",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458","http://creativecommons.org/licenses/by/4.0/",TRUE,"31664959","PMC6819348","ut:000499678600001",NA,TRUE
"University of Zurich",2019,1251.53,"10.3390/su11205826",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000498398900282",NA,TRUE
"University of Zurich",2019,850,"10.5334/joc.86",FALSE,"Ubiquity Press, Ltd.","Journal of Cognition","2514-4820",NA,"2514-4820","2514-4820",NA,TRUE,"31576379","PMC6753309",NA,NA,TRUE
"University of Zurich",2019,850,"10.5334/joc.79",FALSE,"Ubiquity Press, Ltd.","Journal of Cognition","2514-4820",NA,"2514-4820","2514-4820",NA,TRUE,"31517241","PMC6688546",NA,NA,TRUE
"University of Zurich",2019,445.79,"10.1121/1.5111154",FALSE,"Acoustical Society of America (ASA)","The Journal of the Acoustical Society of America","0001-4966","0001-4966",NA,"0001-4966",NA,TRUE,"31370609",NA,"ut:000478628800001",NA,FALSE
"University of Zurich",2019,1519.96,"10.1177/2381468319855642",FALSE,"SAGE Publications","MDM Policy & Practice","2381-4683","2381-4683","2381-4683","2381-4683","http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"31259250","PMC6589979",NA,NA,TRUE
"University of Zurich",2019,850,"10.5334/joc.66",FALSE,"Ubiquity Press, Ltd.","Journal of Cognition","2514-4820",NA,"2514-4820","2514-4820","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"University of Zurich",2019,429.41,"10.16910/jemr.12.1.4",FALSE,"Bern Open Publishing","Journal of Eye Movement Research","1995-8692",NA,NA,"1995-8692",NA,FALSE,NA,NA,"ut:000474248000001",NA,TRUE
"University of Zurich",2019,2244.91,"10.3389/fpsyg.2019.00604",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"31080420","PMC6497778","ut:000465719700001",NA,TRUE
"University of Zurich",2019,370.43,"10.5334/gjgl.878",FALSE,"Ubiquity Press, Ltd.","Glossa: a journal of general linguistics","2397-1835",NA,"2397-1835","2397-1835",NA,TRUE,NA,NA,"ut:000465195100001",NA,TRUE
"University of Zurich",2019,442.95,"10.1121/1.5093450",FALSE,"Acoustical Society of America (ASA)","The Journal of the Acoustical Society of America","0001-4966","0001-4966",NA,"0001-4966",NA,TRUE,"31067968",NA,"ut:000463743800007",NA,FALSE
"University of Zurich",2019,901.14,"10.3389/feduc.2019.00001",FALSE,"Frontiers Media SA","Frontiers in Education","2504-284X",NA,"2504-284X","2504-284X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"University of Zurich",2019,1279.43,"10.1186/s13321-018-0326-3",FALSE,"Springer Nature","Journal of Cheminformatics","1758-2946",NA,"1758-2946","1758-2946","http://creativecommons.org/licenses/by/4.0/",TRUE,"30666476","PMC6689863","ut:000458040000001",NA,TRUE
"University of Zurich",2019,1319.86,"10.1080/20008198.2019.1657371",FALSE,"Informa UK Limited","European Journal of Psychotraumatology","2000-8198","2000-8198","2000-8066","2000-8066","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"31528270","PMC6735334","ut:000483848800001",NA,TRUE
"University of Zurich",2019,2559.11,"10.3389/fnagi.2019.00298",FALSE,"Frontiers Media SA","Frontiers in Aging Neuroscience","1663-4365",NA,"1663-4365","1663-4365","https://creativecommons.org/licenses/by/4.0/",TRUE,"31824294","PMC6881240","ut:000501251000001",NA,TRUE
