"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Virginia Tech",2012,1004.01,"10.1186/1752-0509-6-S3-S6",FALSE,"Springer Science + Business Media","BMC Systems Biology","1752-0509","1752-0509",NA,"1752-0509",NA,TRUE,"23282371","PMC3524319","ut:000312992900006",NA,TRUE
"Virginia Tech",2012,1051.52,"10.1371/journal.pone.0047952",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"23110142","PMC3480463","ut:000310310200119",NA,TRUE
"Virginia Tech",2012,307.67,NA,FALSE,"STEM Education and Research Institute","Journal of STEM Education: Innovations and Research","1557-5284",NA,NA,"1557-5284",NA,FALSE,NA,NA,NA,"http://jstem.org/index.php?journal=JSTEM&page=article&op=view&path%5B%5D=1746",FALSE
"Virginia Tech",2012,1402.02,"10.1063/1.4747332",TRUE,"AIP Publishing","Applied Physics Letters","0003-6951","0003-6951","1077-3118","0003-6951",NA,TRUE,NA,NA,"ut:000308420800109",NA,FALSE
"Virginia Tech",2012,1168.35,"10.1364/OE.21.001152",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087",NA,TRUE,"23389008",NA,"ut:000315988100139",NA,FALSE
"Virginia Tech",2012,1168.35,"10.1093/nar/gks951",FALSE,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048","0305-1048","1362-4962","0305-1048",NA,TRUE,"23161673","PMC3553975","ut:000314121100009",NA,TRUE
"Virginia Tech",2012,233.67,"10.1155/2012/439021",FALSE,"Hindawi Publishing Corporation","International Journal of Reconfigurable Computing","1687-7195","1687-7195","1687-7209","1687-7195","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"Virginia Tech",2012,2336.7,"10.1007/s13157-012-0330-8",TRUE,"Springer Science + Business Media","Wetlands","0277-5212","0277-5212","1943-6246","0277-5212",NA,TRUE,NA,NA,"ut:000311540400003",NA,FALSE
"Virginia Tech",2013,1129.8,"10.1364/OE.21.007050",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087",NA,TRUE,"23546088",NA,"ut:000316796000043",NA,FALSE
"Virginia Tech",2013,225.96,"10.3390/mi4010090",FALSE,"MDPI AG","Micromachines","2072-666X",NA,"2072-666X","2072-666X",NA,TRUE,NA,NA,"ut:000325020300008",NA,TRUE
"Virginia Tech",2013,941.5,"10.1371/journal.pone.0061500",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"23585905","PMC3621832","ut:000317909600120",NA,TRUE
"Virginia Tech",2013,962.38,"10.3389/fmicb.2013.00130",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"23755046","PMC3664959","ut:000331125700002",NA,TRUE
"Virginia Tech",2013,903.84,"10.1155/2013/460413",FALSE,"Hindawi Publishing Corporation","Computational and Mathematical Methods in Medicine","1748-670X","1748-670X","1748-6718","1748-670X","http://creativecommons.org/licenses/by/3.0/",TRUE,"23935700","PMC3722855","ut:000322248000001",NA,TRUE
"Virginia Tech",2013,915.14,"10.1371/journal.pone.0064151",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"23724028","PMC3664617","ut:000319738100019",NA,TRUE
"Virginia Tech",2013,915.14,"10.1371/journal.pone.0070144",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"23922942","PMC3724824","ut:000322838900156",NA,TRUE
"Virginia Tech",2013,632.69,"10.1177/1535370213494558",TRUE,"SAGE Publications","Experimental Biology and Medicine","1535-3702","1535-3702","1535-3699","1535-3699",NA,TRUE,"23828590",NA,"ut:000323335200013",NA,FALSE
"Virginia Tech",2013,1318.1,"10.1109/TDSC.2013.29",TRUE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Transactions on Dependable and Secure Computing","1545-5971","1545-5971",NA,"1545-5971",NA,TRUE,NA,NA,"ut:000334668500007",NA,FALSE
"Virginia Tech",2013,2259.6,"10.1007/s00216-013-7123-7",TRUE,"Springer Science + Business Media","Analytical and Bioanalytical Chemistry","1618-2642","1618-2642","1618-2650","1618-2642",NA,TRUE,"23812879","PMC3730152","ut:000322705600006",NA,FALSE
"Virginia Tech",2013,915.14,"10.1371/journal.pone.0066477",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"23776677","PMC3680422","ut:000320322400105",NA,TRUE
"Virginia Tech",2013,915.14,"10.1371/journal.pone.0073112",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"24023673","PMC3758273","ut:000323880200069",NA,TRUE
"Virginia Tech",2013,1442.53,"10.2196/resprot.2830",FALSE,"JMIR Publications Inc.","JMIR Research Protocols","1929-0748",NA,"1929-0748","1929-0748",NA,TRUE,"24148226","PMC3806551",NA,NA,TRUE
"Virginia Tech",2013,758.76,"10.3390/rs5104942",FALSE,"MDPI AG","Remote Sensing","2072-4292",NA,"2072-4292","2072-4292",NA,TRUE,NA,NA,"ut:000328614900011",NA,TRUE
"Virginia Tech",2013,1193.83,"10.1158/1940-6207.CAPR-13-0227",TRUE,"American Association for Cancer Research (AACR)","Cancer Prevention Research","1940-6207","1940-6207","1940-6215","1940-6215",NA,TRUE,"24022590","PMC3836366","ut:000327519500004",NA,FALSE
