institution,DOI,is_hybrid,euro,period
University of Aberdeen,10.1093/ehjcr/ytz191,FALSE,570.1752,2019
University of Aberdeen,10.1016/j.jmb.2019.05.043,TRUE,2660.8176,2019
University of Aberdeen,10.1186/s41927-019-0066-7,FALSE,1859.8572,2019
University of Aberdeen,10.1016/j.jpain.2019.04.011,TRUE,3205.334916,2019
University of Aberdeen,10.1016/j.scitotenv.2019.03.304,TRUE,3400.280532,2019
University of Aberdeen,10.1109/jbhi.2019.2907189,TRUE,2140.498791,2019
University of Aberdeen,10.1097/AJP.0000000000000697,FALSE,4126.586445,2019
University of Aberdeen,10.1136/bmjopen-2018-026793,FALSE,1832.706,2019
University of Aberdeen,10.1128/mBio.02535-18,FALSE,3569.036553,2019
University of Aberdeen,10.1016/j.tcsw.2018.09.001,FALSE,2697.347277,2019
University of Aberdeen,10.1186/1471-2474-15-71,FALSE,2313.5085,2019
,,,,
,,,,
,,,,
,,,,
University of Bath,10.1371/journal.pone.0221242,FALSE,1783.166373,2019
University of Bath,10.1371/journal.pone.0211758,FALSE,1542.923505,2019
University of Bath,10.1038/s41598-018-37140-2,FALSE,1581.5574,2019
University of Bath,10.1186/s40814-018-0385-2,FALSE,2192.4594,2019
Birkbeck College,10.1177/0022009418786789,TRUE,2986.632,2019
Birkbeck College,10.1111/mbe.12212,TRUE,2647.242,2019
Birkbeck College,10.1016/j.geoforum.2018.10.007,TRUE,2010.286161,2019
Birkbeck College,10.1177/0952695119867021,FALSE,2986.632,2019
Birkbeck College,10.1111/mbe.12198,FALSE,2206.035,2019
Birkbeck College,10.3389/fpsyg.2019.01906,FALSE,2529.055089,2019
Birkbeck College,10.3366/pah.2019.0281,FALSE,1357.56,2019
Birkbeck College,10.1016/j.dcn.2019.100676,FALSE,2682.99108,2019
Birkbeck College,10.1093/femsre/fuz016,FALSE,1166.93595,2019
Birkbeck College,10.1037/rev0000151,FALSE,4545.257949,2019
Birkbeck College,10.1016/j.jecp.2019.01.015,FALSE,2881.884933,2019
Birkbeck College,10.1080/13506285.2018.1544181,FALSE,2572.5762,2019
Birkbeck College,10.15252/embr.201847012,FALSE,4751.46,2019
Birkbeck College,10.1177/0952695118808411,FALSE,2986.632,2019
Birkbeck College,10.1093/shm/hky091,FALSE,2542.70988,2019
Birkbeck College,10.1093/shm/hky103,FALSE,2670.32052,2019
Birkbeck College,10.1111/desc.12771,FALSE,3190.266,2019
Birkbeck College,10.3389/fnhum.2018.00402,FALSE,2352.357342,2019
University of Birmingham,Unknown,TRUE,3994.416666,2019
University of Birmingham,10.1016/j.coche.2017.12.004,TRUE,3257.103204,2019
University of Birmingham,Unknown,TRUE,1846.2816,2019
