institution,period,euro,doi,is_hybrid
ZHAW Zurich University of Applied Sciences,2023,2455.56,10.1016/j.arrct.2023.100289,false
ZHAW Zurich University of Applied Sciences,2023,2310.17,10.1038/s41598-023-34733-4,false
ZHAW Zurich University of Applied Sciences,2023,1928.31,10.1186/s12887-023-03873-x,false
ZHAW Zurich University of Applied Sciences,2023,2283.24,10.1186/s12889-023-15535-9,false
ZHAW Zurich University of Applied Sciences,2023,1984.13,10.1186/s12891-023-06635-z,false
ZHAW Zurich University of Applied Sciences,2023,2202.47,10.1186/s12904-022-00941-4,false
ZHAW Zurich University of Applied Sciences,2023,2083.83,10.1186/s12912-023-01327-4,false
ZHAW Zurich University of Applied Sciences,2023,2183.54,10.1186/s12913-023-09221-0,false
ZHAW Zurich University of Applied Sciences,2023,2124.68,10.3389/fbloc.2023.1256651,false
ZHAW Zurich University of Applied Sciences,2023,2050.30,10.3389/fbuil.2023.1035154,false
ZHAW Zurich University of Applied Sciences,2023,2090.90,10.3389/feart.2023.1177408,false
ZHAW Zurich University of Applied Sciences,2023,2090.90,10.3389/fmats.2023.1154655,false
ZHAW Zurich University of Applied Sciences,2023,2070.60,10.3389/fped.2023.983680,false
ZHAW Zurich University of Applied Sciences,2023,2070.60,10.3389/fpsyg.2023.1155118,false
ZHAW Zurich University of Applied Sciences,2023,2070.60,10.3389/fpsyt.2023.1199359,false
ZHAW Zurich University of Applied Sciences,2023,2070.60,10.3389/frsus.2023.1163394,false
ZHAW Zurich University of Applied Sciences,2023,2070.60,10.3389/ijph.2023.1605879,false
ZHAW Zurich University of Applied Sciences,2023,1812.80,10.3390/agronomy13061436,false
ZHAW Zurich University of Applied Sciences,2023,1993.18,10.3390/app13063511,false
ZHAW Zurich University of Applied Sciences,2023,1895.20,10.3390/app13106266,false
ZHAW Zurich University of Applied Sciences,2023,1428.00,10.3390/bioengineering10040478,false
ZHAW Zurich University of Applied Sciences,2023,966.72,10.3390/data8050081,false
ZHAW Zurich University of Applied Sciences,2023,1812.80,10.3390/en16093956,false
ZHAW Zurich University of Applied Sciences,2023,1230.36,10.3390/ijfs10040115,false
ZHAW Zurich University of Applied Sciences,2023,1392.35,10.3390/jlpea13010012,false
ZHAW Zurich University of Applied Sciences,2023,1218.30,10.3390/jrfm16030156,false
ZHAW Zurich University of Applied Sciences,2023,1254.49,10.3390/jrfm16080359,false
ZHAW Zurich University of Applied Sciences,2023,1993.18,10.3390/ma16072673,false
ZHAW Zurich University of Applied Sciences,2023,1812.80,10.3390/su15097727,false
ZHAW Zurich University of Applied Sciences,2023,1812.80,10.3390/su15118959,false
ZHAW Zurich University of Applied Sciences,2023,1933.43,10.3390/su15129789,false
ZHAW Zurich University of Applied Sciences,2023,1971.34,10.3390/su151411058,false
ZHAW Zurich University of Applied Sciences,2023,50.00,10.3897/VCS.100394,false
ZHAW Zurich University of Applied Sciences,2023,550.00,10.3897/VCS.100985,false
ZHAW Zurich University of Applied Sciences,2023,1375.00,10.3897/VCS.98324,false
