institution,period,euro,DOI,is_hybrid
ZHAW Zurich University of Applied Sciences,2022,CHF 350,10.19229/2464-9309/11222022,false
ZHAW Zurich University of Applied Sciences,2022,CHF 570,10.3389/fcomp.2022.930741,false
ZHAW Zurich University of Applied Sciences,2022,CHF 823,10.3389/fcomm.2022.859714,false
ZHAW Zurich University of Applied Sciences,2022,CHF 965,10.3390/jrfm15090374,false
ZHAW Zurich University of Applied Sciences,2022,CHF 978,10.3389/fcomp.2022.1041703,false
ZHAW Zurich University of Applied Sciences,2022,CHF 993,10.3390/jrfm15050223,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1023,10.1177/21501319221119142,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1190,10.1186/s41927-022-00270-2,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1198,10.1177/21501319221103961,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1206,10.3390/horticulturae8090778,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1327,10.3390/polym14235142,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1366,10.1021/acsomega.2c03385,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1547,10.3390/math10132156,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1626,10.3390/ijms232012085,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1628,10.3389/fpsyg.2022.982302,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1655,10.3390/pr10050911,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1704,10.3389/fceng.2022.1021416,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1733,10.3390/app11188760,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1733,10.3390/molecules26195752,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1747,10.1186/s12912-022-00946-7,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1757,10.1186/s40814-022-01086-0,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1768,10.3390/en15165902,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1768,10.3390/en15176354,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1887,10.1136/bmjopen-2021-057993,false
ZHAW Zurich University of Applied Sciences,2022,CHF 1891,10.3390/en15134547,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2001,10.3390/app122010566,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2009,10.1186/s12877-022-03476-8,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2095,10.1038/s41598-022-19823-z,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2123,10.1186/s12884-022-05178-w,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2124,10.1186/s12912-022-00947-6,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2136,10.3390/nu14153204,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2185,10.3389/fneur.2022.809391,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2185,10.3389/fpubh.2022.828584,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2210,10.2196/34472,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2521,10.3389/fpsyg.2022.902869,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2557,10.3389/feart.2022.945377,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2631,10.3389/fpsyg.2022.1022477,false
ZHAW Zurich University of Applied Sciences,2022,CHF 2646,10.3389/fspor.2022.880294,false
