"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","local_id","APC","Colour charges","Cover","Hybrid-OA","Other","Page charges","Permission","Publication charges","Reprint","Submission fee","identifier"
"FZJ - ZB",2012,2784,"10.1111/j.1751-7915.2011.00310.x",FALSE,"Wiley-Blackwell","Microbial Biotechnology","1751-7915","1751-7915","1751-7915","1751-7915","http://onlinelibrary.wiley.com/termsAndConditions#vor",TRUE,"22018023","PMC3815278","ut:000298098300012","oai:juser.fz-juelich.de:16941",TRUE,"PreJuSER-16941","2784.00","",,,,,,,,,oai:juser.fz-juelich.de:16941
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"FZJ - ZB",2013,3090,"10.3233/jad-121792",TRUE,"IOS Press","Journal of Alzheimer's Disease","1875-8908","1387-2877","1875-8908","1387-2877","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"23271316","PMC5558238",NA,"oai:juser.fz-juelich.de:133637",FALSE,"FZJ-2013-02052","","",,3090.0,,,,,,,oai:juser.fz-juelich.de:133637
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"FZJ - ZB",2014,993.41,"10.1371/journal.pone.0086906",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"24497995","PMC3908951","ut:000330621900047","oai:juser.fz-juelich.de:137155",TRUE,"FZJ-2013-03624","993.41","",,,,,,,,,oai:juser.fz-juelich.de:137155
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"FZJ - ZB",2013,1165,"10.2136/vzj2012.0168",FALSE,"Wiley-Blackwell","Vadose Zone Journal","1539-1663","1539-1663",NA,"1539-1663","http://onlinelibrary.wiley.com/termsAndConditions#vor",TRUE,NA,NA,"ut:000323161600007","oai:juser.fz-juelich.de:138972",TRUE,"FZJ-2013-05014","1165","",,,,,,,,,oai:juser.fz-juelich.de:138972
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
"",,,"","","","","","","","","","","","","","","","","","",,,,,,,,,
